candidate,objective,curve,level,side_shape,effectiveness,model_middle_peaks,observed_middle_peaks,mean_inversion_error_K
beer_lambert_f0.0_L80.0_x0.05,3.1829686426045307,2.9860528854181556,2.186230541305114,0.401165830106514,7.555296656802974,0,3,-124.18241618125565
near_deep_f0.2_L20.0_x0.05,3.2273425628625247,3.0181259849611055,2.2073606438975335,0.346621615360648,7.7491699203981215,0,3,-112.38038264500442
near_deep_f0.2_L50.0_x0.05,3.3813022503582464,3.143177620674134,2.31181990303851,0.29505746613600214,8.221118070677356,0,3,-96.81688311941734
near_deep_f0.2_L100.0_x0.05,3.5028123784291174,3.2428959016608174,2.4001578910271966,0.2891746367222943,8.549622063732867,0,3,-90.78295754752772
near_deep_f0.2_L200.0_x0.05,3.5794090127587275,3.3054395983445883,2.4564338590928902,0.2923281798321616,8.749655262992333,0,3,-88.15130921271025
near_deep_f0.4_L20.0_x0.05,3.2800490848027013,3.0606208753499238,2.2411127406932785,0.2975871748832413,7.9451807914013015,0,3,-100.53381547333818
near_deep_f0.4_L50.0_x0.05,3.627942303205389,3.3562946985349735,2.5016828708523593,0.23660087507656602,8.902491329948726,0,3,-69.26549299073974
near_deep_f0.4_L100.0_x0.05,3.9068832425280093,3.593593874692384,2.718563363415061,0.2679393007169144,9.579483426942637,0,3,-57.08416627704438
near_deep_f0.4_L200.0_x0.05,4.084659698450737,3.743619730488332,2.8566914214443853,0.3038978608058405,9.997201826287778,0,3,-51.71853855964067
near_deep_f0.6_L20.0_x0.05,3.338950301326804,3.1107140254307137,2.283478296372764,0.25494916486517244,8.141704926799145,0,3,-88.67097324041477
near_deep_f0.6_L50.0_x0.05,3.9157649561096335,3.611983311401921,2.736562377365637,0.23704718273076544,9.600103831156993,0,3,-41.57415954873102
near_deep_f0.6_L100.0_x0.05,4.3815499053723475,4.013183593893821,3.103798137946406,0.3573379377449641,10.647592627369578,1,3,-23.13933531414197
near_deep_f0.6_L200.0_x0.05,4.6768486547261965,4.262496536392188,3.331518658052898,0.45941622877414123,11.301059783604387,3,3,-14.999863645908173
near_deep_f0.8_L20.0_x0.05,3.4037286507273805,3.1672648110832102,2.333289443349495,0.21933237470112113,8.339985655353296,0,3,-76.78162298533414
near_deep_f0.8_L50.0_x0.05,4.239722252018149,3.901755919149082,3.002711312413913,0.3028217093642816,10.31432755169818,3,3,-13.783632539095569
near_deep_f0.8_L100.0_x0.05,4.910011337635496,4.474629053996705,3.523998627972732,0.5585737739046986,11.755883784812639,3,3,10.930035636278149
near_deep_f0.8_L200.0_x0.05,5.333257456783644,4.825132817521916,3.8433747780861154,0.7522682775579573,12.665818103089265,3,3,21.845782999492787
near_deep_f0.2_L20.0_x0.1,3.95088946346034,3.5470946783204487,2.7499306900378255,0.23439030669433022,9.875227960999299,0,3,-65.97813985069472
near_deep_f0.2_L50.0_x0.1,4.220106035369068,3.7608506646455067,2.95765676945573,0.24454979836699633,10.57742075352904,0,3,-52.44022464083025
near_deep_f0.2_L100.0_x0.1,4.411903432481183,3.908509280169639,3.1018398946648613,0.27037662618593067,11.07194942759204,0,3,-47.79542909337408
near_deep_f0.2_L200.0_x0.1,4.529158378550374,3.9971453013586604,3.1888637746985755,0.28959582078231033,11.375112076218683,0,3,-45.96402218240462
near_deep_f0.4_L20.0_x0.1,4.057790032065436,3.6361829833179033,2.8363740106959034,0.22127512121705248,10.15888730493392,0,3,-54.71182543054158
near_deep_f0.4_L50.0_x0.1,4.626202272925715,4.08951259556209,3.275023708519601,0.2890720914116016,11.591512595333812,0,3,-27.59232546863397
near_deep_f0.4_L100.0_x0.1,5.035678016384598,4.4025538506379105,3.576521514699174,0.3814086533774257,12.621860296555257,2,3,-18.240910652569482
near_deep_f0.4_L200.0_x0.1,5.286945325951594,4.589127142495312,3.7563486981189738,0.44595327624379316,13.262364981498663,3,3,-14.537610699196042
near_deep_f0.6_L20.0_x0.1,4.169605106269276,3.729804001400888,2.927485470759906,0.21667554922173216,10.444836141223213,0,3,-43.42982670176207
near_deep_f0.6_L50.0_x0.1,5.0601804914688815,4.436844528080999,3.605589609782495,0.3917480248961196,12.637689496078423,3,3,-2.7459496301707986
near_deep_f0.6_L100.0_x0.1,5.705054032430836,4.918463475014939,4.064406868145509,0.5898918999303799,14.247558595765769,3,3,11.307409892262172
near_deep_f0.6_L200.0_x0.1,6.102455224519493,5.203165917190442,4.3360076314922535,0.7240256108538942,15.26270061729498,3,3,16.888048609601356
near_deep_f0.8_L20.0_x0.1,4.285909239559797,3.8273733433332464,3.0219145851468436,0.2209729071187532,10.733276708413497,0,3,-32.15447389263833
near_deep_f0.8_L50.0_x0.1,5.516456332942883,4.793526201650968,3.9415547335648036,0.5496581254341933,13.717009269435016,3,3,22.051428153830596
near_deep_f0.8_L100.0_x0.1,6.411016982875492,5.4416562039814025,4.555089366297023,0.8851977669749358,15.95312708256379,3,3,40.71509062883175
near_deep_f0.8_L200.0_x0.1,6.965286726452831,5.822455408900453,4.916390474611439,1.1078379734179828,17.383810600006083,3,3,48.124583352692184
