candidate,objective,curve,level,side_shape,effectiveness,power_scale_456,power_scale_304,power_scale_256
beer_lambert_f0.0_L80.0_x1.0,3.9497580897334483,3.572782053438798,2.7402588034008186,0.22480490670293665,9.846293444195384,1.05,1.23,0.84
beer_lambert_f0.0_L80.0_x0.05,3.0873160736963534,2.8739651357824183,2.028660289663287,0.40825937206703816,7.463056646716389,1.05,1.23,0.84
near_deep_f0.2_L20.0_x1.0,4.098023004353302,3.6943440776245318,2.8586223344644197,0.24159940927998005,10.210135558563076,1.05,1.23,0.84
near_deep_f0.2_L20.0_x0.05,3.134791646993785,2.9110507773161616,2.057106556562684,0.35157529386450764,7.656660885097779,1.05,1.23,0.84
