simulation_id,comparison,history_rms_K,history_max_K,final_rms_K,final_max_K
E72,C_to_M,5.469428732212215,8.60969782166444,5.398920596365964,7.052645353362095
E72,M_to_F,5.511606063434658,9.361284045429784,5.280879158319009,7.241160337604697
C69,C_to_M,7.958251779013846,16.37823184061085,5.557438790253838,8.610733810831107
C69,M_to_F,9.529576869666545,19.930813316298952,7.96457223474407,13.152860783131644
C81,C_to_M,4.315480922071043,9.044852166839064,3.0092093917309195,4.613755308883242
C81,M_to_F,6.040934728017271,12.162228264984662,5.027408324731938,7.5340468844289035
