phase,simulation_id,residual_W,solar_deposited_W,casing_flange_loss_W,source_power_error
heating_training,E67,-7.105427357601002e-14,172.84666031189113,8.958013607777957,0.0
heating_validation,E68,0.0,172.84666031189113,13.41422145653155,0.0
heating_training,E69,-5.684341886080802e-14,172.84666031189113,12.715743533384511,0.0
heating_validation,E70,-6.394884621840902e-14,172.84666031189113,16.6110700193542,0.0
heating_training,E71,-9.947598300641403e-14,172.84666031189113,21.23115245359827,0.0
heating_training,E72,-3.552713678800501e-14,134.98501091023877,5.406890634006913,0.0
heating_validation,E73,-6.039613253960852e-14,134.98501091023877,8.1058031317923,0.0
heating_training,E74,-3.552713678800501e-15,134.98501091023877,10.303992251068621,0.0
heating_validation,E75,1.4210854715202004e-14,134.98501091023877,12.744991181406249,0.0
heating_training,E76,-3.552713678800501e-14,134.98501091023877,16.483308794814775,0.0
heating_training,E77,-3.019806626980426e-14,77.62937726288445,3.432356382686521,0.0
heating_validation,E78,-3.552713678800501e-14,77.62937726288445,6.368297304695716,0.0
heating_training,E79,-3.552713678800501e-14,77.62937726288445,5.627272240730008,0.0
heating_validation,E80,-2.4868995751603507e-14,77.62937726288445,6.36870418322701,0.0
heating_training,E81,-4.973799150320701e-14,77.62937726288445,9.815240536634064,0.0
cooling_training,C69,-7.105427357601002e-15,0.0,8.453200184133038,0.0
cooling_training,C80,0.0,0.0,1.2956607671719667,0.0
cooling_validation,C81,7.105427357601002e-15,0.0,-4.688865538861364,0.0
