phase,primary_mean_sensor_rmse_K,primary_pooled_rmse_K,side_mean_rmse_K,air_mean_rmse_K,felt_mean_rmse_K,axial_inversion_rmse_K
heating_training,84.6635496899205,112.8515910228691,93.98301830749554,132.80947163199065,8.55922189512534,129.54139811036015
heating_validation,71.50211283981108,93.39882783778774,82.90472465175058,101.53257979233088,7.263810451472821,130.65158169400308
cooling_training,33.246435998965,38.70152008930679,33.825559838031445,50.115224275538125,14.640276205192503,2.564113043564423
cooling_validation,26.571266274674677,28.29418727468025,29.31237386225742,36.21285467290374,8.706355113697375,6.625722466397178
