% Model:              Cav_Hex_Unif_flux_v5.1.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 25 2021, 14:20
% Dimension:          1
% Nodes:              469
% Expressions:        6
% Description:        Line graph
% x                       Height                   Height                   Height                   Height                   Height                   Height
0                         1275.9936383086701       1097.2520296894468       1080.262020616529        1079.3380681688104       1079.2987020238193       1079.2994888614796
0.8547008547008556        1278.5003336958273       1097.5446663427767       1080.3566200450102       1079.4236396814526       1079.3838896850157       1079.3846840358794
1.709401709401711         1281.0070290829842       1097.8373029961065       1080.4512194734914       1079.5092111940949       1079.4690773462119       1079.4698792102795
2.5641025641025665        1283.5137244701411       1098.1299396494364       1080.5458189019726       1079.594782706737        1079.5542650074083       1079.5550743846793
3.418803418803422         1288.5560342721876       1100.0393877811807       1082.0755304335364       1081.1086619019684       1081.067471262336        1081.0682935916047
4.273504273504278         1293.598344074234        1101.9488359129248       1083.6052419651          1082.6225410971997       1082.5806775172637       1082.58151279853
5.128205128205133         1298.6406538762806       1103.858284044669        1085.134953496664        1084.136420292431        1084.0938837721915       1084.0947320054554
5.982905982905989         1304.3188376278013       1106.5866053326406       1087.3623387405075       1086.3440847986922       1086.300710161656        1086.3015743818794
6.837606837606845         1309.9970213793217       1109.314926620612        1089.5897239843512       1088.551749304953        1088.5075365511207       1088.5084167583034
7.692307692307701         1315.6752051308424       1112.0432479085832       1091.8171092281948       1090.7594138112142       1090.7143629405853       1090.7152591347274
8.547008547008557         1321.4238757966034       1115.2516681219508       1094.422333079811        1093.342012895915        1093.2960006148876       1093.2969150100896
9.401709401709413         1327.1725464623642       1118.4600883353185       1097.0275569314276       1095.924611980616        1095.8776382891897       1095.8785708854518
10.256410256410268        1332.921217128125        1121.668508548686        1099.632780783044        1098.5072110653168       1098.4592759634918       1098.460226760814
11.111111111111125        1337.340705141244        1125.1840048797537       1102.2841251968487       1101.1305642642176       1101.0814399382432       1101.0824127855478
11.965811965811982        1341.7601931543627       1128.6995012108212       1104.9354696106532       1103.7539174631183       1103.7036039129946       1103.7045988102818
12.820512820512837        1346.1796811674815       1132.2149975418886       1107.586814024458        1106.377270662019        1106.325767887746        1106.3267848350156
13.675213675213692        1349.35246178117         1135.637435145751        1109.9561783878487       1108.715714069937        1108.6628977366902       1108.6639386964691
14.529914529914548        1352.525242394858        1139.0598727496133       1112.3255427512395       1111.0541574778547       1111.0000275856344       1111.0010925579227
15.384615384615401        1355.6980230085462       1142.4823103534757       1114.6949071146303       1113.3926008857725       1113.3371574345786       1113.3382464193762
16.239316239316256        1358.0764019895335       1145.8020157583194       1116.8210850023863       1115.4859350116853       1115.4290968127707       1115.4302110543968
17.09401709401711         1360.4547809705202       1149.1217211631633       1118.9472628901422       1117.579269137598        1117.5210361909628       1117.5221756894173
17.948717948717967        1362.8331599515072       1152.441426568007        1121.0734407778982       1119.6726032635106       1119.612975569155        1119.6141403244378
18.803418803418825        1364.3166369650023       1155.648234829778        1122.9135363130986       1121.4776094801698       1121.4164927560819       1121.4176841946983
19.65811965811968         1365.8001139784972       1158.8550430915486       1124.7536318482987       1123.282615696829        1123.2200099430086       1123.2212280649585
20.51282051282054         1367.2835909919922       1162.0618513533195       1126.593727383499        1125.0876219134882       1125.0235271299355       1125.024771935219
21.367521367521395        1366.972224867736        1165.0356354702062       1127.6597896324645       1126.1129399783524       1126.0471203528666       1126.0483952395489
22.222222222222246        1366.6608587434796       1168.0094195870931       1128.7258518814297       1127.1382580432164       1127.0707135757975       1127.072018543879
23.0769230769231          1366.3494926192232       1170.9832037039798       1129.7919141303948       1128.1635761080806       1128.0943067987284       1128.095641848209
23.93162393162396         1365.43263912857         1173.9019286020923       1130.5113212898937       1128.8397498209392       1128.7686530542744       1128.7700195860957
24.786324786324816        1364.5157856379165       1176.8206535002048       1131.2307284493922       1129.5159235337978       1129.4429993098204       1129.4443973239822
25.641025641025678        1363.5989321472632       1179.7393783983173       1131.950135608891        1130.1920972466564       1130.1173455653663       1130.118775061869
26.495726495726533        1362.2391093747033       1182.6438652471047       1132.3645799627973       1130.561096232655        1130.4844249770954       1130.4858871913295
27.350427350427385        1360.879286602143        1185.548352095892        1132.7790243167033       1130.9300952186534       1130.8515043888242       1130.8529993207903
28.205128205128236        1359.519463829583        1188.4528389446791       1133.1934686706093       1131.2990942046517       1131.218583800553        1131.220111450251
29.05982905982909         1357.709797979091        1191.4147565322448       1133.2546399364237       1131.3119055530015       1131.2293525441644       1131.230914552084
29.914529914529943        1355.900132128599        1194.3766741198103       1133.3158112022381       1131.3247169013512       1131.240121287776        1131.241717653917
30.7692307692308          1354.0904662781068       1197.3385917073758       1133.3769824680526       1131.3375282497009       1131.2508900313874       1131.25252075575
31.623931623931657        1351.4516853458451       1200.6075258992287       1132.6637754545825       1130.569912101046        1130.480973731093        1130.4826420005095
32.47863247863251         1348.8129044135833       1203.8764600910818       1131.9505684411122       1129.8022959523908       1129.7110574307985       1129.7127632452687
33.33333333333337         1346.1741234813217       1207.1453942829346       1131.2373614276419       1129.0346798037358       1128.941141130504        1128.942884490028
34.18803418803423         1343.2361243460864       1210.7097578713604       1130.2580467831576       1127.9980913929826       1127.9021312386576       1127.9039135920038
35.04273504273508         1340.2981252108507       1214.274121459786        1129.2787321386731       1126.9615029822291       1126.8631213468109       1126.8649426939794
35.89743589743594         1337.3601260756152       1217.8384850482119       1128.299417494189        1125.9249145714757       1125.8241114549642       1125.8259717959552
