simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_wall_model,T12_wall_experiment,T11_wall_model,T11_wall_experiment,T9_active_model,T9_active_experiment,T10_active_model,T10_active_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,Lambda58_experiment,Lambda107_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_tube_heat,receiver_to_cavity_heat,active_wall_heat,flange_heat_loss,f_side,G_core_side_W_m_K,C_side_eff_J_K,C_participating_eff_J_K,k_side_ref_W_m_K
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,876.9461083093736,931.6279999999999,840.7835007016804,991.103,771.625876635508,878.055,850.806480779905,966.6659999999999,782.3824919984282,824.995,714.6933908219773,763.414,321.4711088563875,326.43699999999995,-36.16260760769319,59.47500000000002,-105.32023167386558,-53.57299999999998,-10.022980078224577,24.437000000000012,-10.756615362920229,53.059999999999945,0.035173069435758465,0.09121281586477252,35.294889750687446,0.9999974912876342,132.1967029036391,33.63888008934677,40.789733813511205,63.05788757994962,35.34428667333567,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,967.1206363328912,1012.649,918.6048445454073,1047.717,832.1133464374968,898.751,929.8524971822155,1020.928,843.4831126130169,850.0989999999999,768.1538791645673,773.207,332.43226134111234,338.52,-48.51579178748386,35.0680000000001,-135.00728989539436,-113.89800000000002,-11.247652636808198,26.7890000000001,-11.369766175520112,48.652000000000044,0.03576819369219926,0.0810872748212279,18.527136618638536,0.9998345897393653,121.96427171732988,33.570721237877095,45.932764191761905,73.22092005354308,40.19380418474467,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1044.368757320315,1058.429,982.2517707457624,1070.73,876.4583359520815,896.755,994.5081554149587,1044.378,888.336376437645,852.837,803.2909622903736,769.76,342.60304594055606,344.308,-62.11698657455247,12.30099999999993,-167.91042136823341,-161.6740000000001,-12.256384669196223,26.35200000000009,-11.878040485563474,43.918000000000006,0.03404688552781276,0.0731946538136868,10.834935211794505,0.9981231940735027,111.26453855570863,35.18678266471825,49.91616457614257,82.96102217538241,42.61194341324525,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1107.328446507734,1152.474,1031.991302677801,1120.277,910.1786337335984,912.173,1045.1131904150097,1093.725,922.429276895461,871.483,831.5647391113122,779.518,343.31939088626075,352.421,-75.33714382993298,-32.19699999999989,-197.14981277413563,-240.30099999999993,-13.12188773720868,26.552000000000135,-12.250643161862627,40.690000000000055,0.03233171423109301,0.06636406782867674,6.993070731528552,0.9918830934507212,101.87194924606413,35.42665893333272,53.65632631268202,92.03846891208292,44.54289601893226,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1208.015215362505,1203.298,1106.3206603470367,1120.348,953.7766609065652,882.823,1120.628025397778,1095.306,966.4302708250606,847.476,863.8421124836998,753.56,349.74566439737026,356.00399999999996,-101.69455501546827,-82.95000000000005,-254.23855445593972,-320.475,-14.307365050741282,25.041999999999916,-12.653609918495363,35.34699999999998,0.030555252210167617,0.060729555296504756,3.4147670839814577,0.9558244390478399,85.40896528938804,37.096516183478364,58.68631564814629,107.33773929039828,45.73683679234856,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,650.8638462090832,737.656,628.7660687049666,797.899,588.8543941988247,733.977,635.0613756004467,771.112,595.8082650901803,684.1869999999999,556.3366949615622,652.9549999999999,309.09343605360215,309.928,-22.097777504116607,60.24300000000005,-62.00945201025854,-3.6789999999999736,-6.295306895480053,26.787000000000035,-6.953870891355564,49.79000000000008,0.0534162085200319,0.11379140908000156,86.6048421102648,0.9999999998255238,97.03163621852528,23.039704036100634,25.20270837551702,36.744743608548376,21.60266472764265,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,758.2811546847653,837.694,720.7545431983383,894.482,660.4221194922185,791.76,728.5056056804659,867.5509999999999,668.2563862912815,747.4,617.9333824917752,694.626,321.4665206509585,325.12,-37.52661148642699,56.78800000000001,-97.8590351925468,-45.93399999999997,-7.751062482127622,26.93100000000004,-7.834266799063016,44.360000000000014,0.04507272791175252,0.08965618993530448,30.628697023250353,0.9999934800600816,86.59663994967742,24.613038309517783,31.33347554022904,46.153779940063316,27.405149827743507,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,891.750082164197,948.538,825.8394880940864,962.509,732.6779832053439,804.0,835.4083051447453,935.491,741.467552691423,767.8009999999999,676.07771685339,697.672,327.6068665314993,333.964,-65.91059407011062,13.971000000000004,-159.07209895885308,-144.538,-9.568817050658936,27.01800000000003,-8.789569486079017,36.19900000000007,0.040569882365660545,0.07133468518266729,9.602515542348844,0.9972550860840487,70.45120334194058,27.185119777915144,38.873139908121146,60.34647102626458,31.764838543262755,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,981.7184115567057,1008.725,890.2780696340066,979.689,770.76262236476,788.678,900.8825996861102,954.178,779.9516772865115,757.393,704.1368605088846,681.066,331.9583745257272,336.517,-91.44034192269919,-29.036000000000058,-210.95578919194577,-220.04700000000003,-10.604530052103655,25.510999999999967,-9.189054921751563,31.284999999999968,0.037352566735263215,0.06359159903855431,4.450854993618305,0.9752763608973899,58.56642312263769,28.99785143433754,43.39075139491622,70.92778735137685,33.12312875509758,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1104.2780773980517,1067.693,966.8355868282106,970.472,808.7223535999566,751.1579999999999,978.4302782014428,947.353,817.9852338371846,726.308,731.9738019091243,647.019,337.72320574751376,338.123,-137.44249056984108,-97.221,-295.5557237980951,-316.5350000000001,-11.594691373232195,23.119000000000028,-9.262880237228046,24.84999999999991,0.034300957931289816,0.05465256036798639,1.3486906841341801,0.8347713231732153,41.97707768282926,30.21931961427071,48.76695458884308,86.63849361453704,33.339981977023086,0.00031146399009212027,32.63508525236098,157.4455455398344,215.4670915924911,0.01488263433836151
