irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-41.28146303149721,-34.14928244526689
456000.0,T9_pair,-30.987702968522246,-16.771303849221287
456000.0,T10_pair,-21.04513216952077,-2.454919514973609
456000.0,T3,-16.509096988813926,0.5430107656374393
304000.0,T8,-32.04991524410307,-23.65036823444102
304000.0,T9_pair,-23.2949290109396,-13.279046974090239
304000.0,T10_pair,-15.432622203840255,-2.8039707717620383
304000.0,T3,-11.874218004989311,-0.13175631351821884
256000.0,T8,-23.30133867403352,-20.88606484778701
256000.0,T9_pair,-16.356759211088843,-13.95617874777294
256000.0,T10_pair,-10.83491563313874,-5.661290022617617
256000.0,T3,-8.475571299016018,-3.039355302230513
