irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-31.11711766761474,-34.14928244526689
456000.0,T9_pair,-23.591176445149916,-16.771303849221287
456000.0,T10_pair,-16.480235489888834,-2.454919514973609
456000.0,T3,-13.05035926430875,0.5430107656374393
304000.0,T8,-21.717437827592775,-23.65036823444102
304000.0,T9_pair,-15.874095594092903,-13.279046974090239
304000.0,T10_pair,-10.895863264120255,-2.8039707717620383
304000.0,T3,-8.622944922030069,-0.13175631351821884
256000.0,T8,-23.66834468463477,-20.88606484778701
256000.0,T9_pair,-16.6042388727174,-13.95617874777294
256000.0,T10_pair,-10.98261629191473,-5.661290022617617
256000.0,T3,-8.583333966385755,-3.039355302230513
