simulation_id,irradiance,flow_lpm,scale,objective,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,T8_steady_error,T9_pair_steady_error,T10_pair_steady_error,T3_steady_error,T2_steady_error,T9_minus_T8_error,T10_minus_T8_error
E67,456000.0,15.2805125,1.6738481521606445,0.11378503661419247,131.6928,220.43374993286133,88.74094993286133,-40.96226007338794,-123.97497300462157,-66.48189776330878,-41.75079887170796,-2.8960533086005853,-83.01271293123364,-25.51963768992084
E68,456000.0,12.499871559633025,1.6337909698486328,0.08191563565730946,131.6928,215.15850743408208,83.46570743408208,-38.47495231287701,-112.46983864041636,-39.296939975909936,-9.47208821161837,-4.692513213309212,-73.99488632753935,-0.8219876630329281
E69,456000.0,10.499733944954128,1.549814224243164,0.07831429934833575,131.6928,204.09937467041019,72.40657467041018,-40.97693952508098,-106.78771332977044,-24.22727293039577,4.284712848009349,-1.9893332264177843,-65.81077380468946,16.74966659468521
E70,456000.0,9.107139705882352,1.7756690979003906,0.0665012508669829,131.6928,233.8428353759766,102.15003537597659,16.993755201935755,-28.80435782108384,58.64836673026866,77.50284686666544,-4.688224094812199,-45.798113023019596,41.65461152833291
E71,456000.0,7.126846153846151,1.75331449508667,0.08996561604233388,131.6928,230.8988951385498,99.20609513854978,57.561124312229595,28.01474274024372,113.9018175496833,121.49019968488108,-2.643592867327925,-29.546381571985876,56.340693237453706
E72,304000.0,18.707575757575754,1.9717450141906738,0.10269337973179284,87.7952,173.10974786987305,85.31454786987305,-30.19109968088651,-98.38166471020861,-68.8367292004159,-54.1488959465795,2.5406072886313495,-68.1905650293221,-38.64562951952939
E73,304000.0,13.170870967741934,1.7935905456542969,0.12468405011821646,87.7952,157.46864067382813,69.67344067382814,-49.93645392654355,-131.84704983630274,-83.92495540430787,-58.88815701773808,-1.0702310812638416,-81.9105959097592,-33.988501477764316
E74,304000.0,9.023245901639344,1.7118518352508545,0.07520710579148518,87.7952,150.29237424621584,62.49717424621585,-44.43605500274157,-115.03738157777025,-45.2539538198597,-20.571671638319344,-4.587177398513347,-70.60132657502868,-0.8178988171181345
E75,304000.0,6.944410852713178,1.6805686950683594,0.05667262442235453,87.7952,147.54586469726564,59.75066469726565,-23.776214814822083,-80.39029796734292,-3.42605689631705,15.723421344100188,-3.221624603953785,-56.614083152520834,20.350157918505033
E76,304000.0,4.526673611111114,1.6173501014709473,0.051300411039563266,87.7952,141.9955756286621,54.2003756286621,14.957912732794057,-22.428522938239325,48.66047605394442,58.99219106387363,-0.5302271087526265,-37.38643567103338,33.702563321150365
E77,256000.0,13.84748387096774,1.151761531829834,0.12908472863039852,73.9328,85.15295498046876,11.220154980468763,-7.091913663812875,-76.69659924153848,-57.69556088011575,-49.19946633930158,3.179515214810692,-69.6046855777256,-50.603647216302875
E78,256000.0,10.009137614678897,1.0468549728393555,0.13414829846517443,73.9328,77.39691933593751,3.464119335937511,-28.877712126832307,-107.32913498136088,-75.78444825347106,-61.29451384903109,-0.39463474173413715,-78.45142285452857,-46.90673612663875
E79,256000.0,8.033490566037736,0.9934768676757812,0.11594468102807301,73.9328,73.4505265625,-0.4822734374999982,-45.003746259419245,-119.87877903276535,-77.42265421002196,-60.643005432995665,-0.4928858978362314,-74.8750327733461,-32.418907950602716
E80,256000.0,6.605050847457628,0.9497203826904297,0.09749046848424898,73.9328,70.215487109375,-3.7173128906249957,-54.63417146897018,-125.32495570395429,-75.95773969994741,-57.66845173116201,-1.8708557807898387,-70.69078423498411,-21.32356823097723
E81,256000.0,4.527140495867768,0.8980975151062012,0.06494922482487249,73.9328,66.39886396484376,-7.533936035156245,-53.20058119353382,-111.98078578130549,-56.415102157206434,-37.77745935228302,-1.2853707256905977,-58.780204587771664,-3.214520963672612
