simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T9_pair_model,T9_pair_experiment,T10_pair_model,T10_pair_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T9_minus_T8_model,T9_minus_T8_experiment,T10_minus_T8_model,T10_minus_T8_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_tube_heat,receiver_to_cavity_heat,flange_heat_loss
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,889.2981850150542,931.6279999999999,853.5941080869295,978.8844999999999,783.8640910638541,851.525,720.652807544611,763.414,323.4731992281227,326.43699999999995,-35.704076928124664,47.25649999999996,-105.43409395120011,-80.10299999999995,10.26782343746322,0.8979594741817875,133.1930134869277,32.69813816438164,41.66204711079415,36.19832187889466
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,986.7901638810027,1012.649,933.8050233656234,1034.3225,845.7084917859539,874.425,772.8436416373905,773.207,334.5529333815153,338.52,-52.985140515379385,21.67349999999999,-141.08167209504882,-138.22400000000005,8.703371308018385,0.9310776783182325,121.29026751394329,33.04458964911566,47.04154923161486,40.81265532374905
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,1062.8328973253972,1058.429,993.099630584378,1057.554,887.3229243264142,874.796,805.3806812942626,769.76,344.83485001557403,344.308,-69.73326674101918,-0.875,-175.50997299898302,-183.63300000000004,7.751584291442499,0.9526505161193703,110.6346093320272,34.16717449041067,50.77645915134958,43.12237004843204
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,1129.2657743764887,1152.474,1041.091471042615,1107.001,918.4303756084234,891.828,829.4795360842759,779.518,345.2899853004817,352.421,-88.1743033338737,-45.472999999999956,-210.83539876806526,-260.64599999999996,7.051838084504591,0.9682216296924271,99.57510144185684,34.65486587187926,54.45749773562362,44.59456436245145
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,1228.1962285236125,1203.298,1106.468948990926,1107.827,954.3518636712845,865.1495,854.0153470965621,753.56,351.4178110709744,356.00399999999996,-121.72727953268645,-95.471,-273.844364852328,-338.1485,6.172816714129368,0.9855697553186414,81.48202903160453,35.8366329612916,58.95744052172849,45.21566344411973
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,656.6604928802856,737.656,637.094642810891,784.5055,596.3887614772416,709.0819999999999,561.0303448282261,652.9549999999999,310.2686717620101,309.928,-19.565850069394628,46.849500000000035,-60.27173140304399,-28.57400000000007,13.043902224214671,0.8491114123146771,98.10915886385439,22.363132265621545,25.72536717899046,22.26063862266471
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,768.3166879432763,837.694,730.8714011953429,881.0165,669.722799726936,769.5799999999999,622.1479396221822,694.626,323.0364132547755,325.12,-37.44528674793344,43.32249999999999,-98.59388821634025,-68.11400000000003,9.821262379230037,0.9065537258588424,86.96534397166002,24.089092506754447,32.012674633132804,28.016646019584996
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,905.7156656743831,948.538,835.4300541410722,949.0,741.8765023518303,785.9005,678.1341331143337,697.672,329.4681628180876,333.964,-70.28561153331088,0.4619999999999891,-163.83916332255285,-162.63750000000005,7.505507656516147,0.9579390271677812,70.26407111583329,26.65399682956696,39.5813857967123,32.21244392478867
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,997.1608383428793,1008.725,897.3454940359777,966.9335,778.3797607838759,773.0355,704.0595392526909,681.066,333.97171161029246,336.517,-99.81534430690158,-41.79150000000004,-218.7810775590034,-235.68950000000007,6.45866365991379,0.9802718190111898,57.92700640386205,28.246290289565547,43.987562978579255,33.45565765888024
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,1117.962929140496,1067.693,966.3056420751626,958.9124999999999,810.444854471112,738.733,724.8166068123959,647.019,339.5060142476315,338.123,-151.65728706533343,-108.78050000000007,-307.5180746693841,-328.96000000000004,5.364880204627966,0.9963897325043527,40.070229738994996,29.167119818617664,48.93053578166634,33.25570752655956
