irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-40.67695133844915,-34.14928244526689
456000.0,T12_wall,-30.58566855299141,-16.81065855368442
456000.0,T11_wall,-20.655006159244696,-1.3657133576718719
456000.0,T3,-16.65626667959094,0.5430107656374393
304000.0,T8,-31.748246407313513,-23.65036823444102
304000.0,T12_wall,-23.005612433462183,-13.173548257550575
304000.0,T11_wall,-15.104178016635503,-1.9289615808695002
304000.0,T3,-11.978596699049966,-0.13175631351821884
256000.0,T8,-23.170037081474938,-20.88606484778701
256000.0,T12_wall,-16.24649446569453,-13.987976018518863
256000.0,T11_wall,-10.695489925652396,-5.174190237226035
256000.0,T3,-8.585629236735842,-3.039355302230513
