irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-36.76855360463308,-34.14928244526689
456000.0,T12_wall,-25.083169479417194,-16.81065855368442
456000.0,T11_wall,-17.601401695663597,-1.3657133576718719
456000.0,T3,-16.57657296509051,0.5430107656374393
304000.0,T8,-29.93656550101389,-23.65036823444102
304000.0,T12_wall,-20.029414234599898,-13.173548257550575
304000.0,T11_wall,-13.59901529321143,-1.9289615808695002
304000.0,T3,-12.366817906150619,-0.13175631351821884
256000.0,T8,-22.388567185732693,-20.88606484778701
256000.0,T12_wall,-15.038283795144812,-13.987976018518863
256000.0,T11_wall,-10.05871085301052,-5.174190237226035
256000.0,T3,-8.869805851765905,-3.039355302230513
