simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_wall_model,T12_wall_experiment,T11_wall_model,T11_wall_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T9_interior_experiment,T10_interior_experiment,Lambda58_experiment,Lambda107_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_tube_heat,receiver_to_cavity_heat,flange_heat_loss
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,883.0828620628399,931.6279999999999,845.2259255828332,991.103,777.9426701975635,878.055,718.5278663438685,763.414,323.26857678180266,326.43699999999995,-37.856936480006766,59.47500000000002,-105.14019186527639,-53.57299999999998,966.6659999999999,824.995,0.035173069435758465,0.09121281586477252,7.386936409554259,0.935903632345412,133.77542328031922,32.78601301214658,41.1616170531889,36.18725711495206
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,971.8885799250503,1012.649,915.2789806091231,1047.717,832.2161294067314,898.751,769.5230531346132,773.207,333.879466762416,338.52,-56.6095993159272,35.0680000000001,-139.6724505183189,-113.89800000000002,1020.928,850.0989999999999,0.03576819369219926,0.0810872748212279,4.057550403247995,0.8552981555437963,123.15043181062207,32.79974671362527,45.882749848920874,40.6614348686113
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,1043.6219621761988,1058.429,966.8322779550414,1070.73,868.6071450648536,896.755,802.4865557699392,769.76,343.6892527647756,344.308,-76.78968422115747,12.30099999999993,-175.01481711134522,-161.6740000000001,1044.378,852.837,0.03404688552781276,0.0731946538136868,2.47880057752294,0.764961152771868,112.60614353422095,33.89191169286629,49.185370406634846,42.89462072976906
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,1099.4666489738481,1152.474,1002.7744315802474,1120.277,893.0897264779065,912.173,826.1854343998731,779.518,343.5927578885147,352.421,-96.69221739360069,-32.19699999999989,-206.37692249594159,-240.30099999999993,1093.725,871.483,0.03233171423109301,0.06636406782867674,1.6660722572546192,0.6826243766408661,102.9581119356213,34.08694638194612,52.13665152253836,44.32726190216905
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,0.6365105278484928,0.3634894721515072,1183.8684227418626,1203.298,1048.4103608187768,1120.348,919.9325384028142,882.823,852.7261666645128,753.56,348.8056929851722,356.00399999999996,-135.45806192308578,-82.95000000000005,-263.93588433904836,-320.475,1095.306,847.476,0.030555252210167617,0.060729555296504756,0.8740154124497798,0.5449301719658171,86.49336833771243,34.97957823296812,55.521086792286575,45.008371749834964
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,653.9726018847764,737.656,634.9347503498705,797.899,596.4822802467662,733.977,558.9932664701562,652.9549999999999,310.29531275962216,309.928,-19.03785153490594,60.24300000000005,-57.49032163801019,-3.6789999999999736,771.112,684.1869999999999,0.0534162085200319,0.11379140908000156,17.120752273961983,0.9891762851421287,98.13268973256965,22.535936242475145,25.62364369796814,22.293294721522972
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,762.525792238588,837.694,724.6160989731312,894.482,666.0538993844897,791.76,620.1230975088556,694.626,322.8376265975722,325.12,-37.90969326545678,56.78800000000001,-96.47189285409831,-45.93399999999997,867.5509999999999,747.4,0.04507272791175252,0.08965618993530448,6.434854334349842,0.9222604116550361,87.47442085246773,24.106783059771065,31.63491935927647,27.96014544669886
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,891.3250913086061,948.538,817.8659112424591,962.509,730.7624428866186,804.0,676.4404286522274,697.672,328.7036240544701,333.964,-73.45918006614704,13.971000000000004,-160.56264842198755,-144.538,935.491,767.8009999999999,0.040569882365660545,0.07133468518266729,2.1856817119558576,0.7426936299857623,71.64883389323198,26.382942120517008,38.5225477271807,32.05178526171082
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,973.3723292534737,1008.725,866.6424842073196,979.689,760.2524298166225,788.678,703.2775413743607,681.066,332.59941331203964,336.517,-106.72984504615408,-29.036000000000058,-213.11989943685126,-220.04700000000003,954.178,757.393,0.037352566735263215,0.06359159903855431,1.0780510708504902,0.5925380238668528,60.242675325759066,27.677867977495374,42.164544332547585,33.23244866702468
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,0.6365105278484928,0.3634894721515072,1084.834071580199,1067.693,914.3618897744362,970.472,783.8474523466894,751.1579999999999,732.3086629442047,647.019,337.23826390761707,338.123,-170.47218180576272,-97.221,-300.9866192335096,-316.5350000000001,947.353,726.308,0.034300957931289816,0.05465256036798639,0.36170199924293117,0.37789301253532365,43.6001184063128,28.19254083394468,46.01795760515601,33.22072960611287
