index,name,value
1,A_Nu,2.8
2,B_Re,0.4
3,k_scale_r,0.011
4,k_scale_z,1.5000000000000002
5,sigma_beam_mm,14.0
6,spillage_fraction,0.10000000000000002
7,C_cavity_eff_J_K,301.0
8,scale_456,0.72
9,scale_304,0.72
10,scale_256,0.58
11,phi_0,1.0
12,m_rec,0.2
13,front_dep_fraction,0.2
14,beta_opt,110.00000000000001
15,A_entry,1.5
