%z[mm]	ϕ=0.1	ϕ=0.3	ϕ=0.5	ϕ=0.7	ϕ=0.9
0.0	317.21188660718786	317.2773973718763	316.9667071577667	317.7676669744048	317.56754343978736
1.0	317.8196503058002	315.4576272117188	312.14448663859196	313.6488798474496	313.3885229199222
2.0	317.32831213083455	313.85503156076345	312.35402460038375	315.55848583710326	326.9612958572671
3.0	315.529396398747	316.3375155159395	322.14391894623617	334.2978296548505	356.8506922370594
4.0	314.7903855192113	328.53324414508285	347.22840595424634	367.9157826408623	403.1724850965276
5.0	320.5382222596997	344.8128769507263	375.1832031486127	412.24315875331354	448.3926578564651
6.0	326.81678123099147	367.0182495156475	409.0333358880893	445.67793630388144	505.1123673658546
7.0	332.35388348119255	382.11940842146277	443.62956366909	477.89759290152284	552.0367795315467
8.0	340.81094531815233	404.95973772284754	467.43423590880093	508.56167058030667	592.2359004519726
9.0	352.87934920868605	421.8350649818803	492.0040361350575	539.5983211087276	624.2840399843419
10.0	364.76681086135403	442.61475054665533	517.0007102954326	564.8031182478237	650.1591921468776
11.0	378.42287178019825	462.4253453917615	543.6976859329689	595.8421009162064	680.7116052306208
12.0	392.8045985185012	483.49651470030363	564.0470221090243	620.4096307306997	702.54302503587
13.0	406.6904768789544	503.3370427324094	585.4276177901755	645.2446145536226	718.6360970407735
14.0	419.1169751458568	524.3950533076319	603.4811459693261	662.9980341287234	735.2529224348391
15.0	431.1117845247974	546.9744940128812	617.5545772409223	680.8901421017042	753.4079350153155
16.0	442.5042214700722	566.386599270697	634.2655220009126	699.9497535941305	768.8287822787377
17.0	452.6004578887758	579.3279307586116	652.7385231847998	714.9755166184314	782.5028937263244
18.0	461.90243726926906	594.0440175960387	668.9628508126268	727.8311699315473	795.1401662879542
19.0	472.6202164465269	604.7784292932831	681.203565034702	740.7561799867732	804.9125346710914
20.0	482.36049182691204	620.3153107462005	694.7482503155076	753.6759500385813	813.0874812783927
21.0	495.16688553143604	632.093524563805	707.786197519449	762.8336579906273	820.2434558707099
22.0	509.85351341123265	644.8881159306434	720.2789163421834	773.2907133496692	826.4596968046892
23.0	519.2171126100989	657.5193921686207	730.8222110073663	783.1703655214392	831.9922743144797
24.0	534.9049688505187	669.4232723585677	738.4413104643494	790.3280164262358	836.8734616090982
25.0	545.8052882599077	676.2759552495207	744.7703367614338	797.0819900039514	841.2553637732972
26.0	555.4191922701594	683.8723175297828	752.4239880162261	803.2481019996604	845.0496565552877
27.0	564.8901724939334	693.7672856879899	759.4779120735129	809.7977385491691	848.4937531410806
28.0	572.9079342301432	703.2812349876771	767.1453588945708	816.1391759592358	851.5268211444738
29.0	582.785730012291	710.3705463921682	773.9712188394755	820.8473598265954	854.0929228069067
30.0	591.6319424085572	716.3910983872993	781.0045627126085	824.8779934179803	856.3727446525497
31.0	599.3683996405857	725.1674700070633	786.3004323936099	828.7703309626934	858.3938138538258
32.0	610.7846690714059	731.5645252944953	791.2296158442826	832.3307525394044	860.0590105409728
33.0	619.9450484409375	738.0081216719984	794.9645480151083	836.0933969506277	861.5449037844668
34.0	628.3011956639095	743.8704773028378	798.8094999683016	838.6789177787639	862.8761839232968
35.0	638.1229177591525	750.5578317504848	803.4660735756294	841.5315880928631	863.9814174034584
36.0	645.3863202354872	756.5167213461039	807.5314806251517	844.1844230698651	864.9868067648586
37.0	652.130641567165	762.2375308212391	810.2745086879362	846.7252877162192	865.9548104690991
38.0	658.3020531974756	766.9154592369966	813.4446743982637	848.6505603021275	866.8458899522186
39.0	664.0542136016007	772.1107393371598	817.5244746602024	850.2614731447887	867.5681088193008
40.0	671.0266356843316	776.1469830169857	820.9647930266884	852.1528039925477	868.2163865960651
41.0	679.8828058368208	781.2406596249133	823.7142511478752	854.0057544776354	868.7956490219259
42.0	687.4611570231851	784.3321635366824	825.7790524623858	855.228434175465	869.326255120698
43.0	695.8730451702435	788.9644076716493	828.2739640041896	856.6696803483105	869.7414323334926
44.0	703.7574460889368	792.6756761000661	830.3677823602039	857.6942238788392	870.0984767422902
45.0	711.1296359299361	796.0993497180508	832.5986998317347	858.6670123654739	870.430433484684
46.0	718.0009327177198	799.6194489151748	834.66312620878	859.6747000842845	870.721281214013
47.0	724.5613642152375	802.4950004382451	836.9937897437624	860.6455831600764	870.9789863213252
48.0	729.9104785958397	805.4886769259177	838.9234606740147	861.4066861740956	871.2008108694451
49.0	735.7140388158273	807.8661839700703	840.3540447398177	862.1035069650045	871.3892738592018
50.0	741.3333948007354	809.9342477287679	841.1348040697096	862.5290506564227	871.5104556479836
