%z[mm]	ϕ=0.1	ϕ=0.3	ϕ=0.5	ϕ=0.7	ϕ=0.9
0.0	1057.6346762729922	936.5589712440848	942.8734595067211	944.6373880204724	906.4636834412254
1.0	1050.0030804968685	928.1430599975738	934.7528206414116	938.3926250343867	908.4373737985185
2.0	1041.371834922985	920.5068655288593	927.4715910381015	932.233542045298	908.4255410094619
3.0	1033.2095714000534	913.3718209099665	920.2410805371417	924.7477495314014	900.7502900290536
4.0	1025.8226911731201	907.1513592173443	914.1376394425502	918.6710188277029	895.126403616881
5.0	1019.0025374820209	901.5779141786448	908.7641484291975	913.347312619142	889.6856455952437
6.0	1012.7981726561295	896.6870196349548	904.243343095508	909.0308161177734	885.6355902004667
7.0	1007.1677847028286	892.434866354109	900.4508042231537	905.5559486039666	882.4109173582622
8.0	1002.0336679607243	888.7560868011136	897.2933444101928	902.7755297585529	879.9015276504726
9.0	997.4152783365706	885.6466720288023	894.7881808972453	900.83756748979	878.9749672565189
10.0	993.2206183063479	882.9533330620789	892.6775924266858	899.1934197309414	877.8183439138589
11.0	989.4778833458556	880.6532542200475	890.9690499402819	897.9679634067528	877.0907843281219
12.0	986.1093399745065	878.7047148077083	889.6139030759391	897.1056151804313	876.8382573234132
13.0	983.0717153373239	877.0522423950066	888.5139158463567	896.4309138342319	876.6701330312322
14.0	980.3946903841755	875.6567516420728	887.6188389227766	895.9067100067722	876.5104577024455
15.0	978.0276526026047	874.478451159492	886.9043063346587	895.4993787994563	876.3693286542887
16.0	975.9491432624479	873.5000659607964	886.3359889544746	895.1990599407553	876.2963490639293
17.0	974.1389770541394	872.694385898354	885.8887007100691	894.9894986007962	876.310418138955
18.0	972.5960245202593	872.0379579866546	885.5461945708673	894.8528583955447	876.4177323534825
19.0	971.3042337365475	871.502796101391	885.2643312489937	894.7184465106044	876.373537080566
20.0	970.2505117397105	871.0777196403519	885.0399744653232	894.5943124132066	876.2622207033731
21.0	969.416357669714	870.7508754152442	884.87261442717	894.5013307115896	876.172178273589
22.0	968.780470622032	870.5131691582468	884.7543257017143	894.4381757678167	876.11299103171
23.0	968.337040085889	870.3561387066566	884.6772826456344	894.3985451519724	876.0757772998039
24.0	968.0684563366322	870.2670284416453	884.6348280751552	894.3772721427625	876.0557144250542
25.0	967.9699527505796	870.2375276119604	884.6214519038966	894.3707360370674	876.0492717137759
