irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-43.06148650257039,-34.14928244526689
456000.0,T12_perim,-35.44511883316963,-16.81065855368442
456000.0,T11_perim,-21.55878155283483,-1.3657133576718719
456000.0,T9_core,-37.694395192176955,-16.731949144758126
456000.0,T10_core,-20.334918366382208,-3.5441256722753445
456000.0,T3,-1.3896139832574845,0.5430107656374393
304000.0,T8,-35.63577452176336,-23.65036823444102
304000.0,T12_perim,-26.768991641331603,-13.173548257550575
304000.0,T11_perim,-15.513688280282325,-1.9289615808695002
304000.0,T9_core,-28.059537555334522,-13.384545690629912
304000.0,T10_core,-14.44299962079035,-3.67897996265457
304000.0,T3,-0.6011161799539295,-0.13175631351821884
256000.0,T8,-32.21858771848166,-20.88606484778701
256000.0,T12_perim,-21.56485460751664,-13.987976018518863
256000.0,T11_perim,-11.343699512422324,-5.174190237226035
256000.0,T9_core,-22.2158945008866,-13.924381477027032
256000.0,T10_core,-10.187989520252016,-6.148389808009175
256000.0,T3,0.35001940329287223,-3.039355302230513
