case,flow_lpm,reynolds,irradiance,power_scale,q_receiver_gas_W,q_rear_gas_W,h_app_W_m2_K,Nu_app,deltaT_app_K,epsilon_mean,epsilon_outlet,z_peak_core_mm,z_peak_perim_mm,lambda_107,lambda_107_raw_K,Tcore_107_K,Tperim_107_K,K_loss_W_K,q_loss_external_W,q_front_W,q_cavity_ambient_W,q_tube_cavity_W,q_tube_flange_W,q_core_rear_W,q_perim_rear_W,q_rear_tube_W,q_rear_cavity_W,C_receiver_participating_J_K,C_total_with_rear_J_K,T3_error_K,T2_error_K
E67,15.2805125,111.31830775590693,456000.0,1.34,121.82809333374918,-21.929163012578158,4.357665200264513,0.13644385918675275,340.1118545724969,0.9704146522320553,0.9369349052364806,57.54,41.1,-0.051943859699652005,-23.28783798373354,744.6655615311929,767.9533995149264,0.16285877235981525,81.10738183039048,9.128906052271823,50.91298559677391,1.1361420308742194,21.065490181344753,51.990336418841665,0.05007097051090073,4.104082872537504,47.2908071113298,221.73051158598122,297.51537285368687,-126.84250887021449,16.343680030838982
E68,12.499871559633025,90.475804403676,456000.0,1.34,104.86937901980026,-22.62213225354005,3.0309550130606784,0.09027357768772899,420.9178936199276,0.9833572438262302,0.9606817805757721,46.580000000000005,35.620000000000005,-0.046707231486538256,-23.898517342383116,810.4218219328475,834.3203392752306,0.18282234343264633,105.8857481437989,13.481270172898109,69.32396532060704,1.2347979663893192,23.08051265029375,59.152991018923856,0.05627960764770477,4.820500100898613,53.86588630407149,221.73051158598122,297.51537285368687,-119.66787081872155,22.625292575703156
E69,10.499733944954128,76.40842615027003,456000.0,1.34,90.46874573379954,-22.308075258230797,2.225572914527578,0.06403704940620053,494.5212114188603,0.9902964493799123,0.9748684690805917,35.620000000000005,30.14,-0.04617167364320013,-25.858638854612536,856.7926807178096,882.6513195724222,0.1997176013958986,129.77055087724946,18.52557711906822,87.31043674280973,1.3102138376892096,23.93453701537153,64.59707402181067,0.061090316944783125,5.317018702033494,58.968548369122864,221.73051158598122,297.51537285368687,-110.33112285776076,30.36936757115876
E70,9.107139705882352,65.86899555432916,456000.0,1.34,77.50574223379793,-21.439224545233436,1.7123714462662905,0.04816123783710911,550.635344535201,0.9939531892023079,0.9830736041690916,2.74,30.14,-0.0483674080973817,-28.240805310455812,882.9208904871747,911.1616957976305,0.1973474077225207,137.63172037694866,23.564231031794044,90.47458563575529,1.3031679287051594,23.592903709399327,68.65559040129658,0.06473538147832379,6.1445445964207295,62.139028781693064,221.73051158598122,297.51537285368687,-122.39963905361299,26.99691696879995
E71,7.126846153846151,51.309287635693515,456000.0,1.34,58.51965576410532,-19.238395437189435,1.118353622901302,0.030596052849722628,636.5767846199783,0.9974423052554141,0.99187026320878,2.74,24.66,-0.055274416276732914,-33.61183395911644,908.8737562740391,942.4855902331556,0.20237322244296999,155.06253516839055,33.601112019478826,98.94555991489996,1.2534906630929505,22.51586323401176,73.14748990203225,0.06896146877633212,7.24781787946344,65.53176614881058,221.73051158598122,297.51537285368687,-108.11533056581163,32.03721664081377
E72,18.707575757575754,136.25388763090646,304000.0,1.58,107.75493406742002,-15.601913657688575,6.157965257356134,0.2198423419260092,212.87669237714812,0.9464222685038751,0.8975318434220181,68.50000000000001,41.1,-0.06249887559206963,-18.9660992679203,599.8850477468442,618.8511470147645,0.1423668384089558,47.81889257042107,4.092228927589116,29.16610023885641,0.7803066540491849,14.560563403975546,35.32851074903683,0.03462722471737235,2.850501319947398,31.962973155778585,221.73051158598122,297.51537285368687,-94.79892751985903,13.416987460326936
E73,13.170870967741934,95.78456031942005,304000.0,1.58,87.97811920823663,-17.263355236352954,3.425686657200289,0.11287331946883679,312.4317919664886,0.9765133385676829,0.9476214966896324,46.580000000000005,35.620000000000005,-0.04773724959602292,-18.739199197869993,689.5297822706734,708.2689814685434,0.17506631630544972,77.528892431568,7.397699677851636,52.421364902107534,0.9415297809928027,17.709827851608832,45.19035330518939,0.0431367958484268,3.7561724973817547,41.06846495267451,221.73051158598122,297.51537285368687,-105.00315535197842,19.602204211893365
E74,9.023245901639344,65.6974650463822,304000.0,1.58,62.056283658820334,-16.612476691448375,1.7033591008246172,0.05234597838410402,443.2081427933458,0.9925052077007127,0.9796417722507951,24.66,24.66,-0.048320285843947056,-22.636410226646717,765.0129834122714,787.6493936389181,0.1818556751521781,102.76979551314525,14.456892768310507,69.87981583879433,1.0172623334259063,18.43308690604041,55.483410455405895,0.05228331582320161,5.266748926111092,49.85968174665657,221.73051158598122,297.51537285368687,-100.70084975316001,25.62209533750888
E75,6.944410852713178,50.53949993727276,304000.0,1.58,46.06465762804606,-14.916136334637784,1.068059114270231,0.031825725872560835,524.6875264277732,0.9969345695681265,0.9904762776328399,2.74,19.180000000000003,-0.05573726470439429,-27.50599675351441,790.2043393441803,817.7103360976947,0.1845857909760994,116.78485944050391,21.44915876207865,77.6848925854774,0.9885157217435598,17.65080809294785,59.91936752844804,0.05645929119445085,6.251220014460472,53.30691938340754,221.73051158598122,297.51537285368687,-94.09471843015353,29.939920236256683
E76,4.526673611111114,32.965341158298585,304000.0,1.58,27.018601391450677,-11.42147226901758,0.5297957128292445,0.01543485545124532,620.4154537779308,0.9994187289755336,0.9977958450287714,2.74,13.700000000000001,-0.07092802462411828,-35.305027776254406,794.2260089018442,829.5310366780986,0.19341594002207435,135.6504135656086,34.02826681945797,86.11825211787534,0.8884503343907678,15.503894628275281,62.268912364046315,0.05913147824884007,7.190320858922945,54.76724813109904,221.73051158598122,297.51537285368687,-89.49594367393433,35.29980158750294
