variant,simulation_id,z_mm,Twall_K,Tactive_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W,Qactive_wall_W
fitted_heterogeneous,E79,2.74,605.9964278711835,659.8456610403607,296.70399999999995,540.5039340657598,2.1526797780678883,55.96038314036036,1.1128019759017143,0.6713631627043286,40.311428083805794,3.7335549129958845
fitted_heterogeneous,E79,8.220000000000002,607.9193040682688,640.548836201381,540.5039340657598,601.5677378680166,1.581712573015254,48.4361761335699,0.942542236038302,0.6103639715642726,10.317742673220362,2.2623191238695153
fitted_heterogeneous,E79,13.700000000000001,606.490545891387,629.9088749208839,601.5677378680166,618.5296431580767,1.4915666916479347,47.143769481965236,0.9125244365374088,0.5984906413041776,2.88128517077362,1.6236743265692153
fitted_heterogeneous,E79,19.180000000000003,603.3638675839093,622.3401953291542,618.5296431580767,620.8020304661964,1.4758522340012554,46.91487287487255,0.9071840470105138,0.5963406892490027,0.3863930473298234,1.315694904350704
fitted_heterogeneous,E79,24.66,599.3235353141768,615.9409362305278,620.8020304661964,617.8985817729618,1.4827171247247362,47.01500334596419,0.9095210666432294,0.5972829475162635,-0.49348013339165053,1.1521422902634186
fitted_heterogeneous,E79,30.14,594.768066109156,610.0108784494486,617.8985817729618,613.1713861204391,1.4976185505583013,47.23162643080271,0.9145723354046509,0.5993120504964857,-0.8026943884313623,1.0568372760700355
fitted_heterogeneous,E79,35.620000000000005,589.9118101065475,604.2808474380406,613.1713861204391,607.8216293158044,1.5156337348465767,47.49220518450745,0.9206400697031957,0.6017359572627665,-0.9073990307740354,0.9962554110190163
fitted_heterogeneous,E79,41.1,584.8747454511813,598.6418999161483,607.8216293158044,602.2742359839395,1.5350171301506552,47.77100557083482,0.9271217408996418,0.6043090259362826,-0.9398280155417329,0.9545247752956293
fitted_heterogeneous,E79,46.580000000000005,579.7253793845862,593.0458802885531,602.2742359839395,596.67312203829,1.5551646242829342,48.05910967183465,0.933808373910919,0.6069460400675497,-0.9478163005919026,0.9235567280471234
fitted_heterogeneous,E79,52.06,574.502761871858,587.4681227121454,596.67312203829,591.061569749062,1.5758922217385747,48.353754108615384,0.9406348222408508,0.6096200651845455,-0.9484708071843306,0.8989336303441959
fitted_heterogeneous,E79,57.54,569.2285574041057,581.8931804883617,591.061569749062,585.4475339610876,1.5971713825185156,48.65442828578154,0.9475884351951344,0.6123252000259858,-0.9477845123835263,0.8780824341344612
fitted_heterogeneous,E79,63.02,563.9140753604113,576.3091859960203,585.4475339610876,579.8268735764701,1.6190320814250199,48.96145138706494,0.9546757849648606,0.6150630733370281,-0.9478018020122303,0.8593961972553168
fitted_heterogeneous,E79,68.50000000000001,558.5646304742891,570.7054750304582,579.8268735764701,574.1913261974444,1.6415283878293312,49.275468386962885,0.9619108899826743,0.617838081583415,-0.9492133417333432,0.8417670442622034
fitted_heterogeneous,E79,73.98000000000002,553.1824957861527,565.0714459119516,574.1913261974444,568.531019352459,1.6647273837085124,49.59728629677852,0.9693113790300907,0.620655827466223,-0.9522837807854674,0.8243023259604558
fitted_heterogeneous,E79,79.46000000000002,547.7692073053212,559.3958576465933,568.531019352459,562.8350383944213,1.6887069047780243,49.927837209258364,0.9768976031440263,0.6235227291466897,-0.9571809511418244,0.8061161682092177
fitted_heterogeneous,E79,84.94000000000001,542.3277616272413,553.6662213819185,562.8350383944213,557.0912689254828,1.713556933630974,50.268192178703636,0.9846929187256941,0.6264460792603972,-0.9640981769944663,0.786134910963076
fitted_heterogeneous,E79,90.42000000000002,536.8651890848945,547.868090779294,557.0912689254828,551.2858840153131,1.7393830842058655,50.61960246109611,0.9927245893112241,0.6294343249315526,-0.9733135723979707,0.7628695017675716
fitted_heterogeneous,E79,95.90000000000002,531.3960427401928,541.9840858947691,551.2858840153131,545.4025196392467,1.7663121383930847,50.983566144847195,1.0010252510417668,0.6324975343285801,-0.9852415807917119,0.734105914091421
fitted_heterogeneous,E79,101.38000000000001,525.9475171972642,535.9924515749175,545.4025196392467,539.4210276678212,1.7945004537134286,51.361929577648816,1.0096351450403693,0.6356481090821808,-1.0005025601256343,0.6964502907327398
fitted_heterogeneous,E79,106.86000000000001,520.5672318727578,529.8648692519744,539.4210276678212,533.3155801527366,1.8241468687262226,51.75704289467166,1.018605538949513,0.6389018734724996,-1.0200295019320225,0.6446375867112197
fitted_heterogeneous,E79,112.34,515.3352482043199,523.5631032997187,533.3155801527366,527.0517616829375,1.8555128476617824,52.17200200070237,1.0280040440638079,0.6422797576659564,-1.0452342954724405,0.5704658545152285
fitted_heterogeneous,E79,117.82000000000002,510.3827625949096,517.033848966666,527.0517616829375,520.5820892635263,1.8889543832006492,52.61102964397649,1.0379229726408177,0.6458104200591512,-1.078265667624518,0.46114298641944146
fitted_heterogeneous,E79,123.30000000000003,505.92135149134384,510.20082403796187,520.5820892635263,513.839100860352,1.9249731470356806,53.08008140516899,1.0484925919021433,0.649534354114113,-1.1224071783425333,0.29671073868888803
fitted_heterogeneous,E79,128.78,502.2890686149701,502.9526601564508,513.839100860352,506.72469923743904,1.9642994835208383,53.58781811966239,1.0599023172094029,0.6535103452465889,-1.18268862628243,0.04600911311279086
fitted_heterogeneous,E79,134.26000000000002,500.02396425160885,495.1244310453552,506.72469923743904,499.0937451240217,2.008028896960843,54.147182288291305,1.072434914235237,0.6578256629122412,-1.2668219164331151,-0.3397017041287285
