variant,simulation_id,z_mm,Twall_K,Tactive_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W,Qactive_wall_W
initial_heterogeneous,E76,2.74,1238.672248888127,1518.0585310774316,296.4675,322.7245289740731,0.016015597788811977,0.6742864911367416,0.02172848694943993,0.021494123897516416,2.679121229215498,6.124147305589559
initial_heterogeneous,E76,8.220000000000002,1216.339081975296,1442.1900705031808,322.7245289740731,346.99320590521063,0.016408150476159893,0.676803710612037,0.02191724421985638,0.021678806565129518,2.4640793736009967,4.950653668531234
initial_heterogeneous,E76,13.700000000000001,1187.5036818622052,1374.1344604861008,346.99320590521063,369.4327004172493,0.016771059706294625,0.6790800449684763,0.02208872114328214,0.021846551690881868,2.268272745592476,4.090946667435792
initial_heterogeneous,E76,19.180000000000003,1154.6989187348718,1312.0950195757905,369.4327004172493,390.17338691407,0.017113789425369428,0.6811895082494916,0.022247903581517216,0.022002244149670402,2.0880158568919027,3.450122530432939
initial_heterogeneous,E76,24.66,1119.6966138508103,1254.9539334693175,390.17338691407,409.3272660900101,0.017442057597633485,0.6831770590438578,0.022397800644740954,0.022148832154281598,1.9209517300296348,2.964840446037677
initial_heterogeneous,E76,30.14,1083.7412328447567,1201.9728813004426,409.3272660900101,426.99387873201306,0.017759417480886094,0.685071189727124,0.02254029493724661,0.022288160437641272,1.765473508148116,2.591637734148635
initial_heterogeneous,E76,35.620000000000005,1047.7078545745892,1152.6413155002967,426.99387873201306,443.26390922455283,0.018068069912380243,0.6868903072456852,0.022676579814232985,0.022421398696038097,1.620429014914171,2.3001414634915096
initial_heterogeneous,E76,41.1,1012.2089311970865,1106.5908948301137,443.26390922455283,458.2214612581893,0.018369335975361733,0.6886463565440193,0.02280741212957404,0.022549289201586664,1.484952544753337,2.068852642835957
initial_heterogeneous,E76,46.580000000000005,977.6669123468735,1063.5435828440282,458.2214612581893,471.9455073779175,0.018663959226682982,0.6903470604268055,0.02293327098083192,0.022672302283903954,1.3583617846669096,1.882416617297631
initial_heterogeneous,E76,52.06,944.3644108284057,1023.2787358626779,471.9455073779175,484.510799224584,0.018952311995384157,0.6919973909172639,0.023054462815261488,0.02279073924348783,1.2400918083942478,1.7298020047512472
initial_heterogeneous,E76,57.54,912.4796620543636,985.6118497405075,484.510799224584,495.9884195890529,0.019234541160060112,0.6936005717470708,0.02317119262863593,0.022904802040729685,1.1296521144314384,1.603057554080274
initial_heterogeneous,E76,63.02,882.1122720395733,950.3809352256156,495.9884195890529,506.4460998241225,0.019510671497065504,0.6951587691884245,0.02328361185393107,0.023014640151850507,1.026598964588022,1.4964490970380477
initial_heterogeneous,E76,68.50000000000001,853.302387147254,917.4380760623133,506.4460998241225,515.9483908464846,0.01978067689044662,0.696673561109516,0.0233918493346461,0.023120380863238598,0.9305182759524941,1.4058543010180997
initial_heterogeneous,E76,73.98000000000002,826.0452124624104,886.6445430590284,515.9483908464846,524.55675149986,0.020044526245859867,0.6981462414420236,0.02349602977244045,0.023222147308504193,0.8410158546653751,1.3283373266778657
initial_heterogeneous,E76,79.46000000000002,800.3020565456749,857.8683099598926,524.55675149986,532.3295995467429,0.020302209415981355,0.6995780006343413,0.023596282982431736,0.023320067515195372,0.7577126443068088,1.2618522748396528
initial_heterogeneous,E76,84.94000000000001,776.0086335543414,830.9831310527777,532.3295995467429,539.322356076079,0.02055374761684276,0.7009700131251695,0.023692746601638847,0.023414277052320305,0.6802432583542654,1.2050409851657247
initial_heterogeneous,E76,90.42000000000002,753.0810942983215,805.8685764098159,539.322356076079,545.5875029452825,0.020799192131722686,0.7023234561161361,0.023785564329514876,0.02350491731362385,0.6082565278579123,1.157101607883956
initial_heterogeneous,E76,95.90000000000002,731.4201055522773,782.4106091637799,545.5875029452825,551.1746646807916,0.021038614357465145,0.7036394781225919,0.023874881254539407,0.023592130956825778,0.5414171766964322,1.1177118391641374
initial_heterogeneous,E76,101.38000000000001,710.9132002131752,760.5024404852003,551.1746646807916,556.1307207267614,0.0212720894250638,0.7049191303546475,0.023960837331512472,0.023676055539808727,0.4794080517959914,1.0869961467627904
initial_heterogeneous,E76,106.86000000000001,691.4355495931811,740.0455160351916,556.1307207267614,560.4999506723341,0.021499674769666625,0.7061632688703102,0.02404355963600094,0.023756815966031408,0.42193258776369863,1.0655304644088688
initial_heterogeneous,E76,112.34,672.8492481514475,720.9505765508655,560.4999506723341,564.3242136795724,0.02172138418844478,0.707372430728791,0.024123153647095788,0.02383451598458359,0.3687173789452973,1.0543811185152447
initial_heterogeneous,E76,117.82000000000002,655.0011449811794,703.1388001233959,564.3242136795724,567.6431633717222,0.021937157140050945,0.7085466830926863,0.02419969349745048,0.023909228685365602,0.31951487555641245,1.0551774007173842
initial_heterogeneous,E76,123.30000000000003,637.7192065637206,686.5430808461829,567.6431633717222,570.4945005896443,0.02214682231263201,0.7096854403333814,0.024273210870241303,0.02398098567675296,0.2741063259117771,1.070219324271573
initial_heterogeneous,E76,128.78,620.8073580441417,671.1095341353563,570.4945005896443,572.9142684431142,0.02235005380637482,0.7107872405721823,0.024343682000004724,0.02404976441587671,0.23230516646625624,1.1026236999194245
initial_heterogeneous,E76,134.26000000000002,604.0387376583386,656.7993489282817,572.9142684431142,574.9371968335539,0.02254631762343544,0.7118494696157004,0.024411012030612814,0.024115472963006493,0.19396112721575232,1.156512599037152
