% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case (v01).mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 18 2022, 19:59
% Table:              Evaluation Group 4 - P_ap for phi vs. R - 
% R_channel (mm)         phi                      t (ns)                   P_ap (W)
0.5                      0.1                      0.9999999999999999       6.216420641630328
0.5                      0.3                      0.9999999999999999       2.1343989721455894
0.5                      0.5                      0.9999999999999999       1.3096158894722776
0.5                      0.7                      0.9999999999999999       0.9360633398593922
0.5                      0.9                      0.9999999999999999       0.6733546542671525
1                        0.1                      0.9999999999999999       24.69941677049025
1                        0.3                      0.9999999999999999       8.194154467384529
1                        0.5                      0.9999999999999999       5.070452189196403
1                        0.7                      0.9999999999999999       3.6281727774316956
1                        0.9                      0.9999999999999999       2.828264105188215
2                        0.1                      0.9999999999999999       93.50465437839267
2                        0.3                      0.9999999999999999       33.027107546498115
2                        0.5                      0.9999999999999999       19.781702189196377
2                        0.7                      0.9999999999999999       14.13215626946694
2                        0.9                      0.9999999999999999       11.007144811782483
4                        0.1                      0.9999999999999999       191.79697817478026
4                        0.3                      0.9999999999999999       118.1643593708282
4                        0.5                      0.9999999999999999       76.70220832962532
4                        0.7                      0.9999999999999999       55.97658772359177
4                        0.9                      0.9999999999999999       43.76587056153773
8                        0.1                      0.9999999999999999       196.15000000000876
8                        0.3                      0.9999999999999999       195.69178717629063
8                        0.5                      0.9999999999999999       185.6154689863831
8                        0.7                      0.9999999999999999       167.60159551036804
8                        0.9                      0.9999999999999999       145.60519800658548
