variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,active_flow_fraction
initial_energy_accounting,E80,2.74,636.496129050414,642.5657755798615,296.5685,631.2266172286315,6.328645267773797,162.12392289354972,7.88018876178241,0.9814754209656865,45.38416472151311,54.4904679965188,3.590250746535702,-1.4563007968806956,0.9854832707210301
initial_energy_accounting,E80,8.220000000000002,636.829804977267,638.4649462949958,631.2266172286315,633.4050241406787,4.102602404749638,132.68437933407995,7.892588560579419,0.9575661388416494,0.3053595098756,0.0,2.8835496307084196,-0.39232228639148103,0.9854832707210301
initial_energy_accounting,E80,13.700000000000001,634.6998799632614,634.754487226163,633.4050241406787,630.0648800119834,3.6205861224299967,116.98925539844807,7.8136610670774616,0.9383632787200259,-0.4681309690670568,0.0,2.315954806438473,-0.013102015099750234,0.9854832707210301
initial_energy_accounting,E80,19.180000000000003,631.1363045106789,630.8181243024651,630.0648800119834,626.2214379219017,3.6205515844262455,116.48403388304443,7.68278727033965,0.9377525374955947,-0.5382445689384856,0.0,1.8600847401221017,0.07634152804868309,0.9854832707210301
initial_energy_accounting,E80,24.66,626.7152158512737,626.5744166813203,626.2214379219017,622.0635051238859,3.620508587300929,115.92097400906147,7.52246260042008,0.9370627324637246,-0.5817768326562724,0.0,1.4939476499352986,0.033782188535776005,0.9854832707210301
initial_energy_accounting,E80,30.14,621.7691427666026,622.0270523611225,622.0635051238859,617.6061322594644,3.620461038501549,115.31315918783432,7.3457613606295515,0.936307128383136,-0.6230880971563495,0.0,1.199880592859813,-0.061880695391449726,0.9854832707210301
initial_energy_accounting,E80,35.620000000000005,616.4949267224947,617.2090007460592,617.6061322594644,612.8807075689847,3.6204087729413956,114.66354451351047,7.160409193498061,0.9354867336085563,-0.6598987270823155,0.0,0.9636973806839657,-0.17132901636094117,0.9854832707210301
initial_energy_accounting,E80,41.1,611.012099249859,612.1624725029117,612.8807075689847,607.9281188263284,3.620351888247611,113.97689544131453,6.971058881362946,0.934604872304685,-0.6908962416641384,0.0,0.7740042193062154,-0.2760110456190423,0.9854832707210301
initial_energy_accounting,E80,46.580000000000005,605.3951979848939,606.9296533136551,607.9281188263284,602.7898016490597,3.620290699731637,113.25868951037195,6.780570498919534,0.9336659829050553,-0.7160246001931537,0.0,0.6216500568660227,-0.3681645227957183,0.9854832707210301
initial_energy_accounting,E80,52.06,599.6919503957289,601.5486293842981,602.7898016490597,597.5034393084097,3.6202255901074376,112.51421230587616,6.590736952288126,0.9326745517846287,-0.7358288125060708,0.0,0.499285124760593,-0.44547620318363834,0.9854832707210301
initial_energy_accounting,E80,57.54,593.9336599103212,596.051945952153,597.5034393084097,592.1013733829528,3.62015693024313,111.7481526066049,6.40269975065926,0.9316346007553788,-0.7510735672827598,0.0,0.4010063749755699,-0.5082440362506034,0.9854832707210301
initial_energy_accounting,E80,63.02,588.1412350451978,590.4664555697224,592.1013733829528,586.6103684441647,3.620085044121482,110.96447289052671,6.217190976033653,0.9305494858653957,-0.7625531078914812,0.0,0.3220727091522183,-0.5578941848359432,0.9854832707210301
initial_energy_accounting,E80,68.50000000000001,582.3287549875835,584.8137497399989,586.6103684441647,581.0519966491566,3.6200101966377534,110.16641399725556,6.034676970687535,0.9294218518054642,-0.7710045445897794,0.0,0.25867626166035035,-0.5962290918638368,0.9854832707210301
initial_energy_accounting,E80,73.98000000000002,576.5056211858109,579.1108114827013,581.0519966491566,575.4432634397297,3.6199325924807773,109.35655881914865,5.8554457147408385,0.9282536587263508,-0.777074493685529,0.0,0.2077587030664854,-0.6250678168787206,0.9854832707210301
initial_energy_accounting,E80,79.46000000000002,570.677876703383,573.3707120771668,575.4432634397297,569.797288408592,3.6198523799256805,108.53691687437681,5.679661204331281,0.9270462388474496,-0.7813118480970733,0.0,0.16686370223079555,-0.646096651869901,0.9854832707210301
initial_energy_accounting,E80,84.94000000000001,564.8490094954918,567.603275603312,569.797288408592,564.1239596301448,3.619769656395176,107.70901168201941,5.507397650379713,0.9258003623990139,-0.7841719951643114,0.0,0.13401842960704907,-0.6608358342088055,0.9854832707210301
