variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,active_flow_fraction
fitted_energy_accounting,E79,2.74,621.3217412736352,620.3223622383173,296.70399999999995,618.2920751727295,16.52708732657624,415.372933584307,0.0,0.9997606468620897,52.99802372476734,51.54875583414246,4.531911082747469,0.5457679583574174,0.993964200581811
fitted_energy_accounting,E79,8.220000000000002,623.8216008605551,620.7986940005449,618.2920751727295,618.8416740107251,10.480050926693616,332.7835924122925,0.0,0.9984589332433281,0.09345462943027989,0.0,3.78169036775684,1.650830812923334,0.993964200581811
fitted_energy_accounting,E79,13.700000000000001,623.4037033241333,620.456463609215,618.8416740107251,618.503801050441,8.838815483348933,280.7031625825636,0.0,0.995754017212874,-0.057453730397288405,0.0,3.1556625398119618,1.6095084499037327,0.993964200581811
fitted_energy_accounting,E79,19.180000000000003,621.6097629722987,619.2390323249731,618.503801050441,617.3014869914731,7.903814273942079,250.7721200666254,0.0,0.9924045754729535,-0.2044139080793522,0.0,2.633268484928693,1.2946727712720272,0.993964200581811
fitted_energy_accounting,E79,24.66,618.9805513351731,617.2378386656444,617.3014869914731,615.3257379161337,7.273922664942793,230.33680270769722,0.0,0.988712458303607,-0.33579590834989614,0.0,2.197352481844221,0.9517077125294262,0.993964200581811
fitted_energy_accounting,E79,30.14,615.7476943719251,614.5685362443354,615.3257379161337,612.6905935983237,6.8104366752205445,215.04809913404873,0.0,0.9848309411659739,-0.44764354487415636,0.0,1.833598798262195,0.6439465919659605,0.993964200581811
fitted_energy_accounting,E79,35.620000000000005,612.0398596379305,611.3389785306703,612.6905935983237,609.5022267309722,6.450167315830801,202.93911156454882,0.0,0.9808435771255525,-0.541282935607434,0.0,1.5300615539691609,0.3827561289986483,0.993964200581811
fitted_energy_accounting,E79,41.1,607.9450562934653,607.6420690020094,609.5022267309722,605.8520768703358,6.159429489731941,192.9681223060182,0.0,0.9767985395830956,-0.6192246856728494,0.0,1.2767724112566525,0.16546350245733155,0.993964200581811
fitted_energy_accounting,E79,46.580000000000005,603.5304559424368,603.5556006334222,605.8520768703358,601.8167401525723,5.918316100477068,184.52280170062758,0.0,0.9727247462764853,-0.6840068409610678,0.0,1.0654132089766792,-0.013731693559339566,0.993964200581811
fitted_energy_accounting,E79,52.06,598.849560553186,599.143868973745,601.8167401525723,597.4595657709472,5.714168601208655,177.21535187250225,0.0,0.9686400102025091,-0.7378994083924832,0.0,0.8890427893447095,-0.16072390968735698,0.993964200581811
fitted_energy_accounting,E79,57.54,593.9454744174707,594.4595615844837,597.4595657709472,592.832512251555,5.5384842360007065,170.7859450936737,0.0,0.9645554183299094,-0.782857043862134,0.0,0.7418690463252218,-0.28074663730482696,0.993964200581811
fitted_energy_accounting,E79,63.02,588.8528630816986,589.5455154743735,592.832512251555,587.9778702418241,5.38530346883746,165.05261856883595,0.0,0.9604778022383071,-0.8205399931607557,0.0,0.6190587095376535,-0.3782623697737237,0.993964200581811
fitted_energy_accounting,E79,68.50000000000001,583.5993755493985,584.4362508405163,587.9778702418241,582.9297647135717,5.250305063927,159.88329262826704,0.0,0.9564111893166678,-0.8523507178213039,0.0,0.5165786168768434,-0.4570235144945347,0.993964200581811
fitted_energy_accounting,E79,73.98000000000002,578.2067767559457,579.1592796066748,582.9297647135717,577.7154363292443,5.1302678297455655,155.17920755284658,0.0,0.9523576841002845,-0.8794711057307736,0.0,0.43106326314945537,-0.5201685424656074,0.993964200581811
fitted_energy_accounting,E79,79.46000000000002,572.6918811430838,573.7362110352192,577.7154363292443,572.3563243335874,5.022734940454005,150.86464394730098,0.0,0.9483180185853737,-0.902896201888131,0.0,0.35970427494747986,-0.5703159391381596,0.993964200581811
fitted_energy_accounting,E79,84.94000000000001,567.0673310625571,568.183681040036,572.3563243335874,566.8689772460654,4.92579621392904,146.88028658888473,0.0,0.944291903648392,-0.9234636506642894,0.0,0.30015818205002626,-0.6096466170387822,0.993964200581811
fitted_energy_accounting,E79,90.42000000000002,561.3422491907575,562.5141304504403,566.8689772460654,561.2658161128261,4.837942151702235,143.17879503139784,0.0,0.9402782571841612,-0.9418790155561626,0.0,0.25046945651321734,-0.6399726429432092,0.993964200581811
fitted_energy_accounting,E79,95.90000000000002,555.5227915623998,556.7364540796508,561.2658161128261,555.5557717033744,4.757963292545949,139.72176100640718,0.0,0.9362753534502296,-0.9587374917078995,0.0,0.20900629200762844,-0.6627896831598904,0.993964200581811
fitted_energy_accounting,E79,101.38000000000001,549.6126367548289,550.8565370227954,555.5557717033744,549.7448118072041,4.684879113886601,136.47756520919594,0.0,0.9322809202300522,-0.9745428600905082,0.0,0.17440701435974454,-0.6793027326536841,0.993964200581811
fitted_energy_accounting,E79,106.86000000000001,543.613484762072,544.8776835190425,549.7448118072041,543.836364315896,4.61788676141136,133.41983291934145,0.0,0.928292199310165,-0.989725419899501,0.0,0.1455353633888199,-0.6903878810408778,0.993964200581811
fitted_energy_accounting,E79,112.34,537.5257682336436,538.8009141872087,543.836364315896,537.8316142148026,4.556323470770585,130.5262956248607,0.0,0.9243059768344782,-1.004663488356206,0.0,0.12144317746892591,-0.6963662225149316,0.993964200581811
fitted_energy_accounting,E79,117.82000000000002,531.3501992901421,532.6250182280431,537.8316142148026,531.7295698183303,4.499638835273619,127.77792589104673,0.0,0.9203185770217318,-1.019722239799648,0.0,0.10133925535573285,-0.696187636948264,0.993964200581811
fitted_energy_accounting,E79,123.30000000000003,525.092126218331,526.3459666562889,531.7295698183303,525.5265342976443,4.447374878871749,125.15823417035715,0.0,0.9163257792257951,-1.0353529506585433,0.0,0.08456337268252165,-0.6847311297785162,0.993964200581811
fitted_energy_accounting,E79,128.78,518.7749855875051,519.9544032041233,525.5265342976443,519.2137993108478,4.399154253480361,122.65257981510112,0.0,0.9123225129988023,-1.0523885318754744,0.0,0.07056459981219461,-0.6440883007594215,0.993964200581811
fitted_energy_accounting,E79,134.26000000000002,512.4828289983157,513.4271131874239,519.2137993108478,512.7697920524015,4.354682268080041,120.24716744522416,0.0,0.90830184042424,-1.0729636062597656,0.0,0.05888320899107565,-0.5156802732356931,0.993964200581811
