z_mm,solid_K,gas_in_K,gas_out_K,qsolar_W,qgas_W,qside_cavity_W,qcond_to_next_W,qrad_to_next_W,h_W_m2_K,Nu,beta_tr_1_m,ell_rad_m,k_rad_W_m_K,tau_cell,tau_channel
2.74,307.606988100937,295.681,305.161704930326,0.0,1.2515656008780953,-0.0022273598302747733,-1.305747118862422,-0.0,63.622560411075796,3.61,1000.0,0.001,0.0,5.48,1.5
8.220000000000002,308.06361375923973,305.161704930326,307.48207069028126,0.0,0.30639357424423586,-0.0007218964758346534,-1.5986755586465808,-0.0,64.55527317708224,3.61,1000.0,0.001,0.0,5.48,1.5
13.700000000000001,308.62312025037915,307.48207069028126,308.39595705008804,0.0,0.12068361292493947,0.0011227579006027034,-1.7069986543157056,-0.0,64.82456680863511,3.61,1000.0,0.001,0.0,5.48,1.5
19.180000000000003,309.22107615811746,308.39595705008804,309.0573760506728,0.0,0.08734724609905088,0.0030941773561299827,-1.783161385765893,-0.0,64.9657567827484,3.61,1000.0,0.001,0.0,5.48,1.5
24.66,309.8463062314537,309.0573760506728,309.69024508108197,0.0,0.08357956504311949,0.00515551785766951,-1.85679017859342,-0.0,65.08581830964759,3.61,1000.0,0.001,0.0,5.48,1.5
30.14,310.49799948839876,309.69024508108197,310.33868220404815,0.0,0.08563827055076147,0.007304105653443417,-1.9337707090964038,-0.0,65.20559552969397,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
35.620000000000005,311.17741373938264,310.33868220404815,311.0124865049063,0.0,0.08899142866184492,0.009544087657832778,-2.0154595622789495,-0.0,65.3293152257373,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
41.1,311.88629274624026,311.0124865049063,311.7150084104386,0.0,0.09278749352971757,0.011881212933540495,-2.1023645357536616,-0.0,65.45804240423551,3.61,1000.0,0.001,0.0,5.48,1.5
46.580000000000005,312.62657047589016,311.7150084104386,312.4484704121852,0.0,0.09687757096235483,0.014321857636333658,-2.194847299955978,-0.0,65.59225628987153,3.61,1000.0,0.001,0.0,5.48,1.5
52.06,313.40032145572553,312.4484704121852,313.21498521636187,0.0,0.10124723488918283,0.016872861340185875,-2.293258025256173,-0.0,65.73234221867632,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
57.54,314.2097584906964,313.21498521636187,314.01675588716586,0.0,0.10590850218674148,0.019541519510654606,-2.3979620353087694,-0.0,65.87868618018051,3.61,1000.0,0.001,0.0,5.48,1.5
63.02,315.05723995246444,314.01675588716586,314.85612139274957,0.0,0.11087941750506168,0.02233560753672257,-2.50934602933279,-0.0,66.03169389718455,3.61,1000.0,0.001,0.0,5.48,1.5
68.50000000000001,315.94527950828046,314.85612139274957,315.7355735394887,0.0,0.11618027651779649,0.025263412806237,-2.6278204930991347,-0.0,66.19179568503992,3.61,1000.0,0.001,0.0,5.48,1.5
73.98000000000002,316.87655698630886,315.7355735394887,316.6577691920273,0.0,0.12183300559225738,0.02833377052813617,-2.7538214643416294,-0.0,66.35944871325896,3.61,1000.0,0.001,0.0,5.48,1.5
79.46000000000002,317.85393018943154,316.6577691920273,317.6255423474959,0.0,0.12786114520427522,0.031556102681747605,-2.8878122741948977,-0.0,66.53513887373087,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
84.94000000000001,318.8804476932866,317.6255423474959,318.6419169939798,0.0,0.13428995664958931,0.034940460211040296,-3.0302854035654923,-0.0,66.71938267845131,3.61,1000.0,0.001,0.0,5.48,1.5
90.42000000000002,319.9593627194121,318.6419169939798,319.71012101134295,0.0,0.14114656338352363,0.03849756876342443,-3.181764496292793,-0.0,66.9127292751486,3.61,1000.0,0.001,0.0,5.48,1.5
95.90000000000002,321.09414819634554,319.71012101134295,320.8336012585957,0.0,0.14846011204086015,0.042238878345159346,-3.342806547805231,-0.0,67.11576260775578,3.61,1000.0,0.001,0.0,5.48,1.5
101.38000000000001,322.28851313646555,320.8336012585957,322.01603998207867,0.0,0.15626195194439346,0.046176617314673346,-3.514004282471629,-0.0,67.32910373838048,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
106.86000000000001,323.54642047062623,322.01603998207867,323.261372688689,0.0,0.1645858345578105,0.0503238511821245,-3.6959887285808866,-0.0,67.55341334656792,3.6099999999999994,1000.0,0.001,0.0,5.48,1.5
112.34,324.8721064968366,323.261372688689,324.5738076421875,0.0,0.17346813487632842,0.05469454673035795,-3.889432000390082,-0.0,67.78939442244474,3.61,1000.0,0.001,0.0,5.48,1.5
117.82000000000002,326.2701021152981,324.5738076421875,325.9578471567374,0.0,0.1829480970861951,0.059303642025362605,-4.095050300856496,-0.0,68.03779517143133,3.6099999999999994,1000.0,0.001,0.0,5.48,1.5
123.30000000000003,327.74525604161767,325.9578471567374,327.4183108812308,0.0,0.19306810730010718,0.064167122948636,-4.31360716397838,-0.0,68.29941214958656,3.61,1000.0,0.001,0.0,5.48,1.5
128.78,329.302760213715,327.4183108812308,328.9603612914747,0.0,0.20387399676866363,0.06930210696200796,-4.545916970526573,-0.0,68.57509365041439,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
134.26000000000002,330.94817763971224,328.9603612914747,330.5895316382749,0.0,0.21541538001361274,0.0747269349202163,NaN,NaN,68.86574336649375,3.6100000000000008,1000.0,0.001,0.0,5.48,1.5
