z_mm,solid_K,gas_in_K,gas_out_K,qsolar_W,qgas_W,qside_cavity_W,qcond_to_next_W,qrad_to_next_W,h_W_m2_K,Nu,beta_tr_1_m,ell_rad_m,k_rad_W_m_K,tau_cell,tau_channel
2.74,696.7690909249105,296.33849999999995,551.6856088912652,131.6928,79.01202580520153,1.2680130592878374,44.544852018018815,0.06090455404232954,96.6749760219616,3.6100000000000003,2674.6655677423446,0.0003738785185185185,0.038247901154924865,14.657167311228049,4.011998351613517
8.220000000000002,671.9438728403541,551.6856088912652,634.4490758740683,0.0,26.409373499790707,1.1861660246047703,16.891096051950083,0.02330517981206101,113.55201113100564,3.6100000000000003,2493.2037113645765,0.0004010903703703704,0.03680032840401955,13.66275633827788,3.739805567046865
13.700000000000001,662.663873062049,634.4490758740683,654.2337758294275,0.0,6.382618124623348,1.1555705043105784,9.3639433429469,0.01429998563069618,118.63557751417771,3.61,2205.8823529411766,0.0004533333333333333,0.039894038426812786,12.088235294117649,3.308823529411765
19.180000000000003,657.5515505415565,654.2337758294275,656.5684019261441,0.0,0.7549686720838835,1.1387155289697544,7.477694471973634,0.013088664272767015,119.63633083064826,3.61,1892.7497868903945,0.0005283318518518518,0.0454262280867798,10.372268832159362,2.839124680335592
24.66,653.4856793898588,656.5684019261441,654.4000614938595,0.0,-0.7012080833788359,1.125310631738382,7.056904280787212,0.014297058392597315,119.5184829207303,3.61,1603.0512596420565,0.0006238103703703704,0.05264671519527807,8.78472090283847,2.404576889463085
30.14,649.6622177075496,654.4000614938595,651.0722687110322,0.0,-1.0755146889319542,1.112704941836467,7.0203441606129156,0.016429456832361886,119.1101316436261,3.6100000000000003,1355.9444605148974,0.0007374933333333332,0.0611549188617061,7.430575643621639,2.033916690772346
35.620000000000005,645.8717283317181,651.0722687110322,647.4257089248575,0.0,-1.1776456838957101,1.1002079593586989,7.096370740275651,0.01903671370501973,118.6240274191831,3.61,1153.2626226729722,0.0008671051851851853,0.07065144874831322,6.319879172247888,1.7298939340094583
41.1,642.0535790546086,647.4257089248575,643.665636288748,0.0,-1.2133298661658136,1.0876197840909407,7.218953154062453,0.02197107975124696,118.11310629646636,3.61,989.7360703812316,0.0010103703703703705,0.08087324700991658,5.42375366568915,1.4846041055718473
46.580000000000005,638.1833314347709,643.665636288748,639.8356141215486,0.0,-1.2348869849292492,1.0748598441744424,7.37435457597166,0.025178040767374343,117.58960614635751,3.61,858.3592748580845,0.0011650133333333335,0.09157516938850727,4.7038088262223035,1.2875389122871268
52.06,634.2442426781172,639.8356141215486,635.936908421904,0.0,-1.2559830065751512,1.0618729397699214,7.5625130176045525,0.028635718212005116,117.05527377034407,3.61,752.5821931248549,0.0013287585185185187,0.10252413815615342,4.124150418324206,1.1288732896872824
57.54,630.219882709441,635.936908421904,631.9584987142856,0.0,-1.280571810288916,1.0486049020507164,7.787342380577265,0.032336464184018726,116.50897214284359,3.61,666.9644127551262,0.0014993303703703705,0.11349692737324243,3.654964981898092,1.0004466191326893
63.02,626.0920469196599,631.9584987142856,627.8844960432774,0.0,-1.310205540089857,1.0349957116741615,8.054338686106405,0.0362805929535104,115.94857634440582,3.61,597.2098356478532,0.0016744533333333334,0.12427909274623171,3.272709899350236,0.8958147534717799
68.50000000000001,621.8399848886125,627.8844960432774,623.6958127903284,0.0,-1.3458925206603713,1.0209769559337565,8.37004466887108,0.04047337694263359,115.3714204248221,3.61,539.9999999999999,0.0018518518518518521,0.1346643493788509,2.9591999999999996,0.8099999999999998
73.98000000000002,617.4399394281131,623.6958127903284,619.3703475188726,0.0,-1.3885761015957871,1.0064703090158549,8.741995518926904,0.044922601207364334,114.77437181661382,3.61,492.7928138396664,0.0020292503703703705,0.14445422690017445,2.700504619841372,0.7391892207594996
79.46000000000002,612.8647407285865,619.3703475188726,614.8827688577926,0.0,-1.4392629556999965,0.9913861939290662,9.17879581121925,0.049635789914108594,114.1538059847291,3.61,453.64366592470714,0.002204373333333334,0.1534579958576088,2.4859672892673954,0.6804654988870608
84.94000000000001,608.0833916129277,614.8827688577926,610.2041766521097,0.0,-1.4990612861539023,0.9756224151147875,9.69023768561091,0.054616759119803966,113.50555044434192,3.61,421.0623496651462,0.0023749451851851856,0.16149291747081718,2.3074216761650015,0.6315935244977193
90.42000000000002,603.0606303102876,610.2041766521097,605.3017149011582,0.0,-1.5691947065070455,0.9590627169424806,10.287435949059585,0.059861322327986986,112.82481559638694,3.6100000000000003,393.903885117786,0.0025386903703703704,0.1683848956463072,2.1585932904454674,0.590855827676679
95.90000000000002,597.7564724894129,605.3017149011582,600.138161254484,0.0,-1.6510078137890354,0.9415752738251264,10.98297172048572,0.06535205687715173,112.10611677731943,3.61,371.2871287128712,0.002693333333333334,0.17396962712817893,2.0346534653465342,0.5569306930693069
101.38000000000001,592.125741499484,600.138161254484,594.671508295046,0.0,-1.745966501725318,0.9230111414556135,11.791039218809352,0.07105212212325618,111.34318879709922,3.61,352.53490879007927,0.0028365985185185186,0.17809435790266928,1.9318913001696345,0.5288023631851189
106.86000000000001,586.1176019036864,594.671508295046,588.8545536396965,0.0,-1.855652421210835,0.9032027188990411,12.727589586887149,0.0768982426806562,110.52889375853817,3.61,337.1305049665566,0.002966210370370371,0.180620360844341,1.8474751672167304,0.5056957574498349
112.34,579.6751184473765,588.8545536396965,582.6345218111642,0.0,-1.9817497007347435,0.8819622945411295,13.810463566212096,0.08279315455477956,109.65512327261145,3.61,324.6865692318349,0.0030798933333333334,0.1814262477453126,1.7792823993904554,0.4870298538477523
117.82000000000002,572.7348712435928,582.6345218111642,575.9527491894181,0.0,-2.126021315956268,0.8590807773813464,15.059501932992243,0.088598075380367,108.71269686493311,3.6100000000000003,314.92374646352295,0.0031753718518518523,0.1804122129629025,1.725782130620106,0.4723856196952844
123.30000000000003,565.2266684235271,575.9527491894181,568.7444737889715,0.0,-2.2902719204802637,0.8343267496612956,16.496618991939584,0.09412611029742944,107.69125932521254,3.6099999999999994,307.6572470373746,0.003250370370370371,0.1775052687319744,1.6859617137648129,0.4614858705560619
128.78,557.0734097504983,568.7444737889715,560.9387839916137,0.0,-2.476293466702575,0.8074460172093804,18.145820207557737,0.09913793388319854,106.57918099199036,3.6100000000000003,302.7905174084361,0.0033026133333333343,0.17266546479482991,1.65929203539823,0.4541857761126541
