z_mm,solid_K,gas_in_K,gas_out_K,qsolar_W,qgas_W,qside_cavity_W,qcond_to_next_W,qrad_to_next_W,h_W_m2_K,Nu,beta_tr_1_m,ell_rad_m,k_rad_W_m_K,tau_cell,tau_channel
2.74,846.1832046926552,296.4675,833.4021477179244,87.7952,50.52916926741843,1.7226924404987014,23.671069897420775,0.0,107.79742479097602,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
8.220000000000002,831.636950020415,833.4021477179244,831.6529103900839,0.0,-0.17434934063098187,1.674734440427467,22.169206608772026,0.0,142.65355058017374,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
13.700000000000001,818.1017809481733,831.6529103900839,818.2273204670233,0.0,-1.3360271696995856,1.6301099199610747,21.87412222075179,0.0,141.689971322112,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
19.180000000000003,804.8349289887408,818.2273204670233,804.9644159086353,0.0,-1.316131761993537,1.5863700225406252,21.60318579858335,0.0,140.00206278577812,3.61,1000.0,0.001,0.0,5.48,1.5
24.66,791.8225124463714,804.9644159086353,791.955090488137,0.0,-1.2873712535858308,1.5434689811710687,21.346506397023354,0.0,138.33367806590226,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
30.14,779.0565410065931,791.955090488137,779.192256581192,0.0,-1.2595028890563627,1.501380452335764,21.103988300174922,0.0,136.68988970334695,3.6099999999999994,1000.0,0.001,0.0,5.48,1.5
35.620000000000005,766.5289395937748,779.192256581192,766.667856831847,0.0,-1.2326147363804876,1.4600778130663659,20.875668880160386,0.0,135.0696079267538,3.61,1000.0,0.001,0.0,5.48,1.5
41.1,754.231493893846,766.667856831847,754.3736877822099,0.0,-1.2067127122574983,1.4195339813349805,20.66164138530157,0.0,133.4716950288379,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
46.580000000000005,742.1558445917792,754.3736877822099,742.3014020379236,0.0,-1.1818022615191612,1.379721397055543,20.462057575028282,0.0,131.8950135694266,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
52.06,730.2934814919096,742.3014020379236,730.4425025792973,0.0,-1.1578891694702829,1.340612002698917,20.27712948489473,0.0,130.3384225397182,3.61,1000.0,0.001,0.0,5.48,1.5
57.54,718.6357378297353,730.4425025792973,718.7883371988574,0.0,-1.134979582508703,1.30217722453929,20.10712967454717,0.0,128.8007730529175,3.61,1000.0,0.001,0.0,5.48,1.5
63.02,707.1737854686704,718.7883371988574,707.3300938294512,0.0,-1.113079953372765,1.2643879568182006,19.95239014910513,0.0,127.28090412013013,3.61,1000.0,0.001,0.0,5.48,1.5
68.50000000000001,695.8986315544655,707.3300938294512,696.0587973368504,0.0,-1.0921969306009047,1.2272145507143915,19.813300242738656,0.0,125.77763860505108,3.61,1000.0,0.001,0.0,5.48,1.5
73.98000000000002,684.801117026984,696.0587973368504,684.9653081783194,0.0,-1.0723372096286152,1.1906268094372396,19.690303780729455,0.0,124.28977942895179,3.61,1000.0,0.001,0.0,5.48,1.5
79.46000000000002,673.8719172092863,684.9653081783194,674.0403231498412,0.0,-1.0535073631752683,1.1545939901689268,19.58389582333058,0.0,122.81610607543243,3.61,1000.0,0.001,0.0,5.48,1.5
84.94000000000001,663.1015445322935,674.0403231498412,663.2743782837944,0.0,-1.0357136664977904,1.1190848130474669,19.494619259082814,0.0,121.35537142223588,3.61,1000.0,0.001,0.0,5.48,1.5
90.42000000000002,652.4803533221211,663.2743782837944,652.657853828346,0.0,-1.0189619298907189,1.084067476950216,19.42306146748714,0.0,119.90629890745994,3.61,1000.0,0.001,0.0,5.48,1.5
95.90000000000002,641.9985464815422,652.657853828346,642.1809811447714,0.0,-1.0032573472225312,1.0495096815221967,19.369851210496595,0.0,118.46758002101966,3.61,1000.0,0.001,0.0,5.48,1.5
101.38000000000001,631.646183841318,642.1809811447714,631.8338513036474,0.0,-0.9886043653971259,1.0153786547098593,19.335655854432513,0.0,117.03787210002798,3.61,1000.0,0.001,0.0,5.48,1.5
106.86000000000001,621.4131919367012,631.8338513036474,621.6064251409127,0.0,-0.9750065762528505,0.9816411849935412,19.32117896781612,0.0,115.6157963991441,3.61,1000.0,0.001,0.0,5.48,1.5
112.34,611.2893749751274,621.6064251409127,611.4885445459847,0.0,-0.9624666295084358,0.9482636575471896,19.327158295675908,0.0,114.19993640359583,3.61,1000.0,0.001,0.0,5.48,1.5
117.82000000000002,601.2644267940191,611.4885445459847,601.4699447876525,0.0,-0.9509861633585033,0.9152120936624171,19.35436407472908,0.0,112.78883635292247,3.61,1000.0,0.001,0.0,5.48,1.5
123.30000000000003,591.3279436557001,601.4699447876525,591.5402677323165,0.0,-0.9405657480140468,0.882452192932456,19.403597630153403,0.0,111.3809999466689,3.61,1000.0,0.001,0.0,5.48,1.5
128.78,581.469437781322,591.5402677323165,581.6890758650576,0.0,-0.9312048369725189,0.8499493778725793,19.47569018035122,0.0,109.97488920843583,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
134.26000000000002,571.6783515814376,581.6890758650576,571.9058670810576,0.0,-0.9229017208494494,0.8176688408373232,NaN,NaN,108.56892349099904,3.6100000000000003,1000.0,0.001,0.0,5.48,1.5
