variant,simulation_id,z_mm,Tside_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_side_W_m_K,UA_over_mcp,effectiveness,Qgas_W,Qcore_side_W
fitted_measurement_bias,E80,2.74,658.2919322042244,687.2724736547822,296.5685,686.3527773773455,9.426153250803388,250.56844115428052,0.005823819158476279,6.05166196927881,0.9976460534331568,53.06495932891267,5.182887776123969
fitted_measurement_bias,E80,8.220000000000002,660.3386647070225,677.269794370767,686.3527773773455,677.3836628375743,5.526500317214807,188.50890881933367,0.005878309719459159,4.3791139602776825,0.9874635384955797,-1.2694833561951702,3.0279677527730393
fitted_measurement_bias,E80,13.700000000000001,657.2884532100859,668.5610031776097,677.3836628375743,668.6655906757851,5.640709399596007,190.54840733636027,0.005797226809831435,4.4350546281168555,0.9881455816945989,-1.2315686292217014,2.0159858480249753
fitted_measurement_bias,E80,19.180000000000003,651.8928914144427,660.4551365429483,668.6655906757851,660.5472914022066,5.753329643893066,192.5420805214241,0.005655630383521881,4.489693100738472,0.9887759120546376,-1.1447373976153723,1.5312742064677414
fitted_measurement_bias,E80,24.66,645.4425778828728,652.6718326958271,660.5472914022066,652.755668498451,5.863488667700164,194.4759758310332,0.005489403013419101,4.542646555231037,0.9893548038597498,-1.0967729891847007,1.2928818622822904
fitted_measurement_bias,E80,30.14,638.5373358294307,645.0779938350473,652.755668498451,645.1555441612402,5.973686905864429,196.3950361404107,0.005315096707165683,4.5951449062529734,0.9898992429879241,-1.0680308607445468,1.1697330252766949
fitted_measurement_bias,E80,35.620000000000005,631.4535610909554,637.6081998115058,645.1555441612402,637.6805219020442,6.085248189921955,198.32250986045386,0.00514015876692043,4.647821416161716,0.9904175446107664,-1.0487376904744181,1.1006972331976792
fitted_measurement_bias,E80,41.1,624.316710305,630.2283558225724,637.6805219020442,630.2960668109378,6.1989046421021206,200.27081290713173,0.004967834978337248,4.701011541608822,0.9909139184978865,-1.0343716423968081,1.0572402638534713
fitted_measurement_bias,E80,46.580000000000005,617.1817853422949,622.9188421845573,630.2960668109378,622.9823549367901,6.315113649384651,202.24731962375535,0.004799451245451939,4.754912071677366,0.9913906983385493,-1.0228452680644795,1.026016778513912
fitted_measurement_bias,E80,52.06,610.0708143372317,615.6666845922914,622.9823549367901,615.7263120765369,6.434211637829924,204.25713899080307,0.004635462049719557,4.8096573361315125,0.9918493478467866,-1.013199009486617,1.0007669315359347
fitted_measurement_bias,E80,57.54,602.9903027261558,608.4619050825871,615.7263120765369,608.51790701061,6.556489186110362,206.30445109343023,0.004475929802687364,4.86535582849283,0.9922909154085849,-1.0049975019362816,0.9785428273429636
fitted_measurement_bias,E80,63.02,595.9393575932061,601.2958145545167,608.51790701061,601.3484185430252,6.682228577521419,208.39316070459589,0.004320743531773136,4.922108059734713,0.9927162399500767,-0.998049995639466,0.9579501941147043
fitted_measurement_bias,E80,68.50000000000001,588.9134602563093,594.1602103302589,601.3484185430252,594.2096217559881,6.811723509597921,210.5272275977886,0.00416971839152568,4.980015526685582,0.9931260441730831,-0.9922803768448835,0.9383301850672393
fitted_measurement_bias,E80,73.98000000000002,581.9061940408023,587.0469999369075,594.2096217559881,587.0934067318437,6.945290398691842,212.71084407818134,0.00402264051279024,5.0391854776759875,0.9935209765211089,-0.9876661244970178,0.9193830999950638
fitted_measurement_bias,E80,79.46000000000002,574.9099858937104,579.948033002696,587.0934067318437,579.9916081390918,7.083275755742234,214.94853983721205,0.003879286362173251,5.099733673844085,0.9939016294951688,-0.9842086176772548,0.9010056910512054
fitted_measurement_bias,E80,84.94000000000001,567.916322961155,572.8550487236735,579.9916081390918,572.895951581517,7.226061649179502,217.24524998855424,0.0037394293891698962,5.161786130070473,0.9942685465835012,-0.98191677317583,0.8832430349120715
fitted_measurement_bias,E80,90.42000000000002,560.9155926161014,565.7597139472006,572.895951581517,565.7980910426024,7.374069905218967,219.60635826665822,0.0036028387228389048,5.225480166754809,0.9946222228899219,-0.9807943992575292,0.8663239531203388
fitted_measurement_bias,E80,95.90000000000002,553.8964791833786,558.6537770260803,565.7980910426024,558.6897622153228,7.527764637345836,222.03770998016896,0.003469269969693161,5.290964632998032,0.9949631008436564,-0.9808242608812169,0.8507964172575957
fitted_measurement_bias,E80,101.38000000000001,546.8446102331976,551.5294235170084,558.6897622153228,551.5631375433118,7.6876513268016256,224.545568350469,0.00333844396521884,5.358398601520136,0.9952915598376202,-0.9819404874190055,0.8378332593788909
fitted_measurement_bias,E80,106.86000000000001,539.7397522600753,544.380023660748,551.5631375433118,544.4115726448814,7.8542681886288195,227.13645132482634,0.003210003450350414,5.427946866559741,0.9956078958722846,-0.9839751746863251,0.8298673770976428
fitted_measurement_bias,E80,112.34,532.5501108889665,537.2016610377628,544.4115726448814,537.2311331160784,8.028160499320009,229.81671315544205,0.003083427358272813,5.499768653089273,0.9959122829902155,-0.9865521006657402,0.8318844714255719
fitted_measurement_bias,E80,117.82000000000002,525.2208282027447,529.996225951769,537.2311331160784,530.0236845899636,8.209818007131306,232.59158527153718,0.0029578633324574208,5.5739920007314465,0.9962047006864023,-0.9888741310764267,0.8540334093403189
fitted_measurement_bias,E80,123.30000000000003,517.6508902574983,522.777639174006,530.0236845899636,522.8031104906648,8.39953347631617,235.46308163427338,0.002831803921512232,5.650658157012649,0.996484797541745,-0.9892984455031522,0.9168691460080799
fitted_measurement_bias,E80,128.78,509.64704201861724,515.5843207157998,522.8031104906648,515.6077699764465,8.597094508841082,238.42553749619307,0.002702469535031327,5.729603631152216,0.9967516354710226,-0.9844900966201541,1.0618245085436917
fitted_measurement_bias,E80,134.26000000000002,500.8325739410392,508.50407785580506,515.6077699764465,508.5253661279429,8.801126335671977,241.4562540400689,0.0025646611049794004,5.810213627638629,0.9970032101931908,-0.9677403605699195,1.371973809811686
