irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-40.470988476208134,-34.14928244526689
456000.0,T12_wall,-32.73608969602033,-16.81065855368442
456000.0,T11_wall,-22.591305705740485,-1.3657133576718719
456000.0,T9_active,-33.28442835944079,-16.731949144758126
456000.0,T10_active,-22.848891691374483,-3.5441256722753445
456000.0,T3,-18.299229935241545,0.5430107656374393
304000.0,T8,-31.612108230834714,-23.65036823444102
304000.0,T12_wall,-24.066957157832878,-13.173548257550575
304000.0,T11_wall,-15.91934577425219,-1.9289615808695002
304000.0,T9_active,-24.46588111520635,-13.384545690629912
304000.0,T10_active,-16.106177309337184,-3.67897996265457
304000.0,T3,-12.508649540236707,-0.13175631351821884
256000.0,T8,-22.58729993571287,-20.88606484778701
256000.0,T12_wall,-16.156007988447598,-13.987976018518863
256000.0,T11_wall,-10.592636238983678,-5.174190237226035
256000.0,T9_active,-16.419308917448916,-13.924381477027032
256000.0,T10_active,-10.709902149405762,-6.148389808009175
256000.0,T3,-8.440396619175036,-3.039355302230513
