simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_wall_model,T12_wall_experiment,T11_wall_model,T11_wall_experiment,T9_active_model,T9_active_experiment,T10_active_model,T10_active_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,Lambda58_experiment,Lambda107_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_tube_heat,receiver_to_cavity_heat,active_wall_heat,flange_heat_loss,f_wall,G_aw_W_m_K,C_wall_eff_J_K,C_participating_eff_J_K,k_ETC_ref_W_m_K
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,847.521191929703,931.6279999999999,824.6505464383883,991.103,758.6472517303285,878.055,850.4510958933898,966.6659999999999,782.7914337353241,824.995,712.7044546554505,763.414,319.79830200607137,326.43699999999995,-22.87064549131469,59.47500000000002,-88.87394019937449,-53.57299999999998,-25.800549455001487,24.437000000000012,-24.144182004995514,53.059999999999945,0.035173069435758465,0.09121281586477252,4.214556099420408,0.7957347954458759,133.292485966658,34.66342379371943,39.691104431806416,51.536897481541395,34.974853923439426,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,930.9801891391048,1012.649,897.7421814489603,1047.717,815.6796336450127,898.751,926.5104139572295,1020.928,841.2499573819523,850.0989999999999,767.2367194291446,773.207,330.4859860873549,338.52,-33.238007690144514,35.0680000000001,-115.30055549409212,-113.89800000000002,-28.768232508269193,26.7890000000001,-25.5703237369396,48.652000000000044,0.03576819369219926,0.0810872748212279,2.413965832168101,0.688827472628338,124.82805747457502,34.12456097160122,44.48260493519672,60.39377511343766,39.90761978057675,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1002.7242169332459,1058.429,956.0611494175847,1070.73,855.8224123717773,896.755,987.1793611689028,1044.378,882.4381946324999,852.837,802.9783112067366,769.76,340.3347480008825,344.308,-46.66306751566117,12.30099999999993,-146.90180456146857,-161.6740000000001,-31.118211751318086,26.35200000000009,-26.61578226072254,43.918000000000006,0.03404688552781276,0.0731946538136868,1.5206290429486744,0.5952102990637012,115.5197245559156,35.56760580031865,48.099578484034936,68.47980388260726,42.24284968512378,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1062.1159562138923,1152.474,1001.3933808671867,1120.277,886.9008012805817,912.173,1034.4960792017687,1093.725,914.3984915642801,871.483,834.2462546029781,779.518,340.77959054178336,352.421,-60.72257534670564,-32.19699999999989,-175.2151549333106,-240.30099999999993,-33.10269833458199,26.552000000000135,-27.497690283698375,40.690000000000055,0.03233171423109301,0.06636406782867674,1.0421832749926296,0.5201432140956153,107.54570577568172,35.48517172736019,51.57457227580147,76.3535439354976,44.33987899160007,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1161.144821033736,1203.298,1069.337374321078,1120.348,926.8174489314276,882.823,1104.7718676503562,1095.306,955.2257620481416,847.476,874.6131272586834,753.56,346.87343019336663,356.00399999999996,-91.80744671265802,-82.95000000000005,-234.32737210230835,-320.475,-35.43449332927821,25.041999999999916,-28.408313116713998,35.34699999999998,0.030555252210167617,0.060729555296504756,0.561118061190347,0.4067571331450548,92.91948656385719,36.886387345665796,56.294158299300115,89.65539561824173,45.84860593767289,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,635.2494991603429,737.656,619.372260377687,797.899,581.6877079984923,733.977,635.7416908751352,771.112,597.0888962656868,684.1869999999999,554.3199450835561,652.9549999999999,308.11652194960755,309.928,-15.877238782655922,60.24300000000005,-53.56179116185058,-3.6789999999999736,-16.369430497448207,26.787000000000035,-15.40118826719447,49.79000000000008,0.0534162085200319,0.11379140908000156,9.194491685860891,0.914034721656236,96.52326232833772,23.856531301189335,24.610071292843074,29.944210781050682,21.30744913359719,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,736.5865817245904,837.694,707.937884872065,894.482,650.9503795031306,791.76,727.814762196856,867.5509999999999,668.2985132631142,747.4,616.40196562809,694.626,320.17537809677276,325.12,-28.648696852525404,56.78800000000001,-85.63620222145971,-45.93399999999997,-19.876877324791053,26.93100000000004,-17.34813375998351,44.360000000000014,0.04507272791175252,0.08965618993530448,3.7284625028620377,0.7757307753883721,87.23764926998639,25.206561239171908,30.493165699786424,38.014440168705505,27.123179445839373,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,860.8781672548291,948.538,804.2845936471196,962.509,716.8990565516804,804.0,828.4789459788767,935.491,736.3341202426207,767.8009999999999,675.6139604998141,697.672,325.71357279340737,333.964,-56.59357360770957,13.971000000000004,-143.97911070314876,-144.538,-24.19435233175716,27.01800000000003,-19.435063690940297,36.19900000000007,0.040569882365660545,0.07133468518266729,1.3703405118288061,0.57748408826959,72.8852195131496,27.332899880000163,37.45347310522372,50.11583920734214,31.40437049318173,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,946.7116681710485,1008.725,861.5023857287597,979.689,750.217871407358,788.678,887.8679898034438,954.178,770.490422982419,757.393,707.2890064500381,681.066,329.6286168478339,336.517,-85.20928244228878,-29.036000000000058,-196.4937967636905,-220.04700000000003,-26.365604074684143,25.510999999999967,-20.272551575061016,31.284999999999968,0.037352566735263215,0.06359159903855431,0.7067811000429306,0.4502678114837735,62.28130712153919,28.854935218988306,41.557320511459665,59.170656835121754,32.794467942607675,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1074.676874161519,1067.693,933.6087068631672,970.472,785.8916149044471,751.1579999999999,961.0457491521125,947.353,806.3797325453359,726.308,753.2554119573604,647.019,335.24350245061424,338.123,-141.0681672983518,-97.221,-288.78525925707186,-316.5350000000001,-27.43704228894535,23.119000000000028,-20.48811764088873,24.84999999999991,0.034300957931289816,0.05465256036798639,0.2513395834512514,0.28755357161583356,46.908581678653654,29.724184074587882,46.86252352787515,73.65473548509483,33.63296402571641,0.0010790997753477166,12.652095507417854,243.0,301.0215460526567,0.5
