simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_wall_model,T12_wall_experiment,T11_wall_model,T11_wall_experiment,T9_active_model,T9_active_experiment,T10_active_model,T10_active_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,Lambda58_experiment,Lambda107_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_tube_heat,receiver_to_cavity_heat,active_wall_heat,flange_heat_loss,f_wall,G_aw_W_m_K,C_wall_eff_J_K,C_participating_eff_J_K,k_ETC_ref_W_m_K
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,876.4343588258131,931.6279999999999,841.1096061041142,991.103,774.1507003369276,878.055,851.4222044954911,966.6659999999999,784.5889692275475,824.995,713.453327622641,763.414,321.6840365787392,326.43699999999995,-35.32475272169893,59.47500000000002,-102.28365848888552,-53.57299999999998,-10.312598391376923,24.437000000000012,-10.438268890619952,53.059999999999945,0.035173069435758465,0.09121281586477252,94.3348997799557,0.999999999999996,131.78019600569456,33.971586280495885,40.987538362379226,53.97303353245755,35.42146645451784,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,966.5872335816748,1012.649,919.1187004410167,1047.717,834.7438096454117,898.751,930.701283451776,1020.928,845.8750051405744,850.0989999999999,766.7721641141869,773.207,332.68406018071573,338.52,-47.46853314065811,35.0680000000001,-131.8434239362631,-113.89800000000002,-11.582583010759322,26.7890000000001,-11.131195495162729,48.652000000000044,0.03576819369219926,0.0810872748212279,45.66271800087148,0.9999999988533976,121.5798819378369,33.872560779940684,46.135889670889924,64.15435755267077,40.248787117455976,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1043.884092890755,1058.429,983.0283201794653,1070.73,879.3483193990293,896.755,995.6586513908007,1044.378,891.0121913729727,852.837,801.6766598890778,769.76,342.86248334182073,344.308,-60.855772711289774,12.30099999999993,-164.53577349172576,-161.6740000000001,-12.630331211335488,26.35200000000009,-11.663871973943401,43.918000000000006,0.03404688552781276,0.0731946538136868,24.960473056411686,0.9999990373980414,110.88167510637741,35.49144723624588,50.14233062223671,73.43194531832992,42.64742947699309,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1107.0112962691376,1152.474,1033.0920381801513,1120.277,913.2579590174631,912.173,1046.624055373792,1093.725,925.3314725014844,871.483,829.8382104240125,779.518,343.6161672540871,352.421,-73.91925808898623,-32.19699999999989,-193.75333725167445,-240.30099999999993,-13.53201719364074,26.552000000000135,-12.073513484021305,40.690000000000055,0.03233171423109301,0.06636406782867674,15.245237588473799,0.9999571726987,101.49735867735141,35.72055891936812,53.89928714877116,82.4410967711205,44.57054820257787,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1208.8955055953397,1203.298,1108.8873702945832,1120.348,957.881017469668,882.823,1123.6744089093556,1095.306,970.3888821771433,847.476,861.9853406806262,753.56,350.11696417830325,356.00399999999996,-100.00813530075652,-82.95000000000005,-251.01448812567173,-320.475,-14.787038614772428,25.041999999999916,-12.507864707475278,35.34699999999998,0.030555252210167617,0.060729555296504756,6.7950772310239556,0.9974540147954372,84.90162251553261,37.42770314543772,59.02978161692622,97.35727911345582,45.770161475413424,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,650.5856096784455,737.656,628.9610426329507,797.899,590.6353916130665,733.977,635.4307226305747,771.112,597.2527180770566,684.1869999999999,555.551420341333,652.9549999999999,309.21853909486737,309.928,-21.624567045494814,60.24300000000005,-59.95021806537898,-3.6789999999999736,-6.4696799976239845,26.787000000000035,-6.617326463990025,49.79000000000008,0.0534162085200319,0.11379140908000156,259.1389483537896,1.0,96.72755150393226,23.275924079407698,25.338908447766567,30.508586790684465,21.68581657118744,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,757.9635967981822,837.694,721.1107187285378,894.482,662.3857499057797,791.76,729.0882816204013,867.5509999999999,669.9510961119151,747.4,616.8553745935543,694.626,321.63262989158557,325.12,-36.85287806964436,56.78800000000001,-95.57784689240248,-45.93399999999997,-7.977562891863499,26.93100000000004,-7.565346206135473,44.360000000000014,0.04507272791175252,0.08965618993530448,80.43568291808089,0.9999999999999194,86.29145372441141,24.828447550105178,31.48277573543924,39.50070380559433,27.460936164989434,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,891.4852796066407,948.538,826.5363270599179,962.509,734.9335044581292,804.0,836.3994174294029,935.491,743.4971392570312,767.8009999999999,674.5508989878963,697.672,327.81528062713886,333.964,-64.94895254672281,13.971000000000004,-156.55177514851152,-144.538,-9.863090369485008,27.01800000000003,-8.563634798902058,36.19900000000007,0.040569882365660545,0.07133468518266729,21.798478548644248,0.9999973084820482,70.14718995717885,27.38837665102089,39.04986426129181,52.97827150165197,31.7895340645792,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,981.985115491884,1008.725,891.6557246892404,979.689,773.4582570380314,788.678,902.6033454635035,954.178,782.4337276723951,757.393,702.2956059945195,681.066,332.20314416042936,336.517,-90.32939080264362,-29.036000000000058,-208.52685845385258,-220.04700000000003,-10.9476207742631,25.510999999999967,-8.97547063436366,31.284999999999968,0.037352566735263215,0.06359159903855431,9.169940632033093,0.9993394542131998,58.21331237596743,29.20792887058498,43.616457154908524,63.08316039082913,33.13539446821783,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1108.1393038837932,1067.693,972.3941050324801,970.472,813.9989003963673,751.1579999999999,984.445244517116,947.353,823.0978651818695,726.308,730.0876659401615,647.019,338.17136829885493,338.123,-135.74519885131315,-97.221,-294.14040348742594,-316.5350000000001,-12.051139484635883,23.119000000000028,-9.098964785502176,24.84999999999991,0.034300957931289816,0.05465256036798639,2.37962317787573,0.9546254905694584,41.14863261475585,30.55407237518924,49.26312396888817,78.78194957966332,33.40514718921519,1.3708209235590413e-5,31.630515519289652,153.33032142010745,211.35186747276416,0.015908347885605866
