simulation_id,flow_lpm,irradiance,power_scale,nominal_incident_flux_W_m2,scaled_incident_flux_W_m2,nominal_receiver_absorbed_W,scaled_receiver_absorbed_W,participating_absorbed_W,core_absorbed_W,perim_absorbed_W,spill_capture,flux_receiver_fraction,flux_spillover_fraction,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_receiver_participating_eff_J_K,C_rear_eff_J_K,C_total_with_rear_eff_J_K,f_core_rear,G_receiver_rear_W_K,G_rear_tube_W_K,G_rear_cavity_W_K,T_rear_reservoir,flange_scale,flange_cool_gain,flange_cool_tau_s,flange_gate_end,effective_flange_scale_end,k_core_axial_scale
E67,15.2805125,456000.0,1.992841438485846,456000.0,908735.6959495457,164.61599999999999,328.053586237786,328.053586237786,169.90767462608298,158.14591161170304,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,924.7274792533033,931.6279999999999,1017.8200305955511,991.103,1037.263363009948,878.055,976.0868145657915,966.6659999999999,1029.838919633031,824.995,724.0931208909103,763.414,376.65546967367646,326.43699999999995,93.09255134224782,59.47500000000002,112.53588375664481,-53.57299999999998,41.73321602975955,24.437000000000012,7.424443376916997,53.059999999999945,10.924401941743376,0.9782577128839052,135.51013318112908,-22.663630474462682,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,611.065881407959,0.10138182079580631,6.353118641919998,116.75498869515107,2.312813583423807e-11,0.10138182081070292,0.033550794144135865
E68,12.499871559633025,456000.0,1.992841438485846,456000.0,908735.6959495457,164.61599999999999,328.053586237786,328.053586237786,169.90767462608298,158.14591161170304,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,1023.9044552092855,1012.649,1121.1980536232434,1047.717,1128.6737012866013,898.751,1087.2414368060704,1020.928,1129.3540909885937,850.0989999999999,760.4263289769723,773.207,401.89960368580824,338.52,97.29359841395785,35.0680000000001,104.76924607731576,-113.89800000000002,33.95661681717297,26.7890000000001,-0.6803897019924534,48.652000000000044,9.534546198627426,0.986425011731668,119.90673829444773,-24.25908358757717,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,648.3224382635052,0.10138182079580631,6.353118641919998,116.75498869515107,2.3128135834238125e-11,0.10138182081070292,0.033550794144135865
E69,10.499733944954128,456000.0,1.992841438485846,456000.0,908735.6959495457,164.61599999999999,328.053586237786,328.053586237786,169.90767462608298,158.14591161170304,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,1110.5518709961743,1058.429,1205.8208774415803,1070.73,1198.6522488630305,896.755,1179.875092985894,1044.378,1205.7652831424532,852.837,775.9344401244934,769.76,413.0117478619652,344.308,95.26900644540592,12.30099999999993,88.1003778668562,-161.6740000000001,25.94578445568618,26.35200000000009,-7.1130342794226635,43.918000000000006,8.503966765165774,0.9912157191683021,104.89518205203392,-24.582955735016164,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,664.5205212247962,0.10138182079580631,6.353118641919998,116.75498869515107,2.3128135834238125e-11,0.10138182081070292,0.033550794144135865
E70,9.107139705882352,456000.0,1.992841438485846,456000.0,908735.6959495457,164.61599999999999,328.053586237786,328.053586237786,169.90767462608298,158.14591161170304,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,1181.86256518428,1152.474,1271.6269953179342,1120.277,1250.9216764844498,912.173,1252.3619873285284,1093.725,1262.1017908783654,871.483,785.0722254341939,779.518,421.8967780639595,352.421,89.76443013365429,-32.19699999999989,69.05911130016989,-240.30099999999993,19.26500798940583,26.552000000000135,-11.180114393915574,40.690000000000055,7.744214567763776,0.9940147008191742,92.43322282324701,-24.47659490350382,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,675.6255038938438,0.10138182079580631,6.353118641919998,116.75498869515107,2.3128135834238125e-11,0.10138182081070292,0.033550794144135865
E71,7.126846153846151,456000.0,1.992841438485846,456000.0,908735.6959495457,164.61599999999999,328.053586237786,328.053586237786,169.90767462608298,158.14591161170304,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,1293.119367462266,1203.298,1366.844103756367,1120.348,1321.1718137756384,882.823,1357.680455737787,1095.306,1336.8831903974108,847.476,783.2200526411173,753.56,428.6455530032507,356.00399999999996,73.72473629410115,-82.95000000000005,28.052446313372457,-320.475,9.163648018580034,25.041999999999916,-15.711376621772388,35.34699999999998,6.643068048629889,0.996984963633318,72.44373099376996,-23.13808232097567,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,678.0296629838276,0.10138182079580631,6.353118641919998,116.75498869515107,2.3128135834238125e-11,0.10138182081070292,0.033550794144135865
E72,18.707575757575754,304000.0,1.9928320327667148,304000.0,605820.9379610813,109.744,218.70135860395033,218.70135860395033,113.27124846923016,105.43011013472017,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,670.8903125129793,737.656,729.5882158393795,797.899,750.5214323108819,733.977,697.5542939549365,771.112,739.8657380321246,684.1869999999999,563.7667218356935,652.9549999999999,339.0925822652789,309.928,58.69790332640014,60.24300000000005,79.63111979790256,-3.6789999999999736,32.033921884442975,26.787000000000035,10.655694278757323,49.79000000000008,13.207986291906627,0.9612292670390176,100.10923804486217,-12.830364044154617,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,486.38103788263635,0.10138182079580631,6.353118641919998,116.75498869515107,1.170861876496995e-10,0.10138182087122044,0.033550794144135865
E73,13.170870967741934,304000.0,1.9928320327667148,304000.0,605820.9379610813,109.744,218.70135860395033,218.70135860395033,113.27124846923016,105.43011013472017,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,782.423637212423,837.694,852.6961523085963,894.482,863.4869753236285,791.76,826.6430346970386,867.5509999999999,862.5530027222169,747.4,606.9024069083345,694.626,363.9259422381368,325.12,70.27251509617327,56.78800000000001,81.06333811120544,-45.93399999999997,26.053117611557695,26.93100000000004,0.9339726014115968,44.360000000000014,10.62119597099156,0.9802260458375468,83.6971931051666,-14.699977313634543,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,527.8509961050712,0.10138182079580631,6.353118641919998,116.75498869515107,1.1708618764982932e-10,0.10138182087122044,0.033550794144135865
E74,9.023245901639344,304000.0,1.9928320327667148,304000.0,605820.9379610813,109.744,218.70135860395033,218.70135860395033,113.27124846923016,105.43011013472017,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,934.6958543689536,948.538,1004.1208400169508,962.509,985.2108606450754,804.0,988.8003856003692,935.491,995.6689235071602,767.8009999999999,631.4496536010786,697.672,379.8335798579232,333.964,69.42498564799712,13.971000000000004,50.51500627612177,-144.538,15.320454416581583,27.01800000000003,-10.45806286208483,36.19900000000007,8.297559522996915,0.9920022949462663,61.90237033329096,-15.212653272626076,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,553.1936416401928,0.10138182079580631,6.353118641919998,116.75498869515107,1.1708618764982932e-10,0.10138182087122044,0.033550794144135865
E75,6.944410852713178,304000.0,1.9928320327667148,304000.0,605820.9379610813,109.744,218.70135860395033,218.70135860395033,113.27124846923016,105.43011013472017,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,1043.4095106744353,1008.725,1099.4716369522184,979.689,1051.8508119562703,788.678,1092.2194504959396,954.178,1067.4856407427637,757.393,632.2864113644429,681.066,385.322144838469,336.517,56.062126277783136,-29.036000000000058,8.441301281834967,-220.04700000000003,7.252186456278878,25.510999999999967,-15.634828786493472,31.284999999999968,7.035239372604823,0.9960252646332097,47.797965158085816,-14.511345489795566,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,556.9557210302926,0.10138182079580631,6.353118641919998,116.75498869515107,1.1708618764982932e-10,0.10138182087122044,0.033550794144135865
E76,4.526673611111114,304000.0,1.9928320327667148,304000.0,605820.9379610813,109.744,218.70135860395033,218.70135860395033,113.27124846923016,105.43011013472017,0.5179144665383333,0.06920265203911855,0.9307973479608814,0.4820734119244553,3.639534770463427,1.0,0.050294419277693805,0.0,0.9497055807223062,1193.414756376752,1067.693,1213.7380297536233,970.472,1118.9892398872657,751.1579999999999,1215.4467979345254,947.353,1136.670541012014,726.308,617.3226870591526,647.019,390.82495966390155,338.123,20.323273376871384,-97.221,-74.4255164894862,-316.5350000000001,-1.7087681809020978,23.119000000000028,-17.681301124748188,24.84999999999991,5.448781327739538,0.9988708930522847,30.142169891182895,-12.32926155828414,1.0,15.914856465811004,184.23760905497403,256.7645416207949,79.33493321829668,336.09947483909156,0.9993102531221113,1.2597221107178638,0.45386213741579845,0.4101471364034885,549.9260062570115,0.10138182079580631,6.353118641919998,116.75498869515107,1.1708618764982932e-10,0.10138182087122044,0.033550794144135865
