ID,Io_kWm2,q_slpm,mdot_gs,Tw_K,T3_K,Tamb_K,Re,Pr,Gz_L,eps,NTU,h_Wm2K,Nu,Nu_Hausen,Nu_ratio,Bi,LTNE58,LTNE107,PR_nom_kJkg,PR_del_kJkg,I_vol_wall
E67,456.0,15.283090909090909,0.3055642457054323,936.5666910413222,763.5706942148762,296.3313305785124,72.54805197713264,0.6837480215602859,0.5431159161396047,0.7297931237328229,1.3085674049746092,5.040899086171675,0.13994804534580116,3.6953391683756305,0.03787150217318712,2.0659422484310143e-05,0.037443664448830474,0.09392562955303495,538.727951040096,617.9209598429901,53.53473553719027
E68,456.0,12.504024793388428,0.2500006658993977,981.2119097603306,772.8737933884297,298.70152066115696,58.91874763420601,0.683821942450447,0.44113064730624557,0.6947473332283183,1.186615429676719,3.744328074423329,0.10162563560684236,3.688799957475263,0.02754978225395511,1.5345606862390695e-05,0.035661983805097726,0.08118609566975712,658.4622461215475,755.256196301415,35.10110743801647
E69,456.0,10.499570247933885,0.2099243721132819,1000.6330780413223,769.5725454545454,296.73804545454544,49.63869912379634,0.6837872795890726,0.3716311427321297,0.6717400721842834,1.113949521578096,2.9499839608864455,0.07947466920813807,3.684322075327588,0.021571042808756522,1.2090098200354286e-05,0.034047764289083994,0.0733229595539069,784.1681189412725,899.4408324256395,11.542652892562046
E70,456.0,9.110834710743802,0.18215852753184328,1047.165708553719,779.3104380165289,298.9885867768595,42.748721346106834,0.6838693328422752,0.3200861994177636,0.641989493208432,1.0271929444322991,2.363304557768423,0.06223073957629822,3.6809889071915602,0.016905984001939756,9.685674417083702e-06,0.032220459058788,0.06640271100393513,903.6963694780819,1036.53973579136,-31.075842975207024
E71,456.0,7.131661157024793,0.14258769217794545,1049.0533759586776,753.3298099173553,300.7610454545454,33.97915586310068,0.6837152455716294,0.2543656959334659,0.6048020887210078,0.9283685983476134,1.6678464360848708,0.044111702521535116,3.676723084519171,0.011997559105625135,6.8354362134625865e-06,0.030607229000341848,0.06076145779167691,1154.4895459459701,1324.1995092000277,-83.49045454545467
E72,304.0,18.320363636363634,0.366290309263604,758.3816731487602,652.6506033057852,296.39256611570244,93.95360818131805,0.6847271230044674,0.7043713557578419,0.7711394744304884,1.4746425196278818,6.7414811081867105,0.21153133759609985,3.705607786275756,0.05708411407692313,2.762902093519144e-05,0.05314128380119545,0.11435444362636456,299.6093459874249,402.97457035308645,60.74060330578516
E73,304.0,13.17414049586777,0.2633987017012828,841.5831783305784,694.2926033057851,296.92679338842976,65.43809938954838,0.683727071276617,0.4898737231261763,0.7295715627377838,1.3077477729531775,4.313270959152021,0.12768005545651934,3.6919298823247777,0.03458355373101513,1.767733999652468e-05,0.04545496443494865,0.08997442259835604,416.6459412714164,560.388791010055,56.619909090909005
E74,304.0,9.026578512396695,0.18047394148527154,897.5454290330579,697.4969256198348,296.51763636363637,44.74327180684716,0.6836683005975991,0.33492215254777735,0.6671559853751153,1.1000813232966415,2.4865818338331085,0.07138485182083122,3.6819493732930417,0.019387787441788325,1.0190909155053725e-05,0.040395384877204434,0.0713657667682365,608.0877887235382,817.8780758331588,13.762809917355412
E75,304.0,6.948636363636362,0.13892836480301884,912.8659274049587,680.8034958677686,296.6999132231404,34.87148799267087,0.6840286520455435,0.2611652948151352,0.623376774771753,0.9765099938474624,1.6969674558679668,0.04854059968684698,3.677165305751087,0.013200548697370083,6.954784655196586e-06,0.03738135568038106,0.06364283789756771,789.9322802481823,1062.4589169338053,-29.13341322314045
E76,304.0,4.529809917355371,0.09056727849222841,909.7326567190082,646.7431818181817,296.44899999999996,23.33560738406445,0.6848833968877083,0.17498726336097753,0.571178080453362,0.8467135521863387,0.9566493409318626,0.02765599702575506,3.6715446785966015,0.007532523623361214,3.920694020212552e-06,0.03432651450473903,0.0547097381510652,1211.7400658055233,1629.7903885084288,-97.86744628099189
