flux_kW_m2,q_star_meas,eps_star_meas,q_star_model,eps_star_model,d_eps_star,Ivol_max_meas,Ivol_max_model,q_range_max
256,3.7715568377887405,0.6297079699066156,13.65079745991107,0.7870659030654048,0.1573579331587892,57.805999999999926,-9.464429113523522,13.84748387096774
304,10.38397449740996,0.6737838676956058,16.264149872216453,0.7642911365338457,0.0905072688382399,60.24300000000005,0.7101532501803831,18.707575757575757
456,10.998595386257113,0.672961700374276,13.507645980001339,0.7268685088542978,0.05390680848002172,59.47499999999991,5.513940968268798,15.2805125
