ID,Io_kWm2,q_lpm,Tamb,dur_s,T2_ss,T3_ss,T8_ss,T9_ss,T10_ss,T11_ss,T12_ss,I_vol_wall,m_grad_wall,gapC58,gapC107,gap_deepening,dT_rad_ins,R_leak,t90_T8,t90_T9,t90_T10,t90_T3,mdot_gs,Q_gas_W,Q_in_W,Q_del_W,eta_gas,eta_del
E67,456.0,15.283090909090909,296.3313305785124,3929.0,326.0204545454545,763.5706942148762,940.2152231404957,967.6360495867768,825.4468181818182,880.2960743801652,993.749958677686,53.53473553719027,-2315.385393826954,-26.113909090909146,-54.84925619834701,-28.73534710743786,667.7295041322315,0.6699553823359045,338.0,567.0,1574.0,1991.0,0.3034180662682287,146.91361553682,164.61599999999999,188.814552,0.8924625524664676,0.7780841782619594
E68,456.0,12.504024793388428,298.70152066115696,5362.0,338.21966942148754,772.8737933884297,1012.4708842975208,1020.8657851239668,849.889826446281,898.5926446280993,1047.5719917355373,35.10110743801647,-3040.3948389273064,-26.70620661157045,-48.702818181818316,-21.996611570247865,709.3523223140497,0.6331832954329113,400.0,760.0,2100.0,2534.0,0.24627492949507385,121.15767019138046,164.61599999999999,188.814552,0.7360017871372192,0.6416754900934779
E69,456.0,10.499570247933885,296.73804545454544,5363.0,344.1470247933884,769.5725454545454,1059.374694214876,1044.5582727272727,852.7100247933885,896.7010909090909,1070.917347107438,11.542652892562046,-3555.4337999662675,-26.35907438016534,-43.99106611570244,-17.6319917355371,726.7703223140495,0.610755801647611,438.0,842.0,2131.0,2591.0,0.20816422915946997,102.0653567005942,164.61599999999999,188.814552,0.6200208770750972,0.5405587420009565
E70,456.0,9.110834710743802,298.9885867768595,6702.0,352.19410743801654,779.3104380165289,1150.9603884297521,1093.4349008264462,871.3563140495867,912.0663388429751,1119.884545454545,-31.075842975207024,-4241.187890032041,-26.449644628098895,-40.71002479338847,-14.260380165289575,767.6904380165286,0.58511903507648,439.0,1033.0,2654.0,3146.0,0.17927154780074472,89.39921141345717,164.61599999999999,188.814552,0.5430772914750521,0.4734762785309957
E71,456.0,7.131661157024793,300.7610454545454,7084.0,355.79656198347107,753.3298099173553,1203.833173553719,1095.2575950413222,847.2744214876031,882.6296033057852,1120.3427190082643,-83.49045454545467,-4851.2880755608,-25.085123966942092,-35.35518181818202,-10.270057851239926,764.5461570247933,0.5521948319079228,535.0,1332.0,3060.0,3557.0,0.13950087306004333,65.38632047236565,164.61599999999999,188.814552,0.3972051348129323,0.3462991585117108
E72,304.0,18.320363636363634,296.39256611570244,3214.0,309.56932231404954,652.6506033057852,737.4617851239669,771.5355702479337,684.161958677686,734.2306942148759,798.2023884297521,60.74060330578516,-1305.5447798954317,-26.66681818181837,-50.06873553718992,-23.401917355371552,488.63306611570255,0.7099463209931439,598.0,700.0,1473.0,1711.0,0.36364246550887236,132.90894869289033,109.744,147.60568,1.2110816873167585,0.9004324812764003
E73,304.0,13.17414049586777,296.92679338842976,4572.0,324.8786198347108,694.2926033057851,839.235,868.630652892562,747.3663801652891,791.9014380165288,895.854909090909,56.619909090909005,-2121.4994096812293,-27.224256198347007,-44.535057851239685,-17.31080165289268,570.9762892561982,0.6634616066592353,488.0,796.0,1894.0,2240.0,0.26102416387265176,106.76088123993648,109.744,147.60568,0.9728174774013748,0.7232843698151485
E74,304.0,9.026578512396695,296.51763636363637,6015.0,333.76536363636353,697.4969256198348,948.4470247933884,935.3189421487601,767.7254876033057,803.9379256198347,962.2098347107438,13.762809917355412,-3230.038961038963,-26.89089256198372,-36.21243801652895,-9.32154545454523,628.4444710743803,0.6023493894803292,538.0,1098.0,2481.0,2992.0,0.17909375622067944,73.93288716522639,109.744,147.60568,0.6736850047859235,0.5008810444505007
E75,304.0,6.948636363636362,296.6999132231404,6351.0,336.3386611570248,680.8034958677686,1008.7651487603307,954.102818181818,757.1450082644628,788.4407933884296,979.6317355371903,-29.13341322314045,-3901.8559622196058,-25.5289173553723,-31.295785123966766,-5.766867768594466,643.2930743801655,0.5624332767846861,641.0,1408.0,2900.0,3387.0,0.13778120424505735,54.41467617259944,109.744,147.60568,0.49583281247812583,0.36864893121050246
E76,304.0,4.529809917355371,296.44899999999996,7144.0,337.9849008264463,646.7431818181817,1068.2751404958678,947.273041322314,726.0451983471075,750.908561983471,970.407694214876,-97.86744628099189,-4479.57412717153,-23.134652892561917,-24.863363636363488,-1.728710743801571,632.4227933884297,0.5197561583892835,787.0,1785.0,3359.0,3860.0,0.08989546834814155,32.29144570300067,109.744,147.60568,0.2942433818978775,0.21876831367871932
E77,256.0,13.851438016528924,297.1420371900826,3041.0,308.2418347107438,524.9628181818181,564.8296859504131,602.2226611570248,543.438520661157,574.1254049586777,622.9224710743803,58.09278512396713,-995.8584921571959,-20.699809917355424,-30.68688429752069,-9.987074380165268,314.6806363636365,0.6993077462492637,847.0,1025.0,1601.0,1815.0,0.274244910916013,63.463878037052524,92.416,86.131712,0.6867195944106272,0.7368235991530335
E78,256.0,10.01276859504132,298.1450165289256,5381.0,312.8037685950413,554.1598842975206,632.3682809917354,663.9602479338841,583.5581900826446,612.0194214876034,686.3263140495867,53.95803305785125,-1516.4671951425169,-22.36606611570255,-28.461231404958767,-6.095165289256215,373.5225454545454,0.6595239631681857,992.0,1414.0,2521.0,2803.0,0.19757611230546382,51.50223286425728,92.416,86.131712,0.5572869726482134,0.5979473955452933
E79,256.0,8.036214876033059,296.73842148760326,5230.0,314.8451818181818,559.6755454545454,676.5020991735537,693.936305785124,595.4138512396694,621.9733553719008,716.094041322314,39.59194214876027,-1920.8303255186368,-22.15773553718998,-26.559504132231382,-4.401768595041403,401.24885950413216,0.6270027430908854,1024.0,1542.0,2580.0,2908.0,0.15932560244408647,42.66817859137339,92.416,86.131712,0.46169687707078205,0.4953829153119979
E80,256.0,6.606479338842975,296.61314876033055,5811.0,315.97279338842975,560.9812396694215,709.83826446281,713.4421404958678,601.5909834710744,626.3489504132232,735.6129834710742,25.774719008264242,-2229.8782256704303,-22.170842975206483,-24.757966942148755,-2.587123966942272,419.6401900826445,0.6022054452099798,1119.0,1794.0,2931.0,3270.0,0.13103505420601627,35.286080363540286,92.416,86.131712,0.3818178709697486,0.40967582722076035
E81,256.0,4.5281900826446275,297.83462396694216,5986.0,319.1639090909091,550.2411983471076,758.9974132231404,728.2308264462811,597.5278677685951,618.7361983471076,749.5703553719009,-9.42705785123951,-2670.0848372406795,-21.33952892561979,-21.20833057851246,0.13119834710732903,430.40644628099176,0.5587483053314094,1266.0,2036.0,3176.0,3569.0,0.08944524869959988,22.97947175119149,92.416,86.131712,0.24865252500856444,0.26679455473021935
E82,,13.848834710743802,294.35149586776856,4405.0,305.16305785123967,521.7386363636364,563.0665454545455,597.4427190082645,543.2676363636363,570.8767024793389,616.1556033057851,53.08905785123966,-924.0592005397197,-18.712884297520645,-27.609066115702603,-8.896181818181958,310.99254545454545,0.7066011130378917,678.0,994.0,1778.0,2064.0,0.2767928041758722,63.901287897442344,,,,
E83,,4.531264462809918,292.81538429752067,6210.0,312.83453719008264,535.0278099173554,730.6802479338843,704.6393801652894,581.6821818181818,601.4622479338842,725.0271074380165,-5.653140495867774,-2521.731826614945,-20.387727272727147,-19.780066115702425,0.6076611570247223,412.1925702479339,0.5604022580875265,1067.0,1915.0,3110.0,3516.0,0.09104022668683817,22.40890695986841,,,,
