ID,phase,q,x,lam,lam_sd,n
E67,heat,15.280850127226461,0.23768792194056929,0.003519360007004615,0.0024592239063746225,6
E68,heat,12.500601342532166,0.18535684742325387,0.0025346000855658627,0.0018697016483159978,6
E69,heat,10.499157345264727,0.14996757955161985,0.002164570050385149,0.0014666825473874307,6
E70,heat,9.102449798597643,0.1267652491163911,0.001876698506209979,0.0015232519129772517,6
E71,heat,7.123137191249119,0.09518524061386986,0.001467755042299566,0.0011557846903297838,6
E72,heat,18.708308242612752,0.3050843822213476,0.002290025005597378,0.0009427807492203687,6
E73,heat,13.171534003936147,0.19610824593286214,0.0022417549874209314,0.0012963633734363652,6
E74,heat,9.022822639627659,0.12441224375949873,0.0017299617648984357,0.001178159936674153,6
E75,heat,6.9446948992443325,0.09180140925967002,0.0013350949892798664,0.0008803928135223966,6
E76,heat,4.526342757172848,0.05677382869634764,0.00102677651875415,0.0006025983369984046,6
E77,heat,13.846924720578567,0.20590826181623154,0.001682880474216924,0.00034981095072234816,6
E78,heat,10.008698439241918,0.13908189043821526,0.0011081203007948382,0.00036908894884710023,6
E79,heat,8.033646912636208,0.10749751105392316,0.0011485076023783928,0.00037392871777440126,6
E80,heat,6.6049788368891935,0.08590570136793019,0.0009891888242414078,0.0003275230098261183,6
E81,heat,4.52618523467513,0.056350394470869744,0.0008971678715363488,0.000277306388470217,6
C69,cool,10.513307165861514,0.14690379514676852,0.0007987930357605286,3.0137747341395375e-05,6
C80,cool,6.603099375509095,0.08520132945611099,0.0006380186437688473,1.7423389130942085e-05,6
C81,cool,4.52712568212824,0.05590537061324823,0.0004835946298510329,2.3244762015396688e-05,6
