ID,Io_kWm2,q_lpm,Tamb,dur_s,T2_ss,T3_ss,T8_ss,T9_ss,T10_ss,T11_ss,T12_ss,I_vol_wall,m_grad_wall,gapC58,gapC107,gap_deepening,dT_rad_ins,R_leak,t90_T8,t90_T9,t90_T10,t90_T3,mdot_gs,Q_gas_W,Q_in_W,Q_del_W,eta_gas,eta_del,eps,Re,f_K0.096,f_K0.119,f_applied,eta_delivered
E67,456.0,15.283090909090909,296.3313305785124,3929.0,326.0204545454545,763.5706942148762,940.2152231404956,967.6360495867768,825.4468181818182,880.2960743801652,993.749958677686,53.53473553719027,-2315.385393826954,-26.113909090909143,-54.84925619834701,-28.73534710743786,667.7295041322315,0.6699553823359045,338.0,567.0,1574.0,1991.0,0.3034180662682287,146.91361553682,164.616,188.814552,0.8924625524664676,0.7780841782619594,0.7297931237328229,72.54805197713264,1.2658320584952236,1.355285169314613,1.147,0.7780841782619593
E68,456.0,12.504024793388428,298.70152066115696,5362.0,338.21966942148754,772.8737933884297,1012.4708842975208,1020.8657851239668,849.889826446281,898.5926446280993,1047.5719917355373,35.10110743801647,-3040.3948389273064,-26.70620661157045,-48.70281818181832,-21.996611570247865,709.3523223140497,0.6331832954329113,400.0,760.0,2100.0,2534.0,0.2462749294950738,121.15767019138046,164.616,188.814552,0.7360017871372192,0.6416754900934779,0.6947473332283183,58.91874763420601,1.1340250494781863,1.2293847894140428,1.147,0.6416754900934778
E69,456.0,10.499570247933883,296.73804545454544,5363.0,344.1470247933884,769.5725454545454,1059.374694214876,1044.5582727272729,852.7100247933885,896.7010909090909,1070.917347107438,11.542652892562046,-3555.4337999662675,-26.35907438016534,-43.99106611570244,-17.6319917355371,726.7703223140495,0.610755801647611,438.0,842.0,2131.0,2591.0,0.2081642291594699,102.0653567005942,164.616,188.814552,0.6200208770750972,0.5405587420009565,0.6717400721842834,49.63869912379634,1.0305151372219272,1.1288627203821051,1.147,0.5405587420009564
E70,456.0,9.110834710743802,298.9885867768595,6702.0,352.19410743801654,779.3104380165289,1150.960388429752,1093.4349008264462,871.3563140495867,912.0663388429753,1119.884545454545,-31.075842975207024,-4241.187890032041,-26.44964462809889,-40.71002479338847,-14.260380165289575,767.6904380165286,0.58511903507648,439.0,1033.0,2654.0,3146.0,0.1792715478007447,89.39921141345717,164.616,188.814552,0.5430772914750521,0.4734762785309957,0.641989493208432,42.748721346106834,0.9793957762552586,1.0839304132338499,1.147,0.4734762785309956
E71,456.0,7.131661157024793,300.7610454545454,7084.0,355.79656198347107,753.3298099173553,1203.833173553719,1095.2575950413222,847.2744214876031,882.6296033057852,1120.3427190082643,-83.49045454545467,-4851.2880755608,-25.08512396694209,-35.35518181818202,-10.270057851239926,764.5461570247933,0.5521948319079228,535.0,1332.0,3060.0,3557.0,0.1395008730600433,65.38632047236565,164.616,188.814552,0.3972051348129323,0.3462991585117108,0.6048020887210078,33.97915586310068,0.8335908064875974,0.9381415403263191,1.147,0.3462991585117107
E72,304.0,18.320363636363638,296.39256611570244,3214.0,309.56932231404954,652.6506033057852,737.4617851239669,771.5355702479337,684.161958677686,734.2306942148759,798.2023884297521,60.74060330578516,-1305.5447798954317,-26.66681818181837,-50.06873553718992,-23.401917355371552,488.63306611570255,0.7099463209931439,598.0,700.0,1473.0,1711.0,0.3636424655088723,132.90894869289033,109.744,147.60568,1.2110816873167585,0.9004324812764003,0.7711394744304884,93.95360818131805,1.615212703820381,1.7120357598577072,1.345,0.9004324812764003
E73,304.0,13.17414049586777,296.92679338842976,4572.0,324.8786198347108,694.2926033057851,839.235,868.630652892562,747.3663801652891,791.9014380165288,895.854909090909,56.619909090909005,-2121.4994096812293,-27.224256198347007,-44.535057851239685,-17.31080165289268,570.9762892561982,0.6634616066592353,488.0,796.0,1894.0,2240.0,0.2610241638726517,106.76088123993648,109.744,147.60568,0.9728174774013748,0.7232843698151485,0.7295715627377838,65.43809938954838,1.4492627769571254,1.5634111299756903,1.345,0.7232843698151485
E74,304.0,9.026578512396696,296.5176363636364,6015.0,333.7653636363636,697.4969256198348,948.4470247933884,935.31894214876,767.7254876033057,803.9379256198347,962.2098347107438,13.762809917355412,-3230.038961038963,-26.89089256198372,-36.21243801652895,-9.32154545454523,628.4444710743803,0.6023493894803292,538.0,1098.0,2481.0,2992.0,0.1790937562206794,73.93288716522639,109.744,147.60568,0.6736850047859235,0.5008810444505007,0.6671559853751153,44.74327180684716,1.1994419308708526,1.3254045277453668,1.345,0.5008810444505007
E75,304.0,6.948636363636362,296.6999132231404,6351.0,336.3386611570248,680.8034958677686,1008.7651487603308,954.102818181818,757.1450082644628,788.4407933884296,979.6317355371904,-29.13341322314045,-3901.8559622196058,-25.5289173553723,-31.29578512396677,-5.766867768594466,643.2930743801655,0.5624332767846861,641.0,1408.0,2900.0,3387.0,0.1377812042450573,54.41467617259944,109.744,147.60568,0.4958328124781258,0.3686489312105024,0.623376774771753,34.87148799267087,1.0348320959146196,1.1639673409046127,1.345,0.36864893121050246
E76,304.0,4.529809917355371,296.449,7144.0,337.9849008264463,646.7431818181817,1068.2751404958678,947.273041322314,726.0451983471075,750.908561983471,970.407694214876,-97.86744628099189,-4479.57412717153,-23.13465289256192,-24.863363636363488,-1.728710743801571,632.4227933884297,0.5197561583892835,787.0,1785.0,3359.0,3860.0,0.0898954683481415,32.29144570300067,109.744,147.60568,0.2942433818978775,0.2187683136787193,0.571178080453362,23.33560738406445,0.8307212854281368,0.9592524498155948,1.345,0.21876831367871932
E77,256.0,13.851438016528924,297.1420371900826,3041.0,308.2418347107438,524.9628181818181,564.8296859504131,602.2226611570248,543.438520661157,574.1254049586777,622.9224710743803,58.09278512396713,-995.858492157196,-20.699809917355424,-30.68688429752069,-9.987074380165268,314.6806363636365,0.6993077462492637,847.0,1025.0,1601.0,1815.0,0.274244910916013,63.46387803705253,92.416,86.131712,0.6867195944106272,0.7368235991530335,0.7789038673203271,78.72510696930053,0.9905516151032626,1.0633447033942065,0.932,0.7368235991530335
