ID,q_lpm,sensor,T0,tau_full_s,Tinf_full,tau_late_s
C69,10.513307165861514,T8,1060.472,225.9700574379401,333.1895335292419,921.1864732307944
C69,10.513307165861514,T12,1070.801,306.9004979609881,352.68478857466414,1084.5743769057817
C69,10.513307165861514,T11,896.78,545.1025190798341,355.5233659354298,1143.6166151576736
C69,10.513307165861514,T9,1044.384,350.62064235738944,357.59783269147295,1054.7143441502897
C69,10.513307165861514,T10,852.8969999999999,668.2710348923716,353.68867584118703,1195.8579536660875
C69,10.513307165861514,T3,769.855,1049.7918534882992,313.7810569420595,1164.6325419294617
C69,10.513307165861514,T2,344.40299999999996,55606206.23391167,-585102.2470444528,46546925.062995344
C80,6.603099375509095,T8,710.9749999999999,432.0695741889392,317.7527962492062,1508.4125733418045
C80,6.603099375509095,T12,735.393,563.7623060852449,327.25148387384525,1624.8915238952545
C80,6.603099375509095,T11,626.529,979.0598899546266,319.54389157896713,1585.347981335069
C80,6.603099375509095,T9,713.218,619.4466903562089,326.6589609608889,1553.1326501420551
C80,6.603099375509095,T10,601.828,1130.3117119153912,315.55712529900455,1602.7818569948686
C80,6.603099375509095,T3,561.342,1614.3820555317845,294.7299540846725,1586.1281226563026
C80,6.603099375509095,T2,316.166,205363647.7412528,-698927.6542802387,156886454.66199347
C81,4.52712568212824,T8,760.24,593.3377312350924,309.66594091580265,2427.3280632228743
C81,4.52712568212824,T12,750.2529999999999,844.978413567094,313.84390439291934,2237.8324880180367
C81,4.52712568212824,T11,619.1189999999999,1440.4181273337012,303.5379354804738,1996.8240001996778
C81,4.52712568212824,T9,728.7719999999999,901.2893767357301,313.13112322795223,2093.045575289774
C81,4.52712568212824,T10,597.909,1581.2086836572535,301.0618292140561,2014.2492235188781
C81,4.52712568212824,T3,550.641,2090.7637335077475,287.31575594671824,1954.0134263215957
C81,4.52712568212824,T2,319.387,20569.49858887652,223.21659503869367,6793.191436692675
