simulation_id,flow_lpm,irradiance,power_scale,nominal_incident_flux_W_m2,scaled_incident_flux_W_m2,nominal_receiver_absorbed_W,scaled_receiver_absorbed_W,participating_absorbed_W,core_absorbed_W,perim_absorbed_W,spill_capture,flux_receiver_fraction,flux_spillover_fraction,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_receiver_participating_eff_J_K,C_rear_eff_J_K,C_total_with_rear_eff_J_K,f_core_rear,G_receiver_rear_W_K,G_rear_tube_W_K,G_rear_cavity_W_K,G_rear_axial_W_K,T_rear_inlet,T_rear_mid,T_rear_exit,flange_scale,flange_cool_gain,flange_cool_tau_s,flange_gate_end,effective_flange_scale_end,k_core_axial_scale,ID,Tamb_K,Re,eps,I_vol_wall,Tw_model,eps_model,NTU_model,Ivol_model,Tw_experiment,eps_experiment,NTU_experiment,Ivol_experiment,flux
E67,15.2805125,456000.0,1.3692167113357252,456000.0,624362.8203690907,164.616,225.3949781532417,310.1979879347141,225.3949781532417,84.80300978147238,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,943.4808180108192,931.628,948.994758979088,991.103,895.4374812648493,878.055,934.1362349591568,966.666,865.4185998638749,824.995,764.3711359219508,763.414,345.84666944065583,326.43699999999995,5.513940968268798,59.47500000000002,-48.04333674596978,-53.57299999999998,14.858524019931224,24.43700000000001,30.018881400974465,53.059999999999945,6.950475299298354,0.9136470913012104,169.05500421692992,-29.839474619187985,1.0,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,692.5294254803661,683.8013597189902,627.5827509504234,0.1014106436225253,8.895238293380189,129.26355280897602,2.3128135834236668e-11,0.1014106436433886,0.024708964682438,E67,296.3313305785124,72.54805197713264,0.7297931237328229,53.53473553719027,926.900635143547,0.7422495861359621,1.3557635504062875,5.513940968268798,932.603624,0.7340924227735888,1.3246064846126253,59.47499999999991,456
E68,12.499871559633023,456000.0,1.3692167113357252,456000.0,624362.8203690907,164.616,225.3949781532417,310.1979879347141,225.3949781532417,84.80300978147238,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,1041.4543640215895,1012.649,1038.9953162092208,1047.717,965.3584596267988,898.751,1028.889778050064,1020.928,934.9619903863204,850.0989999999999,810.771973088594,773.207,365.63269219590205,338.52,-2.4590478123686808,35.0680000000001,-76.09590439479064,-113.89800000000002,10.105538159156822,26.7890000000001,30.39646924047861,48.65200000000005,5.918621104475461,0.9333984073240482,152.57085826238338,-32.42239549058093,0.9847348433655668,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,760.482681087067,750.0874516761617,691.0560434139852,0.1014106436225253,8.895238293380189,129.26355280897602,2.3128135834238125e-11,0.1014106436433886,0.024708964682438,E68,298.70152066115696,58.91874763420601,0.6947473332283183,35.10110743801647,1011.107696569291,0.7187900242087027,1.2686536438879035,-2.4590478123686808,981.3702940000001,0.6950742407889836,1.1876869444272347,35.0680000000001,456
E69,10.499733944954128,456000.0,1.3692167113357252,456000.0,624362.8203690907,164.616,225.3949781532417,310.1979879347141,225.3949781532417,84.80300978147238,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,1125.3464239715886,1058.429,1108.8455461985966,1070.73,1011.7275405554128,896.755,1102.303478368757,1044.378,979.7661155373812,852.837,835.9674709985437,769.76,377.7016910303957,344.308,-16.500877772992,12.30099999999993,-113.61888341617566,-161.6740000000001,6.542067829839652,26.35200000000009,31.961425018031605,43.918000000000006,5.178091041385184,0.9473060182383932,135.9615477807048,-33.32690242799838,0.9718568982257476,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,804.736494149269,791.9444680413013,726.1853657367914,0.1014106436225253,8.895238293380189,129.26355280897602,2.3128135834238125e-11,0.1014106436433886,0.024708964682438,E69,296.73804545454544,49.63869912379634,0.6717400721842834,11.542652892562046,1075.3530957023863,0.692549450941587,1.179441020738057,-16.500877772992,1000.3510269999999,0.6722757637394395,1.1155827673287453,12.30099999999993,456
E70,9.107139705882352,456000.0,1.3692167113357252,456000.0,624362.8203690907,164.616,225.3949781532417,310.1979879347141,225.3949781532417,84.80300978147238,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,1194.1899196996628,1152.474,1162.6258278042137,1120.277,1045.5441689610543,912.173,1158.1197458634542,1093.725,1011.9359482373349,871.483,855.4649164796655,779.518,384.431162932029,352.421,-31.56409189544911,-32.19699999999989,-148.6457507386085,-240.30099999999996,4.506081940759486,26.55200000000013,33.60822072371957,40.690000000000055,4.642760215027858,0.9570582835121944,122.04519327860368,-33.592715831355584,0.9614920390000922,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,840.0416245138672,825.3292430340518,756.0362189900974,0.1014106436225253,8.895238293380189,129.26355280897602,2.3128135834238125e-11,0.1014106436433886,0.024708964682438,E70,298.9885867768595,42.748721346106834,0.641989493208432,-31.075842975207024,1125.1431206219822,0.6735741400738077,1.1195524313154848,-31.56409189544911,1047.725608,0.6417866348296032,1.0266264780181102,-32.19699999999989,456
E71,7.126846153846151,456000.0,1.3692167113357252,456000.0,624362.8203690907,164.616,225.3949781532417,310.1979879347141,225.3949781532417,84.80300978147238,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,1304.508947243125,1203.298,1234.896675015216,1120.348,1080.3280254013805,882.823,1230.909899155549,1095.306,1042.4330790088325,847.476,869.4009466387703,753.56,393.1045554336495,356.004,-69.61227222790899,-82.95000000000005,-224.1809218417445,-320.475,3.986775859666977,25.04199999999992,37.89494639254804,35.34699999999998,3.8882930653441408,0.9700040106435288,98.32670768868655,-32.336515755574524,0.9449141588631268,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,879.6815725886587,860.9078520350904,782.7636651825277,0.1014106436225253,8.895238293380189,129.26355280897602,2.3128135834238125e-11,0.1014106436433886,0.024708964682438,E71,300.7610454545454,33.97915586310068,0.6048020887210078,-83.49045454545467,1192.342451127183,0.6377879771451993,1.0155255401168606,-69.61227222790899,1048.997425,0.6051549576091514,0.9292618887945929,-82.95000000000005,456
E72,18.707575757575757,304000.0,1.4838710048645547,304000.0,451096.78547882463,109.744,162.8459395578557,224.11538716643932,162.8459395578557,61.26944760858365,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,723.1997856594926,737.656,723.909938909673,797.899,693.1295782462454,733.977,710.4445886548878,771.112,671.0175247849261,684.1869999999999,618.8176547440635,652.9549999999999,323.7570932457722,309.928,0.7101532501803831,60.24300000000005,-30.070207413247203,-3.6789999999999736,13.46535025478522,26.787000000000035,22.112053461319302,49.79000000000008,8.498854037631014,0.8854496501213732,131.44569623291966,-17.924124874298045,1.0,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,547.7983679157935,542.0591882340682,501.7683571025959,0.1014106436225253,8.895238293380189,129.26355280897602,1.1708618764796623e-10,0.1014106437281455,0.024708964682438,E72,296.39256611570244,93.95360818131805,0.7711394744304884,60.74060330578516,711.8218213268817,0.7761251394403109,1.4966680414504152,0.7101532501803831,758.220922,0.7720670013896408,1.4787035589587336,60.24300000000005,304
E73,13.170870967741934,304000.0,1.4838710048645547,304000.0,451096.78547882463,109.744,162.8459395578557,224.11538716643932,162.8459395578557,61.26944760858365,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,841.2300679719383,837.694,829.8225365908186,894.482,775.6904176499388,791.76,822.0545792396499,867.5509999999999,753.4841103838722,747.4,681.1246732474713,694.626,344.27336964786383,325.12,-11.407531381119725,56.78800000000001,-65.53965032199949,-45.93399999999997,7.767957351168661,26.93100000000004,22.20630726606657,44.360000000000014,6.631513413383828,0.9201451973182352,114.32950795949064,-21.483579672063936,0.9963072060793212,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,624.1980192296681,616.4260137016679,570.7636995438921,0.1014106436225253,8.895238293380189,129.26355280897602,1.1708618764982927e-10,0.1014106437281455,0.024708964682438,E73,296.92679338842976,65.43809938954838,0.7295715627377838,56.619909090909005,811.7024743432158,0.7463403848962835,1.37176200871483,-11.407531381119725,840.645162,0.7314433897591652,1.3146935483708213,56.78800000000001,304
E74,9.023245901639344,304000.0,1.4838710048645547,304000.0,451096.78547882463,109.744,162.8459395578557,224.11538716643932,162.8459395578557,61.26944760858365,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,996.7713934391952,948.538,950.5208030474816,962.509,853.0300136775364,804.0,948.069655396012,935.491,827.8641256793646,767.8009999999999,724.8374210253869,697.672,358.5335939067074,333.964,-46.250590391713445,13.971000000000004,-143.74137976165866,-144.538,2.451147651469796,27.01800000000003,25.1658879981718,36.19900000000007,4.968344225178745,0.951358473148327,87.8901254450308,-22.87305579927587,0.9684543616537844,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,698.6755190178492,686.6411381479192,629.7740533604255,0.1014106436225253,8.895238293380189,129.26355280897602,1.1708618764982932e-10,0.1014106437281455,0.024708964682438,E74,296.5176363636364,44.74327180684716,0.6671559853751153,13.762809917355412,924.2620139784578,0.6823156047835826,1.1466968568972011,-46.25059039171356,897.7012090000001,0.6672743266706139,1.1004369323301881,13.971000000000004,304
E75,6.944410852713178,304000.0,1.4838710048645547,304000.0,451096.78547882463,109.744,162.8459395578557,224.11538716643932,162.8459395578557,61.26944760858365,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,1100.6995921846303,1008.725,1015.3873782590196,979.689,883.7944428053764,788.678,1013.0130394552876,954.178,854.8111023138553,757.393,736.6471215026085,681.066,364.9874812196408,336.517,-85.31221392561065,-29.036000000000055,-216.90514937925388,-220.04700000000005,2.37433880373203,25.510999999999967,28.983340491521176,31.284999999999968,4.108579381452401,0.9664132712456874,69.8030937055353,-22.14566744216255,0.9506201048677512,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,733.0219135221578,717.3707113008883,652.2712142583074,0.1014106436225253,8.895238293380189,129.26355280897602,1.1708618764982932e-10,0.1014106437281455,0.024708964682438,E75,296.6999132231404,34.87148799267087,0.623376774771753,-29.13341322314045,985.6183412920111,0.6386056612140542,1.01778556562311,-85.31221392561076,912.968671,0.6236988033653201,0.9773654013859949,-29.036000000000058,304
E76,4.526673611111114,304000.0,1.4838710048645547,304000.0,451096.78547882463,109.744,162.8459395578557,224.11538716643932,162.8459395578557,61.26944760858365,0.027972715709184,0.0692026520391185,0.9307973479608814,0.0260369295973722,0.6224452411894159,1.0,0.0416586472287938,0.0,0.958341352771206,1243.430188351181,1067.693,1077.214180297935,970.472,900.4018826171471,751.1579999999999,1067.2589894966882,947.353,864.8682636896087,726.308,735.4825261661039,647.019,372.5670908752743,338.123,-166.216008053246,-97.221,-343.0283057340339,-316.5350000000001,9.955190801246772,23.119000000000028,35.53361892753833,24.84999999999991,3.065904661221441,0.9825558794273176,45.81066229423199,-19.164279107106733,0.9237805623086032,10.598037420723744,150.0,222.52693256582089,80.0,302.52693256582086,0.9992665128147746,0.3446558353560863,2.627921960333692,0.125255876001295,4.326562280336826,762.7633858976521,741.9202342447201,668.7890985816804,0.1014106436225253,8.895238293380189,129.26355280897602,1.1708618764982932e-10,0.1014106437281455,0.024708964682438,E76,296.449,23.33560738406445,0.571178080453362,-97.86744628099189,1050.009391092675,0.5826122648637331,0.8737396687279483,-166.21600805324601,909.70829,0.5716505330070092,0.8478159048987814,-97.221,304
