ID,Re_mean,Re_sd,eps_mean,eps_sd,NTU_mean,NTU_sd,Nu_mean,Nu_sd,L107_mean,L107_sd,Qg_mean,Qg_sd,eta_d_mean,eta_d_sd
E67,72.56711037710956,1.4591727988885004,0.731437007718118,0.0021371314867683175,1.3147014550513665,0.007959322709196564,0.1407864861786986,0.0033134717481699337,0.09389458396416085,0.0027928354160387347,148.53604778566142,1.6394734799383577,0.8260547088195612,0.03421868471238805
E68,58.93470235248813,1.1921518568857223,0.6965368214780129,0.0020078142820548765,1.1925168909770831,0.0066173622104039155,0.10227710059655096,0.0024045265367354626,0.0811564053207264,0.002733044905429376,123.46884777362607,1.38688119312105,0.686647918639171,0.028470713851421643
E69,49.65257828983817,1.012018798262715,0.6735935814638947,0.0019500178001910671,1.119629839972388,0.0059749774069993945,0.08000082464795454,0.001887476617761009,0.0732935500298122,0.002741770797618285,103.33534873783547,1.1888473343544426,0.5746790997272164,0.023863795379933793
E70,42.76101919032182,0.8788344341846952,0.6438294477213297,0.001839717344043804,1.03235892514971,0.00516578895342454,0.06264305982594785,0.0014825036220398084,0.06637423681466985,0.0026910380748950006,91.19402786853982,1.0743943220664534,0.5071572706605596,0.021092476746907583
E71,33.98953668590802,0.7133234625897922,0.6066360980630559,0.0018481672927813237,0.9330311748714607,0.0046987404859118705,0.044406984738771825,0.0010682734174302763,0.06073148462511624,0.002842256838174288,67.08906226087315,0.8439126014526652,0.373102039544052,0.015596584695952084
E72,93.97828084342214,1.8840339955093146,0.7726958316045879,0.0029615205697082142,1.4815511331039253,0.013034658981205809,0.2127730103847623,0.0051815848280500594,0.11431071386118266,0.003694505704089859,134.27935173960537,1.525334529560803,0.9558432351533568,0.039711660897453635
E73,65.45600742560751,1.3224041465688001,0.7313816984200389,0.0025127469214044833,1.3145076267836675,0.009356799768986573,0.12851797203424672,0.00307337512240764,0.08993728005106022,0.0033002819001800607,108.1401001388022,1.2354055612946329,0.769774797412914,0.031972542807949186
E74,44.756405181602894,0.9208882100289947,0.6691300058968472,0.002285019808249945,1.1060535996700005,0.0069071762796509735,0.07188772869870813,0.0017241351414186215,0.07133038566680727,0.003244489427185618,74.79167461336009,0.9008441632899659,0.5323897087870859,0.02219011075574009
E75,34.88239678048741,0.7344768121907433,0.6253725776973337,0.0022393267025657944,0.9818411551945919,0.005978171248852844,0.048885955473600994,0.0011909252426924321,0.06360649708340359,0.003359006376064809,55.06296662133175,0.7103702948397704,0.39195444371275817,0.016427902629442978
E76,23.343952100799108,0.5273841749414947,0.5730577822712339,0.0022675275180629776,0.8511207017171412,0.005311532060833878,0.027850036878159613,0.0007171874711032663,0.05467037124932931,0.003648636212027411,32.63058558111924,0.5021775855428161,0.23227362881666708,0.009916330446371864
E77,78.746874489062,1.5893936177243926,0.7809230763146491,0.0046816100625273385,1.5185609681405845,0.021390285864493642,0.19167582159157667,0.005151169917147727,0.11071577628341926,0.005848250887280624,64.2247667581522,0.832856784345837,0.7831424554973667,0.03294009292062734
E78,55.49521858770607,1.1350621182419254,0.7420163769574858,0.003956359302858879,1.3549768463424126,0.0153441830574492,0.11769961281964453,0.003028557447112584,0.09061444490893851,0.005202948850634855,52.29325183503797,0.6756731845304068,0.637651138823755,0.026784912086408725
E79,44.38925248993468,0.9218516671819422,0.706943823062712,0.0036731947167121934,1.227469548747447,0.012538998313632583,0.08393126921264278,0.002141155375589415,0.08160287045871484,0.005039999447042979,43.121907361033394,0.5741589850926426,0.525817481956857,0.022139235688432655
E80,36.4567938880397,0.7724089600076881,0.679550515887641,0.0035170920791578815,1.1380908851166056,0.010978875706994821,0.06319430266316803,0.0016198840619378516,0.07502590698253357,0.004984953613250688,35.64704191147956,0.4966856621391514,0.4346704807300269,0.018378531334889554
E81,25.187538959972354,0.5692170355319428,0.6277959999062541,0.003419991606611235,0.9883554132056205,0.009190449843506485,0.03734097628794107,0.0009969227533472489,0.06603005656536184,0.005141815364445987,23.30976873359501,0.37537904525989063,0.2842324945494203,0.012221260137999491
