Io_kWm2,sensor,slope,intercept,r2
456,T8_ss,-33.19674289735288,1435.4091185715108,0.9705567356352938
456,T12_ss,-16.50808335602377,1250.5277681547584,0.9455792797470265
456,T11_ss,-1.0994309464804752,906.0473644086572,0.07078902718185022
456,T9_ss,-16.61297751090096,1225.5289349078137,0.9494349472256118
456,T10_ss,-3.476852719623539,887.2534678124139,0.44388462877014706
456,T3_ss,0.5801798383283138,761.4041098200574,0.034079651929125626
456,I_vol_wall,16.68865954132911,-184.88135041675255,0.9036857877751564
456,gapC58,-0.10489415487719111,-24.99883324694461,0.27436761728102194
456,gapC107,-2.377421773143063,-18.793896596243187,0.9982646578723131
456,eta_gas,0.05990348997814756,-0.015544130719054472,0.9966082039214628
456,eta_del,0.052271806263654054,-0.013563813890972387,0.9966082039214628
456,R_leak,0.014283834382968647,0.4544645088542271,0.9919435226147935
304,T8_ss,-24.313499855764178,1173.2949276412835,0.994953874745805
304,T12_ss,-13.408126352987276,1060.7045632227998,0.9162133997851036
304,T11_ss,-1.8598168422162475,793.2258025812637,0.1159662108700003
304,T9_ss,-13.626351169997374,1037.084973321664,0.9263470911903047
304,T10_ss,-3.6833441718684665,774.7952389731877,0.3686456911831077
304,T3_ss,-0.07203991759024134,675.1465703391777,0.00027894591790555474
304,I_vol_wall,10.905373502776898,-112.59036441848363,0.8061958534999702
304,gapC58,-0.21822481701009697,-23.619589901135736,0.5088360261524001
304,gapC107,-1.8235273296522194,-18.43056360807599,0.9690944774944994
304,eta_gas,0.06679397541696816,0.034881021425656855,0.9836865597134395
304,eta_del,0.04973490351226222,0.025972465692968627,0.9836865597134398
304,R_leak,0.013854684777877558,0.4675019340888179,0.9777710003315688
256,T8_ss,-20.832095539304387,847.8093738324968,0.9943756996894705
256,T12_ss,-13.996847592694348,822.5763547763095,0.9794323988991263
256,T11_ss,-5.16360045127681,655.0838690834865,0.7573272775468182
256,T9_ss,-13.916720318881245,800.1399011795259,0.9824191304590848
256,T10_ss,-6.149818005534598,637.2374780331372,0.8413163625788757
256,T3_ss,-3.0515040767138712,576.2684882602513,0.5471944295918751
256,I_vol_wall,6.835247946610038,-25.233019056187302,0.7954658964932889
256,gapC58,0.08012727381310485,-22.43645359678376,0.16240629148512514
256,gapC107,-0.9862175542577877,-17.846391050349375,0.938485525293194
256,eta_gas,0.0464519205842806,0.06742224297230986,0.9772067632733473
256,eta_del,0.049894651540580655,0.07241916538379156,0.9772067632733471
256,R_leak,0.014925608354142255,0.500892658131145,0.9745313072244128
