% Model:              Cav_Hex_Unif_flux_v5.1.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 29 2021, 10:16
% Table:              Evaluation Group 1 - 
% R_channel (mm)         Entry_reg                Q_abs (W)                Q_BHS (W)                T_g_in (K)               T_g_out (K)              Q_rad_loss (W)           Q_rad_loss_int (W)       Q_rad_loss_front (W)     Q_abs_out (W)            Q_abs_in (W)             BHS_front (W)            BHS_interior (W)
0.5                      1.0E-5                   1.9383111661520445       1.8804817530919768       365.32583544659946       886.5328730959999        0.02553382625009337      0.02553382625009337      0                        1.9071308376809832       -0.08033948094218447     1.3157253937883775       0.5647563593035992
0.5                      0.1                      1.8099986416523928       1.7543436280005849       362.34079996295407       853.0715424937151        0.005147800932561009     0.005147800932561009     0                        1.7996143622531249       -0.08033949013416178     1.3157253937883775       0.4386182342122074
0.5                      0.3                      1.7918125895127073       1.7377053213944667       361.90128983311257       848.2874099439547        0.004126170123136404     0.004126170123136404     0                        1.7842421861293571       -0.08033949246845015     1.3157253937883775       0.4219799276060891
0.5                      0.5                      1.798408462259379        1.7434771117851364       362.04827201097555       850.0135635777722        0.004078113825459845     0.004078113825459845     0                        1.7897885905910749       -0.08033949167578738     1.3157253937883775       0.427751717996759
0.5                      0.7                      1.7915583758112803       1.7375814947943646       361.92286420163356       848.2424805725341        0.004021520736220705     0.004021520736220705     0                        1.7840978145001114       -0.08033949285163411     1.3157253937883775       0.42185610100598725
0.5                      0.9                      1.793148843512716        1.7389298777545816       361.9468932311869        848.6497478935147        0.004015189841406847     0.004015189841406847     0                        1.7854064229949198       -0.08033949304988257     1.3157253937883775       0.42320448396620425
1                        1.0E-5                   4.586638173166192        4.598544375397587        364.9718635327982        873.9884491750772        0.17622351270220693      0.17622351270220693      0                        4.5362404945275925       -0.19520366189834099     2.1247983225060074       2.4737460528915802
1                        0.1                      4.066256170964419        4.017436413180333        359.3084499714342        817.1633559055093        0.023720100820501945     0.023720100820501945     0                        4.0925630544217615       -0.19520367089708332     2.1247983225060074       1.8926380906743256
1                        0.3                      3.9842282707752403       3.9379135650099473       358.4560010656056        808.1375541518496        0.018213634187184653     0.018213634187184653     0                        4.022091571962206        -0.1952036772467381      2.1247983225060074       1.81311524250394
1                        0.5                      3.9819412853145177       3.9360194924534477       358.4515056146694        807.9009754830807        0.017881285085879613     0.017881285085879613     0                        4.0202444009384415       -0.19520367821933735     2.1247983225060074       1.8112211699474403
1                        0.7                      3.98192191768264         3.9360158917329935       358.45268815643584       807.8999527449296        0.01779371290515931      0.01779371290515931      0                        4.020236392629027        -0.19520367936329153     2.1247983225060074       1.8112175692269858
1                        0.9                      3.981923676890585        3.936004330494377        358.45204421912666       807.8996145083703        0.017750738991433552     0.017750738991433552     0                        4.0202337274230455       -0.19520368061508786     2.1247983225060074       1.8112060079883694
2                        1.0E-5                   12.35228335790253        13.542973875580461       363.1812254306952        831.3463630487423        1.3652580732691741       1.3652580732691741       0                        12.433885341551175       -0.577424505712437       3.905937027231463        9.637036848348998
2                        0.1                      10.987635321071703       11.274741488212264       356.7248572096867        779.1039243122092        0.14422218500682477      0.14422218500682477      0                        11.227273019845398       -0.5774244703731084      3.905937027231463        7.368804460980801
2                        0.3                      10.640791558199007       10.891099788366382       355.5196753447519        766.0170713135421        0.10660752885276592      0.10660752885276592      0                        10.92501294377598        -0.5774244821271248      3.905937027231463        6.98516276113492
2                        0.5                      10.63361356005698        10.886354790110733       355.5398764571147        765.78233808614          0.1053895973032358       0.1053895973032358       0                        10.919591154979809       -0.577424486217763       3.905937027231463        6.980417762879269
2                        0.7                      10.632362956699312       10.885359220759044       355.54049112469266       765.7390696658277        0.10507531099215145      0.10507531099215145      0                        10.918591515772185       -0.5774244902926576      3.905937027231463        6.979422193527581
2                        0.9                      10.62991011087263        10.884993567121576       355.54018614769734       765.6529718451754        0.1049317063621042       0.1049317063621042       0                        10.916614938004052       -0.5774243243043826      3.905937027231463        6.979056539890112
4                        1.0E-5                   36.35893749150854        46.04602260107163        360.03856143074387       776.6357533659608        9.107643194270105        9.107643194270105        0                        37.468591222140844       -1.9368483988240577      7.415192667081949        38.63082993398968
4                        0.1                      33.476912639115646       36.683690849641486       354.5187004066768        741.9676037481745        0.9148783934379977       0.9148783934379977       0                        34.782753932402485       -1.9368483736974813      7.415192667081949        29.268498182559537
4                        0.3                      32.23768945061484        35.00324380240431        353.80685869432995       728.2845987904994        0.6686538080561234       0.6686538080561234       0                        33.722688227512876       -1.9368483773962815      7.415192667081949        27.588051135322363
4                        0.5                      31.978745116260207       34.789534167712056       353.8127506219933        725.5434310451748        0.662406708161967        0.662406708161967        0                        33.510319232290456       -1.936848381558034       7.415192667081949        27.37434150063011
