% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 2 2021, 13:23
% Table:              Evaluation Group 1 - Global Powers/Variables - 
% R_channel (mm)         emis                     Q_abs (W)                Q_BHS (W)                T_g_in (K)               T_g_out (K)              Q_rad_loss (W)           Q_rad_loss_int (W)       Q_rad_loss_front (W)     Q_abs_out (W)            Q_abs_in (W)             BHS_int (W)              BHS_front (W)
0.5                      0.1                      0.5409130378423229       0.5673830578452626       331.7345060335427        493.95946341598415       0.0010325623490662977    3.1786790691179495E-4    7.146944421545027E-4     0.6453109609711609       -0.08028713933213755     0.4211913474243313       0.14619171042093057
0.5                      0.3                      0.9327774609703201       0.9567935436863539       341.55372479811405       611.9515450475897        0.008859835657364859     0.0027141339289620593    0.0061457017284028       1.024190144219605        -0.08028712087634954     0.5182184124235595       0.43857513126279235
0.5                      0.5                      1.2685778893661526       1.2858759062804          349.6812788488911        707.4925399463494        0.028904704030853982     0.008818184536602339     0.020086519494251644     1.330977509785506        -0.08028711578946475     0.5549173541757462       0.7309585521046533
0.5                      0.7                      1.5797436174569217       1.5979126039793627       357.04268753654          792.3864316336967        0.06783326783649285      0.02061803256034044      0.04721523527615241      1.6035768676773452       -0.08028709184760321     0.5745706310328496       1.023341972946513
0.5                      0.9                      1.866581123383878        1.9025078530743962       363.73019616930856       868.2229095432291        0.13204375749347938      0.04000237313383216      0.0920413843596472       1.847092135430556        -0.08028708701461088     0.5867824592860178       1.3157253937883788
1                        0.1                      1.991458359410987        2.0422627545074863       337.06007469441124       576.4387028576773        0.006124343330974706     0.0031206144363617326    0.0030037288946129824    2.2184953496179567       -0.19568479828603713     1.8061740520068177       0.23608870250066716
1                        0.3                      2.8951687156065855       2.943924625251327        346.5966439153304        683.9383748021996        0.04558854790728378      0.023078066617489686     0.022510481289794063     3.0598973273620147       -0.19568475443794597     2.235658517749327        0.7082661075020018
1                        0.5                      3.506437812470534        3.580605661530797        353.0453859075697        753.6880680853676        0.125839836518906        0.06337044545315877      0.06246939106574724      3.605827717094097        -0.1956847966377725      2.400162149027467        1.1804435125033352
1                        0.7                      4.009905983456839        4.144705926091754        358.36493476241657       809.6754503252993        0.25505919541894273      0.12787216429064452      0.12718703112829724      4.0440419310752915       -0.1956847906330339      2.492085008587081        1.6526209175046702
1                        0.9                      4.442749997802218        4.676735415779904        362.9465034583427        856.923058876116         0.43912912105313523      0.2193106599238464       0.2198184611292897       4.413849498038296        -0.19568479935139996     2.5519370932738945       2.1247983225060074
2                        0.1                      7.245663642822916        7.409585643387838        340.82525811743113       631.3734314456779        0.04416498499225911      0.030721457466102293     0.013443527526156854     7.815230732866784        -0.5774245323751999      6.97559264036212         0.43399300302571786
2                        0.3                      9.446735669933593        9.898725825958165        350.1987927088238        719.450261765068         0.3145724275251244       0.21734910979570563      0.09722331772941968      9.849486114968625        -0.5774245458181736      8.596746816881028        1.3019790090771535
2                        0.5                      10.539292166445025       11.378516427661692       355.02408200478          762.0578077899653        0.7619131064302851       0.5238086867865154       0.23810441964377         10.833567930830517       -0.5774245375358724      9.208551412533073        2.1699650151285876
2                        0.7                      11.303051119166447       12.587212191921202       358.43859369439883       791.44703259389          1.3591786006667845       0.9306427417790617       0.42853585888772416      11.512353291186212       -0.5774245431135838      9.549261170741115        3.0379510211800227
2                        0.9                      11.901679276656958       13.676982970420083       361.1313873718947        814.2700960150516        2.092239770321227        1.4276775773020471       0.6645621930191759       12.039483529181412       -0.5774245527150623      9.771045943188808        3.9059370272314626
4                        0.1                      26.717026152880745       28.17648258273062        343.7832639916073        660.4295575696411        0.3575192418139476       0.29841394570893637      0.05910529610501144      28.469846184840694       -1.9371237468702334      27.352572286388412       0.8239102963424387
4                        0.3                      32.13104391873824        36.68390732608942        352.05144967714796       725.6518643260188        2.2883849862370784       1.9025247149357611       0.385860271301322        33.52349319284349        -1.9371237814240672      34.212176437061714       2.4717308890273215
4                        0.5                      33.784812850294365       40.755621617936875       355.0717186391551        745.6137807623961        4.817146588722709        3.9918008242288          0.8253457644939161       35.07022086254144        -1.9371237839790485      36.63607013622475        4.119551481712196
4                        0.7                      34.765523803771664       43.778869034697756       356.91570681767723       757.4177159839955        7.696167025438254        6.360448508597935        1.3357185168403103       35.98483488187212        -1.9371237866037108      38.01149696030077        5.767372074397068
4                        0.9                      35.482295165653944       46.34238733960384        358.2711125221951        766.0159604065059        10.852763657738217       8.948536505424018        1.9042271523142151       36.65105895256868        -1.9371237887598256      38.92719467252148        7.415192667081956
8                        0.1                      72.37061985759783        81.83136823582208        338.8645692231023        578.863380989474         1.5070666900299237       1.3882231495523634       0.11884354047756002      81.01174548367926        -7.084909182080257       80.87915834884048        0.9522098869805121
8                        0.3                      93.29305083268244        117.58036014729194       345.4654455588188        648.6062896776376        9.729110986963136        8.958897127724327        0.7702138592387944       100.77628384001896       -7.084909191576502       114.72373048635032       2.8566296609415374
8                        0.5                      96.40153018669662        128.9673251678931        347.2158675125351        659.4204363246898        19.1322796143837         17.593714707976403       1.538564906407278        103.84096707354244       -7.0849091882805455      124.20627573299052       4.761049434902559
8                        0.7                      97.75028493125359        136.0927665241103        348.12880360956785       664.2259026475888        29.01288598136459        26.653024901675515       2.359861079689073        105.20281035805596       -7.084909188407417       129.42729731524696       6.665469208863589
8                        0.9                      98.60174875592175        141.4754834138071        348.7301673352897        667.2752956193023        39.2190233017725         36.00042696385987        3.2185963379126306       106.06699066660548       -7.084909188475824       132.90559443098198       8.569888982824619
