simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,core_absorbed_W,perim_absorbed_W,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K,f_core_tube
E67,15.2805125,456000.0,2.0600648951307643,131.6928,271.2957142214767,177.861902787786,93.43381143369074,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,949.9456906078785,931.6279999999999,951.1063888362894,991.103,880.3045499170538,878.055,950.7034865265862,966.6659999999999,883.5185185825,824.995,810.0591307833417,763.414,326.7885971383481,326.43699999999995,1.1606982284108653,59.47500000000002,-69.64114069082473,-53.57299999999998,0.40290230970322227,24.437000000000012,-3.2139686654461457,53.059999999999945,7.3368484548803075,0.9244851260072062,164.1253311683894,-28.97947836113001,1.0,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E68,12.499871559633025,456000.0,2.0600648951307643,131.6928,271.2957142214767,177.861902787786,93.43381143369074,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,1049.4628722899656,1012.649,1040.4189871280355,1047.717,952.6430993776938,898.751,1040.5009325319895,1020.928,956.1035027204617,850.0989999999999,875.4371756568797,773.207,339.5417289096118,338.52,-9.04388516193012,35.0680000000001,-96.81977291227179,-113.89800000000002,-0.08194540395402328,26.7890000000001,-3.460403342767904,48.652000000000044,6.546484522544481,0.9468866869906867,151.68214516156016,-32.58411365222668,1.0,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E69,10.499733944954128,456000.0,2.0600648951307643,131.6928,271.2957142214767,177.861902787786,93.43381143369074,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,1133.7156537461965,1058.429,1111.5498183326772,1070.73,1003.825947080271,896.755,1112.0353298751506,1044.378,1007.4960124897581,852.837,916.5124028480457,769.76,350.01222020770837,344.308,-22.16583541351929,12.30099999999993,-129.88970666592547,-161.6740000000001,-0.4855115424734322,26.35200000000009,-3.6700654094870515,43.918000000000006,5.953332441091911,0.9616570220990169,137.86747895297762,-34.630482514840345,1.0,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E70,9.107139705882352,456000.0,2.0600648951307643,131.6928,271.2957142214767,177.861902787786,93.43381143369074,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,1201.635828725698,1152.474,1166.7716293960411,1120.277,1044.1014966743908,912.173,1167.5768466589252,1093.725,1047.9091374248696,871.483,952.0037678712912,779.518,352.05055282718064,352.421,-34.86419932965691,-32.19699999999989,-157.53433205130727,-240.30099999999993,-0.8052172628840708,26.552000000000135,-3.8076407504788676,40.690000000000055,5.507964250379892,0.971378809761367,126.5280661254963,-36.075107923408666,1.0,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E71,7.126846153846151,456000.0,2.0600648951307643,131.6928,271.2957142214767,177.861902787786,93.43381143369074,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,1315.9458750815988,1203.298,1251.9726255707844,1120.348,1096.3571141759867,882.823,1253.260069812225,1095.306,1100.340391404242,847.476,978.0049741940676,753.56,359.2227815557232,356.00399999999996,-63.97324951081441,-82.95000000000005,-219.58876090561216,-320.475,-1.287444241440653,25.041999999999916,-3.983277228255247,35.34699999999998,4.851390854642693,0.9847489987457942,103.7976649222474,-35.78022294984641,0.9810339619524091,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E72,18.707575757575754,304000.0,2.170056116195684,87.7952,190.5205107326233,124.90555059539759,65.61496013722572,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,708.2689592784664,737.656,709.0511531738717,797.899,666.243370419902,733.977,708.5445785201241,771.112,668.3280407566825,684.1869999999999,624.1810673757807,652.9549999999999,312.437616874287,309.928,0.7821938954053849,60.24300000000005,-42.02558885856433,-3.6789999999999736,0.5065746537476343,26.787000000000035,-2.084670336780505,49.79000000000008,8.560208125599347,0.8857228601050359,123.1969738887194,-16.67884173470999,1.0,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E73,13.170870967741934,304000.0,2.170056116195684,87.7952,190.5205107326233,124.90555059539759,65.61496013722572,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,830.7475674653374,837.694,820.0134321988294,894.482,755.4471043705072,791.76,820.1150574085082,867.5509999999999,757.9101517774977,747.4,701.3550472742095,694.626,326.6631632018576,325.12,-10.73413526650802,56.78800000000001,-75.3004630948302,-45.93399999999997,-0.10162520967878663,26.93100000000004,-2.4630474069905404,44.360000000000014,7.116163016434942,0.9309835894894566,110.08808118002268,-20.717433588060285,1.0,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E74,9.023245901639344,304000.0,2.170056116195684,87.7952,190.5205107326233,124.90555059539759,65.61496013722572,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,980.6965184909053,948.538,943.6455969421597,962.509,844.7508432232459,804.0,944.4736178404688,935.491,847.6066007586375,767.8009999999999,774.5629830826273,697.672,334.70437913552246,333.964,-37.05092154874558,13.971000000000004,-135.94567526765945,-144.538,-0.8280208983090915,27.01800000000003,-2.8557575353916036,36.19900000000007,5.791654914984647,0.9653054560504433,89.73172621818607,-24.007083386869702,1.0,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E75,6.944410852713178,304000.0,2.170056116195684,87.7952,190.5205107326233,124.90555059539759,65.61496013722572,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,1086.3150716019886,1008.725,1021.4660575003743,979.689,892.9476863895846,788.678,1022.7281121763548,954.178,895.9840130243874,757.393,799.7336856831627,681.066,339.8952904316094,336.517,-64.84901410161433,-29.036000000000058,-193.36738521240397,-220.04700000000003,-1.2620546759804938,25.510999999999967,-3.0363266348027764,31.284999999999968,5.026031396467619,0.9809141299779653,73.11144991697698,-24.17205842754205,0.9792546228443693,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
E76,4.526673611111114,304000.0,2.170056116195684,87.7952,190.5205107326233,124.90555059539759,65.61496013722572,0.3443984056357577,33.02420185995854,1.0,0.1673562983392769,0.0,0.8326437016607231,1228.2083589538697,1067.693,1112.625064057318,970.472,940.8661552089127,751.1579999999999,1114.3069850459256,947.353,943.965788709833,726.308,810.0538929813569,647.019,346.79908991415977,338.123,-115.5832948965517,-97.221,-287.34220374495703,-316.5350000000001,-1.6819209886075441,23.119000000000028,-3.0996335009202767,24.84999999999991,4.319429238226673,0.9971840409413345,49.20437990649616,-21.824202774962348,0.9379202891812917,99.65457510246097,153.366182114366,225.89311468018687,0.8472801003795039
