irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-22.07985669406336,-34.14928244526689
456000.0,T12_wall,-29.494387806434528,-16.81065855368442
456000.0,T11_wall,-20.24479173524702,-1.3657133576718719
456000.0,T3,-8.289974136774164,0.5430107656374393
304000.0,T8,-18.40636851784428,-23.65036823444102
304000.0,T12_wall,-21.055030828440955,-13.173548257550575
304000.0,T11_wall,-14.210664835122666,-1.9289615808695002
304000.0,T3,-5.526046991298677,-0.13175631351821884
256000.0,T8,-15.836292116155173,-20.88606484778701
256000.0,T12_wall,-14.310281297226098,-13.987976018518863
256000.0,T11_wall,-10.057831381889153,-5.174190237226035
256000.0,T3,-3.822025058693272,-3.039355302230513
