simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_wall_model,T12_wall_experiment,T11_wall_model,T11_wall_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T9_interior_experiment,T10_interior_experiment,Lambda58_experiment,Lambda107_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_tube_heat,receiver_to_cavity_heat,active_wall_heat,flange_heat_loss,f_wall,G_aw_W_m_K,C_wall_eff_J_K,C_participating_eff_J_K
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1185.77611212604,931.6279999999999,773.595357442618,991.103,585.1392467411422,878.055,593.6191353674329,763.414,316.80122669015867,326.43699999999995,-412.18075468342204,59.47500000000002,-600.6368653848979,-53.57299999999998,966.6659999999999,824.995,0.035173069435758465,0.09121281586477252,0.11993789390455836,0.03974103062117423,99.42870287534674,21.85640816479956,38.706620987444,26.661986158100813,23.18213493352101,0.35,4.0,250.0,308.0215460526567
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1240.91472735595,1012.649,844.5270297404769,1047.717,635.0445784356698,898.751,621.3153037102627,773.207,326.27341848941006,338.52,-396.38769761547303,35.0680000000001,-605.8701489202801,-113.89800000000002,1020.928,850.0989999999999,0.03576819369219926,0.0810872748212279,0.08468692793535373,0.03575053370385523,88.97934546927483,22.874382218164282,42.82789000611447,36.31832672491238,26.594217653114764,0.35,4.0,250.0,308.0215460526567
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1283.8878464040333,1058.429,901.3019350073913,1070.73,673.002780766417,896.755,637.23402764988,769.76,335.9820037920141,344.308,-382.585911396642,12.30099999999993,-610.8850656376163,-161.6740000000001,1044.378,852.837,0.03404688552781276,0.0731946538136868,0.0634884248262245,0.032744001973096494,79.5553591346367,24.52560402791452,45.84724402800027,44.74413625568374,28.373649354894546,0.35,4.0,250.0,308.0215460526567
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1316.3781984622292,1152.474,945.5783930748009,1120.277,703.5612636071202,912.173,648.9459780926827,779.518,335.36907781472235,352.421,-370.79980538742825,-32.19699999999989,-612.816934855109,-240.30099999999993,1093.725,871.483,0.03233171423109301,0.06636406782867674,0.050102312303728726,0.030458446346889177,71.21632573443672,25.807761179912994,48.88450579506508,51.94884872386854,29.677847313242854,0.35,4.0,250.0,308.0215460526567
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1366.669340596952,1203.298,1015.6170902125565,1120.348,751.5771416589239,882.823,660.7787621194185,753.56,341.19603712442887,356.00399999999996,-351.0522503843955,-82.95000000000005,-615.0921989380281,-320.475,1095.306,847.476,0.030555252210167617,0.060729555296504756,0.03387829356684305,0.027024045861810245,57.94945499562799,28.54927159125271,53.08221172412341,63.25434021943613,30.930602783893498,0.35,4.0,250.0,308.0215460526567
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,938.334440930418,737.656,605.6707047783186,797.899,484.55672378202826,733.977,499.8254803102932,652.9549999999999,307.52506114716914,309.928,-332.66373615209943,60.24300000000005,-453.7777171483898,-3.6789999999999736,771.112,684.1869999999999,0.0534162085200319,0.11379140908000156,0.18833195871480077,0.04557550423782193,78.63501191716394,15.872373782245147,26.37816099855699,6.881635685721114,15.098820977760393,0.35,4.0,250.0,308.0215460526567
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1018.7624773301513,837.694,687.6213807098208,894.482,541.0952805837528,791.76,535.9623866749187,694.626,318.82649359629863,325.12,-331.1410966203306,56.78800000000001,-477.66719674639853,-45.93399999999997,867.5509999999999,747.4,0.04507272791175252,0.08965618993530448,0.10739023781646811,0.03852400259820324,67.32179979127436,17.61466022910252,31.37332506966391,17.196167013482498,19.320826039446278,0.35,4.0,250.0,308.0215460526567
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1097.1755772441272,948.538,775.8240548952587,962.509,599.4942910901609,804.0,562.736355024194,697.672,323.3085872282442,333.964,-321.35152234886857,13.971000000000004,-497.6812861539663,-144.538,935.491,767.8009999999999,0.040569882365660545,0.07133468518266729,0.057565792878303775,0.03191349072835157,51.95312118185419,20.522803965810702,37.141517469322395,30.288417441057035,22.30344342361416,0.35,4.0,250.0,308.0215460526567
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1142.4517651598208,1008.725,831.2025921989361,979.689,635.9039583024734,788.678,572.2047344201635,681.066,326.8759420531255,336.517,-311.2491729608846,-29.036000000000058,-506.5478068573474,-220.04700000000003,954.178,757.393,0.037352566735263215,0.06359159903855431,0.0379525236099775,0.028125538564858794,41.70476637273952,22.844105679973662,40.60724588326924,38.758253080017504,23.394753578364526,0.35,4.0,250.0,308.0215460526567
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1201.7109045456623,1067.693,909.9305745713702,970.472,690.9607170745967,751.1579999999999,574.0317928218076,647.019,332.39991116662674,338.123,-291.78032997429204,-97.221,-510.7501874710656,-316.5350000000001,947.353,726.308,0.034300957931289816,0.05465256036798639,0.019612057126643087,0.023012346030154056,27.695109926715222,26.112890790277806,45.49803876163935,50.32040682005238,24.331803691545215,0.35,4.0,250.0,308.0215460526567
E77,13.84748387096774,256000.0,0.9827026344016692,73.9328,72.65395732869173,-1.2788426713082686,1.0,0.0,679.546977466282,565.544,494.4700641232279,623.3499999999999,420.94202474225267,574.299,422.2107585225172,525.356,308.72207978339753,308.37,-185.07691334305406,57.805999999999926,-258.6049527240293,8.754999999999995,602.429,543.727,0.06413294381278471,0.11030372128935424,0.15190457124294734,0.042613135857973584,35.66837851922482,10.36338370356704,16.104784846824963,3.379028215516806,9.504717254419969,0.35,4.0,250.0,308.0215460526567
