simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,added_absorbed_W,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T12_wall_model,T12_wall_experiment,T11_wall_model,T11_wall_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T9_interior_experiment,T10_interior_experiment,Lambda58_experiment,Lambda107_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_tube_heat,receiver_to_cavity_heat,active_wall_heat,flange_heat_loss,f_wall,G_aw_W_m_K,C_wall_eff_J_K,C_participating_eff_J_K
E67,15.2805125,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,848.6047239002418,931.6279999999999,826.8674183021374,991.103,763.604447217541,878.055,719.2431767045707,763.414,321.6730955083984,326.43699999999995,-21.7373055981044,59.47500000000002,-85.00027668270081,-53.57299999999998,966.6659999999999,824.995,0.035173069435758465,0.09121281586477252,4.195503728179059,0.794934137552304,135.45178472532209,33.27954480783766,39.79530118898553,50.83592014205564,35.98537563963497,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E68,12.499871559633025,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,932.5507664851154,1012.649,900.2163577819962,1047.717,820.3842233755347,898.751,772.8643758529647,773.207,332.2760063872527,338.52,-32.334408703119266,35.0680000000001,-112.16654310958074,-113.89800000000002,1020.928,850.0989999999999,0.03576819369219926,0.0810872748212279,2.4032236461179193,0.687929171561159,126.38395566883152,33.13740004194638,44.598986616404545,59.886668819514995,40.673459458619796,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E69,10.499733944954128,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1005.1102171004875,1058.429,959.1626400075609,1070.73,861.5167773779456,896.755,809.8390070265215,769.76,342.30671281452624,344.308,-45.94757709292662,12.30099999999993,-143.59343972254192,-161.6740000000001,1044.378,852.837,0.03404688552781276,0.0731946538136868,1.5122586409368586,0.5940873729922236,117.15282731932173,34.3924835556092,48.267883093437135,68.08856676609403,43.14028265668757,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E70,9.107139705882352,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1065.361975187248,1152.474,1004.7944576469182,1120.277,892.2286047536121,912.173,840.0579889703411,779.518,342.6574487071132,352.421,-60.56751754032973,-32.19699999999989,-173.13337043363583,-240.30099999999993,1093.725,871.483,0.03233171423109301,0.06636406782867674,1.036464695244031,0.5190584156069553,108.79544223903028,34.59937687666099,51.759688577326116,76.05541996831305,45.050105068862045,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E71,7.126846153846151,456000.0,1.669539299381132,131.6928,219.86630504553952,88.17350504553951,1.0,0.0,1166.4826702654054,1203.298,1073.3604771730108,1120.348,932.7748119433026,882.823,880.9615373594902,753.56,348.9475991334792,356.00399999999996,-93.12219309239458,-82.95000000000005,-233.70785832210288,-320.475,1095.306,847.476,0.030555252210167617,0.060729555296504756,0.5574812532009952,0.4056310408272946,94.06424591001175,35.889697635339125,56.537842656191515,89.59855983802909,46.59942478375362,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E72,18.707575757575754,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,636.2767085147849,737.656,621.4314202510482,797.899,585.671682795741,733.977,559.1459315703603,652.9549999999999,309.3239317195182,309.928,-14.845288263736734,60.24300000000005,-50.60502571904385,-3.6789999999999736,771.112,684.1869999999999,0.0534162085200319,0.11379140908000156,9.15013117929077,0.9135000130269286,98.36368180855405,22.960818898129258,24.72863685384509,29.064872702725115,22.12782841039151,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E73,13.170870967741934,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,737.6381792679683,837.694,709.9270920199873,894.482,654.7984284640054,791.76,621.1845950660475,694.626,321.59345037213745,325.12,-27.711087247981027,56.78800000000001,-82.83975080396294,-45.93399999999997,867.5509999999999,747.4,0.04507272791175252,0.08965618993530448,3.7118420641051784,0.7749259401289695,88.57004076111275,24.406952406027088,30.587598566117894,37.5283538621448,27.846160011879483,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E74,9.023245901639344,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,863.1685237004741,948.538,807.5686400021638,962.509,722.1400347747532,804.0,681.5309477125082,697.672,327.4177103354697,333.964,-55.59988369831035,13.971000000000004,-141.02848892572092,-144.538,935.491,767.8009999999999,0.040569882365660545,0.07133468518266729,1.3619020188324262,0.5762413321643848,74.04894657015777,26.648176525210687,37.63129729379363,49.69206947184239,32.159443447876434,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E75,6.944410852713178,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,950.6813632791518,1008.725,866.3352228001869,979.689,757.3149465499378,788.678,715.009790536199,681.066,331.64985203281293,336.517,-84.34614047896491,-29.036000000000058,-193.36641672921405,-220.04700000000003,954.178,757.393,0.037352566735263215,0.06359159903855431,0.7008548061197007,0.44872064649276067,63.4845505387905,28.128469180605688,41.84725281780817,58.78073677464119,33.699302015624376,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
E76,4.526673611111114,304000.0,1.7170694424514947,87.7952,150.75045511391747,62.955255113917474,1.0,0.0,1081.7800534403962,1067.693,939.6756875063454,970.472,794.0363735057588,751.1579999999999,761.7908911923851,647.019,337.4854408237165,338.123,-142.10436593405075,-97.221,-287.7436799346374,-316.5350000000001,947.353,726.308,0.034300957931289816,0.05465256036798639,0.2488547497174691,0.2861958286958869,47.8289513280422,29.015901418031373,47.26048968489748,73.56865286830842,34.53975873685064,0.0010790997753477166,12.652095507417854,86.31362860654501,144.3351746592017
