variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_perim_W
fitted_2zone_macro_ecm,E70,2.74,1087.5006132483588,1047.2070063294243,299.03999999999996,1030.0028525534726,6.518161591029151,220.22633285208008,39.30409962715553,0.9770049285381389,140.3039666992775,9.667714846416839
fitted_2zone_macro_ecm,E70,8.220000000000002,1071.2539729644118,1046.5014913623077,1030.0028525534726,1045.7390215942908,4.147379341470696,193.18182824600274,37.568742377464055,0.9537858985307016,3.251073520046268,5.938905751271212
fitted_2zone_macro_ecm,E70,13.700000000000001,1057.4489224199085,1044.0560565339572,1045.7390215942908,1044.170740215666,3.61,168.97044117692604,36.13495492631489,0.9318561719361191,-0.32436855585478075,3.213373491784314
fitted_2zone_macro_ecm,E70,19.180000000000003,1045.302084617083,1039.3312181680378,1044.170740215666,1039.6625711444779,3.61,168.58245410807822,34.90396543309961,0.9315318799709824,-0.9319333836236932,1.4326003212256604
fitted_2zone_macro_ecm,E70,24.66,1034.2633879565503,1033.090869155284,1039.6625711444779,1033.544484026728,3.61,167.91991059430237,33.80981343371081,0.9309745219442687,-1.2635873704252365,0.2813244653304574
fitted_2zone_macro_ecm,E70,30.14,1023.9553095341992,1025.8673356575662,1033.544484026728,1026.4026131898047,3.6099999999999994,167.09772560099094,32.8089496672895,0.9302765159015816,-1.4733556996561685,-0.4587557370279946
fitted_2zone_macro_ecm,E70,35.620000000000005,1014.1214678534544,1018.0047552267674,1026.4026131898047,1018.5969455179572,3.61,166.17327817697443,31.87272895014775,0.9294831737097369,-1.6082192902890649,-0.9317238604975691
fitted_2zone_macro_ecm,E70,41.1,1004.5885315593821,1009.7225993995902,1018.5969455179572,1010.3560278490596,3.6099999999999994,165.18225879780184,30.98232234849681,0.9286225214770025,-1.6955250909896054,-1.2318257827141081
fitted_2zone_macro_ecm,E70,46.580000000000005,995.2391943550182,1001.1592352443705,1010.3560278490596,1001.8240512856833,3.6099999999999994,164.14721329461935,30.125324479417014,0.927712185118338,-1.7528244482037927,-1.420405656721972
fitted_2zone_macro_ecm,E70,52.06,985.9934805975867,992.4003961976919,1001.8240512856833,993.090555895232,3.6099999999999994,163.0822164827301,29.293512551188122,0.926763056256206,-1.791479078167667,-1.5372223487336945
fitted_2zone_macro_ecm,E70,57.54,976.7960291891366,983.4976359131051,993.090555895232,984.209607051037,3.61,161.99585091531708,28.481376628180946,0.9257816035932395,-1.8188529641261157,-1.6079281001203278
fitted_2zone_macro_ecm,E70,63.02,967.6075489591481,974.4802127252078,984.209607051037,975.2121418542523,3.6100000000000003,160.89312680965514,27.685161683284147,0.9247713573391292,-1.8397362828379096,-1.6489701122870817
fitted_2zone_macro_ecm,E70,68.50000000000001,958.3991410878294,965.3626675626732,975.2121418542523,966.1138489630846,3.61,159.77671220993744,26.90224774849388,0.9237338584604802,-1.8572766968974217,-1.6707709592667075
fitted_2zone_macro_ecm,E70,73.98000000000002,949.1485882005004,956.1495596920723,966.1138489630846,956.9201056076157,3.61,158.64771054581257,26.130753832803787,0.9226692547169342,-1.8735922919591927,-1.6797552069384396
fitted_2zone_macro_ecm,E70,79.46000000000002,939.8380198698347,946.8382832534545,956.9201056076157,947.6289334649949,3.61,157.5061371271674,25.36929215674348,0.921576657099684,-1.8901831699044265,-1.6795853093719155
fitted_2zone_macro_ecm,E70,84.94000000000001,930.4526065240326,937.4205069659556,947.6289334649949,938.2325431549947,3.6100000000000003,156.35118758176048,24.616827981586148,0.9204543237769804,-1.9082231887043613,-1.6718204127582925
fitted_2zone_macro_ecm,E70,90.42000000000002,920.9801430320525,927.8824866666944,938.2325431549947,928.7177392956993,3.61,155.1813486637313,23.87262193122233,0.9192997033447015,-1.9287933830582347,-1.6560912545245607
fitted_2zone_macro_ecm,E70,95.90000000000002,911.4116029006051,918.2042323179605,928.7177392956993,919.0651903768654,3.61,153.99436654939075,23.136250607556775,0.9181093368057035,-1.9531116812143052,-1.6297673324826154
fitted_2zone_macro_ecm,E70,101.38000000000001,901.7430345713879,908.3572002264143,919.0651903768654,909.2472635777984,3.61,152.78705140345198,22.407722082168934,0.9168785795580247,-1.9828200055352938,-1.5869482131099932
fitted_2zone_macro_ecm,E70,106.86000000000001,891.9796285979936,898.2997373079692,909.2472635777984,899.2236970440259,3.61,151.554849650377,21.687731506760223,0.9156010487407443,-2.0204135338746183,-1.5163946213434383
fitted_2zone_macro_ecm,E70,112.34,882.143572430115,887.9687871581409,899.2236970440259,888.933697506398,3.6099999999999994,150.29104236250677,20.97814788236596,0.9142676078226852,-2.0699466458709184,-1.3976538517140848
fitted_2zone_macro_ecm,E70,117.82000000000002,872.2887156310788,877.2651430524797,888.933697506398,878.2818879829806,3.61,148.9853054288111,20.282901573148703,0.9128645339475234,-2.1382425441993766,-1.194002844192771
fitted_2zone_macro_ecm,E70,123.30000000000003,862.5275890985606,866.0274003311035,878.2818879829806,867.1135130225911,3.61,147.6211533626785,19.60958066610845,0.9113702080134601,-2.236997488054988,-0.8397157663393998
fitted_2zone_macro_ecm,E70,128.78,853.0807609158887,853.9860445703058,867.1135130225911,855.1708104827303,3.6099999999999994,146.17141209866443,18.97229038956274,0.9097490946764947,-2.3864514097529033,-0.21720627402839326
fitted_2zone_macro_ecm,E70,134.26000000000002,844.3659573227073,840.6827333480052,855.1708104827303,842.0164958307853,3.6099999999999994,144.59020507373046,18.396765241507584,0.9079406831991986,-2.6217535537484635,0.8837223030081672
