variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_perim_W
initial_2zone_macro_ecm,E80,2.74,726.6250569810077,802.6981034643719,296.5685,798.9325807061039,3.61,104.64111345874507,1.0525278046105901,0.9925601610091691,35.26763695761883,-6.253204420932541
initial_2zone_macro_ecm,E80,8.220000000000002,731.4167657689459,784.0082859830212,798.9325807061039,784.0240340067522,3.6099999999999994,137.4515777337811,1.0734880167403738,0.9989448061685178,-0.9830391095910928,-4.323022961596993
initial_2zone_macro_ecm,E80,13.700000000000001,729.3073198687671,767.5037906584153,784.0240340067522,767.5234251183933,3.61,135.44229814856413,1.064226783858627,0.9988114908743102,-1.091050640442212,-3.13974989890908
initial_2zone_macro_ecm,E80,19.180000000000003,723.1239004255442,752.377549213902,767.5234251183933,752.3978549819401,3.6099999999999994,133.40725845596913,1.037386555104357,0.9986593203215048,-1.0030459817816146,-2.4046499304030062
initial_2zone_macro_ecm,E80,24.66,714.5835020301305,738.2251753819476,752.3978549819401,738.2464331730115,3.61,131.51164501266854,1.001063030173276,0.9985000866692916,-0.9410785821456827,-1.943345549519364
initial_2zone_macro_ecm,E80,30.14,704.7307933172042,724.7983328134771,738.2464331730115,724.8207683703173,3.6100000000000003,129.71499377152625,0.9602232397934807,0.9983316932324753,-0.8952678612359561,-1.6495517465936373
initial_2zone_macro_ecm,E80,35.620000000000005,694.2012111769087,711.9429370090381,724.8207683703173,711.9667300416871,3.61,127.9921664932786,0.9178222220550711,0.9981524037719176,-0.8594824909167956,-1.4583698634010385
initial_2zone_macro_ecm,E80,41.1,683.3801353127742,699.5619382598313,711.9667300416871,699.5872345415473,3.6100000000000003,126.3274904213405,0.8755672701427842,0.9979607653106277,-0.8300010579804238,-1.3301442022480956
initial_2zone_macro_ecm,E80,46.580000000000005,672.499814117831,687.5928201459782,699.5872345415473,687.6197412783794,3.61,124.71106189599082,0.8344089874511703,0.9977555275719762,-0.8045648703734919,-1.2406450955137012
initial_2zone_macro_ecm,E80,52.06,661.6986145810928,675.9939888654906,687.6197412783794,676.0226395977032,3.6099999999999994,123.13649623030037,0.7948462752063938,0.9975355803912586,-0.7818028978735532,-1.1750797661774977
initial_2zone_macro_ecm,E80,57.54,651.0572907998435,664.7365468194398,676.0226395977032,664.7670203096322,3.61,121.59955788379965,0.7571119262145074,0.9972999078785554,-0.7608821774808524,-1.124434844810818
initial_2zone_macro_ecm,E80,63.02,640.6211613966998,653.7993329641125,664.7670203096322,653.8317144452265,3.6099999999999994,120.09732739583447,0.7212840169535737,0.9970475561443524,-0.7412949800795582,-1.0832457028413267
initial_2zone_macro_ecm,E80,68.50000000000001,630.413607241518,643.1659507618195,653.8317144452265,643.2003199962801,3.61,118.6276964134411,0.6873520042176339,0.9967776114790549,-0.7227288911999441,-1.0482426373687888
initial_2zone_macro_ecm,E80,73.98000000000002,620.4441819097151,632.8230135571511,643.2003199962801,632.859446343062,3.61,117.18906432185031,0.655255411905069,0.9964891866569966,-0.7049869508249152,-1.017539961419236
initial_2zone_macro_ecm,E80,79.46000000000002,610.7133178479397,622.7591487547527,632.859446343062,622.7977176092128,3.61,115.78016039541276,0.6249059210466712,0.9961814140501473,-0.6879376461869752,-0.990167300540026
initial_2zone_macro_ecm,E80,84.94000000000001,601.2147853192008,612.9644960371454,622.7977176092128,613.0052700271334,3.61,114.39994671683887,0.5961992488435358,0.9958534454157125,-0.6714821119395883,-0.9658262210150458
initial_2zone_macro_ecm,E80,90.42000000000002,591.9365182755398,603.4305602311052,613.0052700271334,603.4736037248082,3.6100000000000003,113.04757718340927,0.569020441645144,0.9955044597047914,-0.6555302876942265,-0.9448102487474778
initial_2zone_macro_ecm,E80,95.90000000000002,582.860031599229,594.1503677678458,603.4736037248082,594.1957375956705,3.61,111.72240170068403,0.5432444447266829,0.9951336823358149,-0.639980132483464,-0.9280656330602932
initial_2zone_macro_ecm,E80,101.38000000000001,573.9583263098663,585.1189486904198,594.1957375956705,585.166688764108,3.6099999999999994,110.4240155241884,0.5187326078143413,0.9947404226112819,-0.6246949090307258,-0.9174031596814971
initial_2zone_macro_ecm,E80,106.86000000000001,565.191839129491,576.3342411212865,585.166688764108,576.3843728470927,3.6100000000000003,109.15236423329645,0.4953248475314453,0.9943241411856104,-0.6094732904790668,-0.915905443725591
initial_2zone_macro_ecm,E80,112.34,556.5015673768353,567.798608956406,576.3843728470927,567.8511146107661,3.61,107.90792742323437,0.47282631918375184,0.9938845681026623,-0.5940055973491773,-0.9286168178407165
initial_2zone_macro_ecm,E80,117.82000000000002,547.7979049871514,559.5212967061279,567.8511146107661,559.5760910302057,3.61,106.69202166501007,0.45098652761159536,0.9934219061322809,-0.5778065698486363,-0.9636627992998755
initial_2zone_macro_ecm,E80,123.30000000000003,538.9428538697132,551.5223461595682,559.5760910302057,551.5792283308554,3.61,105.50728935390994,0.42946781297028014,0.9929371773999772,-0.5601101375435729,-1.034034266226082
initial_2zone_macro_ecm,E80,128.78,529.7219953474998,543.8388101145447,551.5792283308554,543.8973833397758,3.61,104.35848019927278,0.40779930958443095,0.9924328087198481,-0.5397036668086611,-1.1604021738510863
initial_2zone_macro_ecm,E80,134.26000000000002,519.8007862495555,536.5345838670064,543.8973833397758,536.5941223399359,3.61,103.25369448246389,0.3853126466613938,0.9919136093343707,-0.5146665520803234,-1.3755181641544667
