f_side,irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
0.0,456000.0,T8,-40.33226193425416,-34.14928244526689
0.0,456000.0,T12_side,-32.49236237384482,-16.81065855368442
0.0,456000.0,T11_side,-22.41786412216011,-1.3657133576718719
0.0,456000.0,T9_core,-33.01800442503988,-16.731949144758126
0.0,456000.0,T10_core,-22.654667330706502,-3.5441256722753445
0.0,456000.0,T3,-18.38112504304158,0.5430107656374393
0.0,304000.0,T8,-31.401537773669567,-23.65036823444102
0.0,304000.0,T12_side,-23.777930630802086,-13.173548257550575
0.0,304000.0,T11_side,-15.727058256734587,-1.9289615808695002
0.0,304000.0,T9_core,-24.158430443728328,-13.384545690629912
0.0,304000.0,T10_core,-15.902402854885937,-3.67897996265457
0.0,304000.0,T3,-12.59433674743427,-0.13175631351821884
0.0,256000.0,T8,-22.505434530667912,-20.88606484778701
0.0,256000.0,T12_side,-16.056985331116955,-13.987976018518863
0.0,256000.0,T11_side,-10.537541294391486,-5.174190237226035
0.0,256000.0,T9_core,-16.309779967946405,-13.924381477027032
0.0,256000.0,T10_core,-10.655400594841932,-6.148389808009175
0.0,256000.0,T3,-8.542756811862686,-3.039355302230513
0.02,456000.0,T8,-40.02124334556995,-34.14928244526689
0.02,456000.0,T12_side,-32.26388614868165,-16.81065855368442
0.02,456000.0,T11_side,-22.23562920193338,-1.3657133576718719
0.02,456000.0,T9_core,-32.78571886208208,-16.731949144758126
0.02,456000.0,T10_core,-22.4693398025376,-3.5441256722753445
0.02,456000.0,T3,-18.223905890263843,0.5430107656374393
0.02,304000.0,T8,-31.2220419634907,-23.65036823444102
0.02,304000.0,T12_side,-23.653129064791727,-13.173548257550575
0.02,304000.0,T11_side,-15.634245371186303,-1.9289615808695002
0.02,304000.0,T9_core,-24.031665716364724,-13.384545690629912
0.02,304000.0,T10_core,-15.807951161251792,-3.67897996265457
0.02,304000.0,T3,-12.518122172537142,-0.13175631351821884
0.02,256000.0,T8,-22.438345647449676,-20.88606484778701
0.02,256000.0,T12_side,-16.015599919470407,-13.987976018518863
0.02,256000.0,T11_side,-10.509309143036639,-5.174190237226035
0.02,256000.0,T9_core,-16.267856647690184,-13.924381477027032
0.02,256000.0,T10_core,-10.626683701865467,-6.148389808009175
0.02,256000.0,T3,-8.520101557112689,-3.039355302230513
0.05,456000.0,T8,-39.55703000394433,-34.14928244526689
0.05,456000.0,T12_side,-31.921834713040997,-16.81065855368442
0.05,456000.0,T11_side,-21.96328768526215,-1.3657133576718719
0.05,456000.0,T9_core,-32.43796803891447,-16.731949144758126
0.05,456000.0,T10_core,-22.192396072793706,-3.5441256722753445
0.05,456000.0,T3,-17.989112160459076,0.5430107656374393
0.05,304000.0,T8,-30.95269449258645,-23.65036823444102
0.05,304000.0,T12_side,-23.465407720418966,-13.173548257550575
0.05,304000.0,T11_side,-15.49482575816208,-1.9289615808695002
0.05,304000.0,T9_core,-23.8409894658335,-13.384545690629912
0.05,304000.0,T10_core,-15.666076240279109,-3.67897996265457
0.05,304000.0,T3,-12.403686824529917,-0.13175631351821884
0.05,256000.0,T8,-22.337210552243366,-20.88606484778701
0.05,256000.0,T12_side,-15.95310277156076,-13.987976018518863
0.05,256000.0,T11_side,-10.466679296832922,-5.174190237226035
0.05,256000.0,T9_core,-16.204543968686306,-13.924381477027032
0.05,256000.0,T10_core,-10.583323109284768,-6.148389808009175
0.05,256000.0,T3,-8.485889005266136,-3.039355302230513
0.1,456000.0,T8,-38.78960018712704,-34.14928244526689
0.1,456000.0,T12_side,-31.353786582077785,-16.81065855368442
0.1,456000.0,T11_side,-21.51233233088102,-1.3657133576718719
0.1,456000.0,T9_core,-31.860464984768694,-16.731949144758126
0.1,456000.0,T10_core,-21.733872621279474,-3.5441256722753445
0.1,456000.0,T3,-17.60078417566817,0.5430107656374393
0.1,304000.0,T8,-30.503668581680966,-23.65036823444102
0.1,304000.0,T12_side,-23.151313302626914,-13.173548257550575
0.1,304000.0,T11_side,-15.262064824726918,-1.9289615808695002
0.1,304000.0,T9_core,-23.521945946784143,-13.384545690629912
0.1,304000.0,T10_core,-15.42923386973195,-3.67897996265457
0.1,304000.0,T3,-12.21277835561119,-0.13175631351821884
0.1,256000.0,T8,-22.167341374222545,-20.88606484778701
0.1,256000.0,T12_side,-15.847838468458177,-13.987976018518863
0.1,256000.0,T11_side,-10.394890840173769,-5.174190237226035
0.1,256000.0,T9_core,-16.097897666713493,-13.924381477027032
0.1,256000.0,T10_core,-10.510307396007095,-6.148389808009175
0.1,256000.0,T3,-8.428265691566596,-3.039355302230513
