f_side,simulation_id,flow_lpm,irradiance,T8_model,T8_experiment,T12_side_model,T12_side_experiment,T11_side_model,T11_side_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_cavity_heat,core_side_heat,flange_heat_loss
0.0,E67,15.2805125,456000.0,876.9164463470631,931.6279999999999,840.8042229711558,991.103,771.644371661339,878.055,850.8276493942705,966.6659999999999,782.4014153102509,824.995,714.7094412310212,763.414,321.4715834969928,326.43699999999995,-10.023426423114643,24.437000000000012,-10.757043648911804,53.059999999999945,35.29341823372182,0.9999974904020962,132.2019774882204,40.79038824275292,63.120187503563734,35.345637645955094
0.0,E68,12.499871559633025,456000.0,967.1008523637983,1012.649,918.6327538328351,1047.717,832.1379477147934,898.751,929.8809677491653,1020.928,843.5082480217802,850.0989999999999,768.1753758806381,773.207,332.4332782009242,338.52,-11.2482139163302,26.7890000000001,-11.370300306986792,48.652000000000044,18.526203423482123,0.9998345427196628,121.97018900452308,45.933970283906234,73.28245384446815,40.195596564392226
0.0,E69,10.499733944954128,456000.0,1044.358216667795,1058.429,982.286483256479,1070.73,876.4883248058935,896.755,994.5435483459303,1044.378,888.3670051577009,852.837,803.3169041514257,769.76,342.60442120317856,344.308,-12.257065089451316,26.35200000000009,-11.878680351807361,43.918000000000006,10.834305165062547,0.9981227532519001,111.27067037739576,49.91789129430976,83.02213654025904,42.61403911009624
0.0,E70,9.107139705882352,456000.0,1107.3257455950052,1152.474,1032.031904427993,1120.277,910.213449932592,912.173,1045.1545666725965,1093.725,922.4648016418587,871.483,831.5950598469377,779.518,343.3213234584767,352.421,-13.122662244603589,26.552000000000135,-12.251351709266714,40.690000000000055,6.99261758557694,0.9918814781988192,101.87826912239102,53.65848959435367,92.09933564145031,44.54530748378717
0.0,E71,7.126846153846151,456000.0,1208.0254543058402,1203.298,1106.3705897004863,1120.348,953.8183732056198,882.823,1120.6788877593044,1095.306,966.4728038684107,847.476,863.8781877655193,753.56,349.74819316549747,356.00399999999996,-14.308298058818082,25.041999999999916,-12.654430662790901,35.34699999999998,3.414512774948223,0.9558179731352813,85.41507839216946,58.68917750839921,107.39859615812601,45.73955197680234
0.0,E72,18.707575757575754,304000.0,650.8330785147963,737.656,628.7732855529927,797.899,588.8608556875317,733.977,635.0688098488453,771.112,595.8148878379409,684.1869999999999,556.3423350421765,652.9549999999999,309.0934037920246,309.928,-6.295524295852601,26.787000000000035,-6.954032150409148,49.79000000000008,86.6029215797052,0.999999999825464,97.03373702154222,25.202595376550487,36.78923387436442,21.603138800918117
0.0,E73,13.170870967741934,304000.0,758.2578229443671,837.694,720.7667792571885,894.482,660.4327266839356,791.76,728.5181230787315,867.5509999999999,668.267236354423,747.4,617.9425518147627,694.626,321.46676252156686,325.12,-7.751343821542946,26.93100000000004,-7.834509670487364,44.360000000000014,30.62779540907052,0.9999934785625403,86.59914960096567,31.333754668252208,46.19772578948113,27.40591754695923
0.0,E74,9.023245901639344,304000.0,891.7383889557209,948.538,825.8599892904166,962.509,732.6950301768768,804.0,835.4292241589295,935.491,741.4849619856507,767.8009999999999,676.0922279778055,697.672,327.60763214311856,333.964,-9.569234868512922,27.01800000000003,-8.789931808773872,36.19900000000007,9.602128395540017,0.9972546652360602,70.45400323974371,38.874043799820406,60.38990855041711,31.7660027459285
0.0,E75,6.944410852713178,304000.0,981.7156292801051,1008.725,890.3049032043177,979.689,770.784194416594,788.678,900.9099577057191,954.178,779.9736915028421,757.393,704.1549594730528,681.066,331.9595049729906,336.517,-10.605054501401355,25.510999999999967,-9.189497086248139,31.284999999999968,4.4506414906383505,0.9752735358182615,58.56919499240696,43.392126727078896,70.9710804146924,33.1245080005528
0.0,E76,4.526673611111114,304000.0,1104.288149204438,1067.693,966.8709926867451,970.472,808.7494995843285,751.1579999999999,978.4663417311402,947.353,818.0128986992474,726.308,731.99641426073,647.019,337.72488027260454,338.123,-11.595349044395107,23.119000000000028,-9.263399114918911,24.84999999999991,1.348612965384285,0.8347603459696057,41.97956139100155,48.7689631755119,86.68189651118031,33.34153296154328
0.0,E77,13.84748387096774,256000.0,515.9158524635776,565.544,496.11968012485477,623.3499999999999,466.58023822835827,574.299,499.8298554011816,602.429,470.3414895746931,543.727,447.27739519194347,525.356,309.22890085781796,308.37,-3.7101752763268223,20.920999999999935,-3.761251346334859,30.572000000000003,62.75682990364874,0.9999999915897121,42.13739666813546,14.668947510459082,20.78387036742458,12.40355092629557
0.0,E78,10.009137614678897,256000.0,577.1718138735722,631.689,544.655670516788,685.819,502.86177382378787,612.092,549.1799578521825,663.635,507.05053198199494,583.704,479.09015672250405,554.4549999999999,310.5768493790959,312.95899999999995,-4.524287335394547,22.18399999999997,-4.188758158207065,28.388000000000034,23.705694482734256,0.9999674594944666,36.75837018563876,18.373510858619213,25.602405065213233,15.498066689908411
0.0,E79,8.033490566037736,256000.0,619.9000522615376,676.213,575.6589431471526,716.108,522.8452262766751,622.325,580.69061683777,694.063,527.2955524285665,595.766,494.5806873011204,560.0329999999999,313.0267330667252,314.96,-5.031673690617367,22.04499999999996,-4.450326151891318,26.559000000000083,12.490620377533407,0.9991024506352782,32.30143095413267,20.561979561068895,29.09668265432069,16.51329794695591
0.0,E80,6.605050847457628,256000.0,658.7816039982397,710.3340000000001,602.4051063064776,735.351,539.5612497610391,626.4849999999999,607.8672022308797,713.233,544.2019161906808,601.77,507.7758815183513,561.2539999999999,313.4830377836004,316.11899999999997,-5.462095924402092,22.118000000000052,-4.640666429641669,24.714999999999918,7.079938997981494,0.9931404759600574,28.34218655893739,22.6092768193666,32.42711420634782,17.38502676310289
0.0,E81,4.527140495867768,256000.0,730.6495756258552,760.0609999999999,648.1060067691996,749.902,565.6950919952794,618.9749999999999,654.1779659666806,728.5039999999999,570.533058940793,597.766,527.5659339489628,550.499,318.04042373449084,319.315,-6.071959197481078,21.39800000000014,-4.837966945513585,21.208999999999946,2.429971835567539,0.9268990077731482,21.229889435269463,25.81424935323304,38.39349448301764,18.24098562738963
0.02,E67,15.2805125,456000.0,878.8002599869214,931.6279999999999,839.4598795578552,991.103,770.4446053107165,878.055,849.454404363016,966.6659999999999,781.1738702881804,824.995,713.6682879468146,763.414,321.4404089373465,326.43699999999995,-9.994524805160836,24.437000000000012,-10.729264977463913,53.059999999999945,35.38897333796567,0.9999975471924418,131.85990704805076,40.74726552329429,59.123707509500605,35.25800523192287
0.02,E68,12.499871559633025,456000.0,968.3504354411854,1012.649,916.825999497011,1047.717,830.5454444539861,898.751,928.0379174288018,1020.928,841.8811734911079,850.0989999999999,766.7838992012162,773.207,332.36708666703174,338.52,-11.211917931790822,26.7890000000001,-11.335729037121837,48.652000000000044,18.586723647241786,0.9998375620349026,121.58732691192837,45.8553723361606,69.3346267578453,40.07957182293494
0.02,E69,10.499733944954128,456000.0,1045.0152128491827,1058.429,980.0430222267025,1070.73,874.5503025275092,896.755,992.2561411882567,1044.378,886.3876337419832,852.837,801.6405206432393,769.76,342.5152442576103,344.308,-12.213118961554187,26.35200000000009,-11.837331214474034,43.918000000000006,10.875120853381805,0.998151077735247,110.87464638014944,49.80588531157705,79.1005997648675,42.478606133001406
