phase,simulation_id,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,dp1_model_mbar,dp1_observed_mbar,adaptor_T_K,rear_housing_T_K
heating_training,E67,15.2805125,813.7152641325389,931.6279999999999,795.0247758942603,991.103,750.7539493506912,878.055,799.9976779446838,966.6659999999999,762.7396707436521,824.995,736.0498321050084,763.414,340.6327108654471,326.43699999999995,-18.69048823827859,59.47500000000002,-4.9729020504234995,24.437000000000012,-11.985721392960954,53.059999999999945,2.3356674222959497,2.712,417.30719510991304,302.36060347600835
heating_validation,E68,12.499871559633025,907.6967804956212,1012.649,885.965889293858,1047.717,829.5620651452625,898.751,892.2804048687168,1020.928,842.6278333386025,850.0989999999999,810.438879595843,773.207,355.41915637904935,338.52,-21.730891201763143,35.0680000000001,-6.314515574858774,26.7890000000001,-13.065768193339977,48.652000000000044,2.1079233051094124,2.004,476.9325217247434,307.85211643235755
heating_training,E69,10.499733944954128,995.7940279624684,1058.429,965.4823675804679,1070.73,893.6667142269137,896.755,973.0245913445023,1044.378,908.2144887301436,852.837,869.2856577738149,769.76,366.04222178553334,344.308,-30.31166038200047,12.30099999999993,-7.542223764034361,26.35200000000009,-14.547774503229903,43.918000000000006,1.8976248882302778,1.542,499.2071342518765,310.06753141134567
heating_validation,E70,9.107198347107436,1074.706354305571,1152.474,1034.5639324317503,1120.277,952.3640473585419,912.173,1043.0107839936707,1093.725,967.5518411313726,871.483,925.2095984563426,779.518,377.2502219409707,352.421,-40.142421873820695,-32.19699999999989,-8.446851561920312,26.552000000000135,-15.187793772830673,40.690000000000055,1.736056896837093,1.314,554.9082059360637,313.8049840548636
heating_training,E71,7.1270991735537175,1207.9956804135168,1203.298,1142.9916400316122,1120.348,1037.1557371719036,882.823,1152.859071616271,1095.306,1053.9858838312855,847.476,1003.2648358013304,753.56,394.793525478873,356.00399999999996,-65.00404038190459,-82.95000000000005,-9.867431584658789,25.041999999999916,-16.830146659381853,35.34699999999998,1.4357775048841617,0.825,596.7443722800548,318.9370774742587
heating_training,E72,18.707575757575754,551.4342056198303,737.656,536.936178827621,797.899,518.0747229456263,733.977,538.7626634594253,771.112,523.531002557206,684.1869999999999,513.0032641904353,652.9549999999999,313.3560490840506,309.928,-14.498026792209316,60.24300000000005,-1.8264846318043055,26.787000000000035,-5.456279611579703,49.79000000000008,1.4514232069704864,2.485,344.8476023209099,297.7227851435736
heating_validation,E73,13.170870967741934,632.6501136991376,837.694,617.8661682387244,894.482,589.0201059073049,791.76,620.7892634947731,867.5509999999999,595.419949668543,747.4,579.9711005964853,694.626,324.4246345460981,325.12,-14.783945460413179,56.78800000000001,-2.9230952560486685,26.93100000000004,-6.399843761238117,44.360000000000014,1.117314810428988,1.827,383.84743380101645,301.15230107333343
heating_training,E74,9.023314049586775,754.0194116308685,948.538,729.031317987083,962.509,682.2637008609762,804.0,733.2768457744539,935.491,690.1988995923975,767.8009999999999,667.2844070530233,697.672,337.1006221807951,333.964,-24.988093643785533,13.971000000000004,-4.245527787370975,27.01800000000003,-7.9351987314213375,36.19900000000007,0.802192402556694,1.071,434.8605481694859,303.9758640464823
heating_validation,E75,6.944495867768595,852.8884480144951,1008.725,812.5068621576817,979.689,748.4535596131439,788.678,817.6855782935263,954.178,757.7636485813624,757.393,728.2087702103679,681.066,346.80247040297314,336.517,-40.381585856813444,-29.036000000000058,-5.178716135844638,25.510999999999967,-9.310088968218565,31.284999999999968,0.6121391788483057,0.651,462.4064589850933,306.17820272341237
heating_training,E76,4.526611570247936,1016.579797612878,1067.693,939.7092255862146,970.472,846.001982721825,751.1579999999999,946.270032086136,947.353,857.2881809914517,726.308,817.1537397184165,647.019,362.90188497001236,338.123,-76.87057202666335,-97.221,-6.560806499921341,23.119000000000028,-11.286198269626652,24.84999999999991,0.32839867341271367,0.174,510.1079822602952,309.6177123205163
heating_training,E77,13.84748387096774,497.7022745717805,565.544,486.7134645551577,623.3499999999999,469.5200742525163,574.299,488.4082733478301,602.429,473.38701199470745,543.727,464.53627840246315,525.356,309.49462272294573,308.37,-10.988810016622779,57.805999999999926,-1.6948087926724043,20.920999999999935,-3.866937742191169,30.572000000000003,0.6894775630223016,0.978,332.4525880837318,297.7317876768456
heating_validation,E78,10.009137614678897,561.2873837229323,631.689,546.8471957109361,685.819,522.5015306818643,612.092,548.9959829227373,663.635,526.7291681555898,583.704,515.0312326264786,554.4549999999999,318.1489847345848,312.95899999999995,-14.440188011996156,54.129999999999995,-2.1487872118011637,22.18399999999997,-4.227637473725508,28.388000000000034,0.4527525852611809,0.637,370.6697692063419,300.62199060249986
heating_training,E79,8.033490566037736,610.5273265300759,676.213,589.8449743671598,716.108,557.3196349386062,622.325,592.43141087136,694.063,562.2169038523697,595.766,547.2466712128513,560.0329999999999,322.21090395345993,314.96,-20.682352162916118,39.89499999999998,-2.586436504200151,22.04499999999996,-4.897268913763469,26.559000000000083,0.3130766667555106,0.403,380.11294755078427,301.18770770823505
