simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s
E67,heating,T8,117.5648420870659,-98.11225498856777,-150.0
E67,heating,T12,191.5651189250446,-193.32437844175763,-200.0
E67,heating,T11,118.06740103906694,-136.94896895950444,-600.0
E67,heating,T9,161.3294236849012,-163.58458109884634,-300.0
E67,heating,T10,71.59909446599708,-68.93190946230379,-1050.0
E67,heating,T3,75.61149198791905,-55.67037339973683,-900.0
E67,heating,T2,17.511170281045356,15.008195405431422,-700.0
E68,heating,T8,93.72438418832402,-82.91761017479087,-150.0
E68,heating,T12,152.01716748682054,-157.63417204621715,-250.0
E68,heating,T11,73.20794435962821,-77.5301791290741,-700.0
E68,heating,T9,123.5150590435764,-124.17060263600445,-400.0
E68,heating,T10,72.92847463546195,-13.666107480382266,-1300.0
E68,heating,T3,84.0372853211705,8.871641826271457,-550.0
E68,heating,T2,22.346192591852898,16.730514921544568,-1100.0
E69,heating,T8,53.30576509896523,-39.066815453705885,-200.0
E69,heating,T12,97.42727575254513,-100.82712535872588,-300.0
E69,heating,T11,35.47802671752337,-14.807062824747163,-600.0
E69,heating,T9,71.60852776030575,-66.57000229068888,-400.0
E69,heating,T10,82.28701831998713,45.618871968926214,-1100.0
E69,heating,T3,87.90779816089662,63.96115991970703,-400.0
E69,heating,T2,21.632536028064592,21.320861796972395,-1550.0
E70,heating,T8,65.70894619134525,-52.78213955474894,-150.0
E70,heating,T12,78.87217543632148,-79.61679890597088,-400.0
E70,heating,T11,69.56874221250789,31.12596498459277,-450.0
E70,heating,T9,61.792856772380034,-44.494966170887665,-500.0
E70,heating,T10,130.50013233567546,88.0730831825723,-1050.0
E70,heating,T3,140.62780477458207,113.55482428744665,0.0
E70,heating,T2,30.492231143284293,23.915372752614985,-1450.0
E71,heating,T8,55.03408210851602,30.517003609180165,-150.0
E71,heating,T12,54.56153308299279,28.50681023401785,-550.0
E71,heating,T11,152.86555097268229,140.79787676481942,-300.0
E71,heating,T9,95.20775341011758,63.41011910686825,-650.0
E71,heating,T10,214.46130016276643,193.49210222124168,-850.0
E71,heating,T3,212.25066418190653,210.28076818132274,150.0
E71,heating,T2,41.016984092595074,37.26764861331782,-1300.0
E72,heating,T8,160.62451230956515,-176.3989870968693,-350.0
E72,heating,T12,242.8976203708788,-260.3176484433744,-150.0
E72,heating,T11,193.0472689620206,-222.7397415209325,-350.0
E72,heating,T9,210.05134147929692,-231.55054880486523,-350.0
E72,heating,T10,131.01098892655696,-165.37952177502802,-850.0
E72,heating,T3,117.84056216170846,-155.08685730328557,-700.0
E72,heating,T2,5.755155908154092,4.330334100788946,-450.0
E73,heating,T8,187.13005309302775,-193.52765069793588,-250.0
E73,heating,T12,259.9717386636362,-275.8188270274983,-250.0
E73,heating,T11,182.2745763566198,-211.17267478740314,-500.0
E73,heating,T9,226.40820934464173,-245.4563735838433,-400.0
E73,heating,T10,127.24590883584455,-158.62993102837527,-1100.0
E73,heating,T3,105.04194545342921,-134.4399015073999,-650.0
E73,heating,T2,4.987948434473978,-0.6263439514978018,-1000.0
E74,heating,T8,180.42915924714532,-180.20400565027944,-200.0
E74,heating,T12,220.03120766763627,-232.13729411939732,-300.0
E74,heating,T11,113.69285777234523,-132.7777166366842,-200.0
E74,heating,T9,187.21756650710503,-200.40528809707007,-500.0
E74,heating,T10,74.95309444795856,-87.54698365088666,-700.0
E74,heating,T3,57.632565465376736,-56.50894031273947,-100.0
E74,heating,T2,10.634945600401368,2.5257710802102338,-1100.0
E75,heating,T8,140.15554745703412,-140.05523772367292,-150.0
E75,heating,T12,154.59572216751462,-166.79064240559012,-350.0
E75,heating,T11,51.48548388653315,-56.22041996053326,-100.0
E75,heating,T9,124.5885124825705,-135.72640336327834,-550.0
E75,heating,T10,47.6794317434185,-14.980588122720292,-550.0
E75,heating,T3,55.448750952409846,12.843722493831706,100.0
E75,heating,T2,15.41319213972818,9.212299262643512,-1100.0
E76,heating,T8,44.46897379990401,-34.873003369058324,-150.0
E76,heating,T12,36.68135902853004,-33.4957389827282,-200.0
E76,heating,T11,71.03005693712288,69.99639648607183,450.0
E76,heating,T9,32.69465326709052,-3.6564284198786936,-300.0
E76,heating,T10,111.86103910108217,105.98050921199274,50.0
E76,heating,T3,119.88088712516364,124.03915133998294,500.0
E76,heating,T2,24.777061939028158,22.545554348874077,-1200.0
E77,heating,T8,51.67505368072657,-61.27196951607192,-650.0
E77,heating,T12,120.02871307867915,-137.13136232782807,-550.0
E77,heating,T11,91.84699678648916,-112.91260802270739,-650.0
E77,heating,T9,96.24732921956222,-114.06718175399158,-700.0
E77,heating,T10,56.36042078669247,-76.90962276703323,-1000.0
E77,heating,T3,54.19031350194136,-76.43447830982598,-800.0
E77,heating,T2,5.819440313969753,1.8429202533639568,-591.0
E78,heating,T8,56.36239910809463,-62.66449757601265,-600.0
E78,heating,T12,122.71500377596165,-139.32310152888977,-550.0
E78,heating,T11,80.49442973401376,-97.99477364820893,-350.0
E78,heating,T9,97.89754029976537,-114.49319028382422,-800.0
E78,heating,T10,50.417846170064614,-64.39155695763498,-850.0
E78,heating,T3,45.919323486506826,-56.50547979268714,-250.0
E78,heating,T2,7.10170196482444,4.962327329570655,-750.0
E79,heating,T8,54.12577783880061,-57.699713643919495,-600.0
E79,heating,T12,112.91304592197858,-128.19125419874433,-550.0
E79,heating,T11,62.64353433555474,-77.80071095359415,-300.0
E79,heating,T9,88.39528258225545,-103.07161290922966,-750.0
E79,heating,T10,38.52723352138171,-45.52730794972672,-750.0
E79,heating,T3,34.54472575399501,-36.53837189188914,-250.0
E79,heating,T2,7.7426780436146165,6.777622617765417,-1050.0
E80,heating,T8,43.453854279915824,-41.72686360129785,-550.0
E80,heating,T12,93.99041665822135,-106.61208462921695,-450.0
E80,heating,T11,42.42869816717529,-50.69968285896721,-100.0
E80,heating,T9,70.51955621616607,-81.11578767289859,-700.0
E80,heating,T10,31.60011182180369,-20.0499773260309,-450.0
E80,heating,T3,31.585265256468617,-10.186836252991839,0.0
E80,heating,T2,10.812431804627128,9.032685042971536,-1050.0
E81,heating,T8,33.25799066808828,10.761615772807318,-450.0
E81,heating,T12,42.59635909261115,-44.87602560777998,-200.0
E81,heating,T11,24.793597397477008,9.529424464345311,100.0
E81,heating,T9,29.95373233745389,-19.448748002346747,-350.0
E81,heating,T10,51.5836686068668,37.46965402784997,-150.0
E81,heating,T3,54.65679954127232,44.91306042204599,150.0
E81,heating,T2,13.790313753416303,14.535053585104777,-950.0
C69,cooling,T8,41.03235360885681,15.22168398126189,-400.0
C69,cooling,T12,58.88029869222814,32.27490362953023,-600.0
C69,cooling,T11,58.880476796203226,83.68860866696355,-800.0
C69,cooling,T9,84.4772377790547,22.4348910423534,-750.0
C69,cooling,T10,64.64547266013928,61.541584418877676,-950.0
C69,cooling,T3,72.06367050661761,106.15398798103087,-900.0
C69,cooling,T2,19.281834748159362,-3.9666740041415096,-200.0
C80,cooling,T8,25.37116140555044,24.231227188083096,-800.0
C80,cooling,T12,37.31753481341876,38.58369116931658,-1050.0
C80,cooling,T11,43.78542367357684,67.9139682649718,-800.0
C80,cooling,T9,42.27260292406401,36.08080215643406,-1150.0
C80,cooling,T10,39.88253690742561,61.57115108305112,-900.0
C80,cooling,T3,52.85265764321237,82.07250706210533,-700.0
C80,cooling,T2,11.271001975969751,0.5140372386563854,-600.0
C81,cooling,T8,34.358736522925575,40.590093114454476,-800.0
C81,cooling,T12,47.01467513120204,58.50112680328573,-1200.0
C81,cooling,T11,63.006720746067224,85.29185448653425,-200.0
C81,cooling,T9,47.60294064873586,56.788112135671554,-1250.0
C81,cooling,T10,59.25086325094211,81.5969840987056,-300.0
C81,cooling,T3,74.58816237023859,98.37113337286002,-100.0
C81,cooling,T2,9.875324485123707,4.190617518162185,-1000.0
