group,evaluation,tested_scale,objective
1,1,1.25,3.1995338899415664
1,2,1.6,6.274307479294862
1,3,1.9,11.61999409931188
1,4,2.2,18.78555599444724
2,1,1.05,3.0740068777704437
2,2,1.4,3.6068328529508085
2,3,1.75,6.490504398598114
2,4,2.1,11.144263740425343
3,1,0.77,0.7883377915556944
3,2,1.0,1.2687653013778604
3,3,1.25,3.0502712138098547
3,4,1.5,5.945837917983251
