phase,simulation_id,time_s,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K
heating_training,E67,0.0,293.3685,296.62199999999996,293.3685,296.25,293.3685,296.35299999999995,293.3685,296.22499999999997,293.3685,296.43399999999997,293.36850000000004,296.686,293.3685,293.39799999999997
heating_training,E67,50.0,383.6798071584924,383.55999999999995,336.820332264055,341.47999999999996,310.81471124226755,308.99899999999997,403.0649679339932,316.138,338.48016290891314,300.25399999999996,307.0065226370764,299.786,293.3696712254689,293.414
heating_training,E67,100.0,469.1863263765065,540.75,401.2871210678802,473.256,354.2800072376459,376.486,524.4527093613208,420.83,430.8653128285194,346.76099999999997,346.10338711438385,327.39099999999996,293.37618646924386,293.438
heating_training,E67,150.0,541.0019315417696,664.299,466.7132631951014,589.1769999999999,408.0418527317677,445.365,615.0551082699134,529.854,520.6254172668283,403.433,396.7669404108759,354.489,293.3895790603659,293.471
heating_training,E67,200.0,598.9596761443413,748.8409999999999,525.3063321208726,676.7909999999999,461.26171899145913,499.078,674.6424262327241,618.247,589.146474886729,448.715,448.053464218113,378.13699999999994,293.41455339581375,293.50899999999996
heating_training,E67,250.0,644.8360867425733,809.804,574.9360937357105,746.2349999999999,509.0265895070976,544.2439999999999,712.0860607848344,691.87,636.4006722178378,487.053,494.62969613807326,398.99399999999997,293.46260115354914,293.53999999999996
heating_training,E67,300.0,680.8556092045133,854.7379999999999,615.783520700834,803.725,549.8095453528168,584.703,735.4282764596294,752.739,667.6556756429281,521.4689999999999,534.6576806578158,420.99299999999994,293.5514129292384,293.59299999999996
heating_training,E67,350.0,709.0020236682165,882.3009999999999,648.9109212029578,844.107,583.7129343505286,616.0509999999999,750.2839440132783,795.891,688.2222437522231,548.444,568.0533486923481,442.34799999999996,293.70195838629706,293.645
heating_training,E67,400.0,730.8669118541253,903.242,675.5284241780761,877.372,611.4854870306683,644.2819999999999,759.9875321027158,831.799,701.9929773131405,572.938,595.4733683818353,461.29599999999994,293.93483605455714,293.70799999999997
heating_training,E67,450.0,747.8505471919024,918.233,696.784061255832,900.886,634.020609900331,666.63,766.5130040422526,857.492,711.4171985130621,592.479,617.7585331708647,478.52299999999997,294.26718894383697,293.78099999999995
heating_training,E67,500.0,761.0367806512378,930.434,713.7315885730746,919.933,652.2183363268073,685.787,771.1308360151653,878.2909999999999,718.096403532836,609.479,635.7712032122215,494.013,294.7107876549903,293.83799999999997
heating_training,E67,550.0,771.2874676922848,938.485,727.236586683953,935.644,666.8881003005907,703.467,774.5348878806489,895.824,723.0187470457608,625.688,650.3019133395811,510.158,295.2712735202695,293.935
