evaluation,beta_opt_1_m,heat_transfer_scale,profile_loss,level_loss
1,80.0,0.8,3.759780461442224,1.744736644710779
2,80.0,1.2,3.6617246740030214,1.7571093481794173
3,150.0,0.8,3.684258000744607,1.6266756553114208
4,150.0,1.2,3.58079624178918,1.6357154102824156
5,220.0,0.8,3.740156905940022,1.591342281218331
6,220.0,1.2,3.6370755573084814,1.599013172837021
