evaluation,objective,transient_loss,steady_loss,t90_loss,felt_k_scale,felt_cp_scale,receiver_adaptor_h_W_m2K,side_tau_s,interior_tau_s,outlet_tau_s,interior_wall_fraction
1,0.43261338096823515,0.13558866337175887,0.30494350309936563,0.5872619047619048,1.0,1.3,25.0,180.0,60.0,180.0,0.8
2,0.43873308545611966,0.14052021781810184,0.30445955879339254,0.5910714285714287,0.8,1.3,25.0,180.0,60.0,180.0,0.8
3,0.43372243665517324,0.13257964519738033,0.3070037493037541,0.5972619047619049,1.2,1.3,25.0,180.0,60.0,180.0,0.8
4,0.47305532274667617,0.13791326700126505,0.29144574137359236,0.7077380952380953,1.0,1.1,25.0,180.0,60.0,180.0,0.8
5,0.410022088445879,0.13524897302068764,0.3202159403061935,0.5105952380952382,1.0,1.5,25.0,180.0,60.0,180.0,0.8
6,0.43678658867323833,0.12463647766878168,0.16494481445929995,0.7504761904761905,1.0,1.3,15.0,180.0,60.0,180.0,0.8
7,0.47928229161104,0.17618669295368034,0.5155964399689766,0.4240476190476191,1.0,1.3,40.0,180.0,60.0,180.0,0.8
8,0.40976449582448204,0.12652290209729106,0.1705275346461924,0.6630952380952381,0.8,1.5,15.0,180.0,60.0,180.0,0.8
9,0.3986778441622187,0.11560972013733282,0.1825881911940642,0.6522619047619047,1.2,1.5,15.0,180.0,60.0,180.0,0.8
10,0.4694674425723959,0.18045821143148016,0.5355863260252751,0.3666666666666666,1.0,1.5,40.0,180.0,60.0,180.0,0.8
