phase,mean_sensor_rmse_K,steady_mae_K,t90_mae_s,axial_rmse_K,mid_radial_rmse_K,deep_radial_rmse_K,dp1_rmse_mbar
heating_training,91.6964611753677,89.689969424293,756.2063492063492,53.51998921041218,29.18326177923384,46.712198494366035,0.4594459122037705
heating_validation,90.20960339676039,86.14815165660944,847.6190476190476,51.80133781871274,29.931266452223543,46.77979858083398,0.34857269577118016
cooling_validation,31.168771017125238,30.06450352025391,700.0,9.882896612089803,5.268360585260877,11.411857339945865,0.05843410111219472
