evaluation,objective,transient_loss,steady_loss,t90_loss,felt_k_scale,felt_cp_scale,receiver_adaptor_h_W_m2K,side_tau_s,interior_tau_s,outlet_tau_s,interior_wall_fraction
1,0.4940172525691671,0.14000675854510436,0.285451646746876,0.7667857142857143,1.0,1.0,25.0,180.0,60.0,180.0,0.8
2,0.49859636333534507,0.15008251446143242,0.2814350518019311,0.7545238095238095,0.6,1.0,25.0,180.0,60.0,180.0,0.8
3,0.5146203288682462,0.13732963397373354,0.2938856496483751,0.8260714285714286,1.4,1.0,25.0,180.0,60.0,180.0,0.8
4,0.5965513968372713,0.15120087160914564,0.27075175076041874,1.0403571428571428,1.0,0.7,25.0,180.0,60.0,180.0,0.8
5,0.43261338096823515,0.13558866337175887,0.30494350309936563,0.5872619047619048,1.0,1.3,25.0,180.0,60.0,180.0,0.8
6,0.5757049734920985,0.16612590443365982,0.046374674639240124,1.1304761904761904,1.0,1.0,5.0,180.0,60.0,180.0,0.8
7,0.6935178881333997,0.29416433998334685,0.9009007160557316,0.3688095238095238,1.0,1.0,80.0,180.0,60.0,30.0,0.2
8,0.6905700344864615,0.22178263844882923,0.032346875680996874,1.3116666666666665,0.6,0.7,5.0,180.0,60.0,180.0,0.8
9,0.735827862764513,0.30581850901385144,0.9489200680577603,0.4152380952380953,0.6,0.7,80.0,180.0,60.0,30.0,0.8
10,0.5044631654111293,0.1723263423739149,0.04003941012404795,0.9146428571428573,0.6,1.3,5.0,180.0,60.0,180.0,0.8
11,0.7424865288653019,0.33174708255415797,1.0088537099260348,0.3088095238095238,0.6,1.3,80.0,180.0,60.0,0.0,0.2
12,0.7475599745137436,0.18584954831097772,0.06084030956477512,1.5527380952380954,1.4,0.7,5.0,180.0,60.0,180.0,0.8
13,0.7099519762348867,0.27287185482531073,0.8295726269208091,0.5377380952380952,1.4,0.7,80.0,180.0,60.0,90.0,0.2
14,0.47850652927936077,0.13011544020649576,0.06838696357621665,0.9367857142857144,1.4,1.3,5.0,180.0,60.0,180.0,0.8
15,0.6590386795892558,0.28732070684973265,0.8800321313539661,0.30773809523809526,1.4,1.3,80.0,180.0,60.0,0.0,0.2
