irradiance,signal,slope_model_K_per_LPM,slope_experiment_K_per_LPM,error_K_per_LPM
256000.0,T8,-28.499707727516324,-20.88606484778701,-7.613642879729312
256000.0,T12_perim,-19.5557299505892,-13.987976018518863,-5.567753932070337
256000.0,T11_perim,-11.7234088186407,-5.174190237226035,-6.549218581414665
256000.0,T9_core,-19.569832865859205,-13.924381477027032,-5.645451388832173
256000.0,T10_core,-11.089578277750482,-6.148389808009175,-4.941188469741307
256000.0,T3,-8.426177137775497,-3.039355302230513,-5.386821835544984
256000.0,T2,-1.343567967108278,-1.1393701213842518,-0.20419784572402633
304000.0,T8,-32.174810277885065,-23.65036823444102,-8.524442043444044
304000.0,T12_perim,-23.63990982191216,-13.173548257550575,-10.466361564361584
304000.0,T11_perim,-15.673275923744136,-1.9289615808695002,-13.744314342874635
304000.0,T9_core,-23.70765867137196,-13.384545690629912,-10.323112980742048
304000.0,T10_core,-14.987081438392385,-3.67897996265457,-11.308101475737816
304000.0,T3,-12.048384380254426,-0.13175631351821884,-11.916628066736207
304000.0,T2,-2.6132572313321862,-2.0439067897339482,-0.569350441598238
456000.0,T8,-38.0709335104248,-34.14928244526689,-3.92165106515791
456000.0,T12_perim,-28.906301342090245,-16.81065855368442,-12.095642788405826
456000.0,T11_perim,-20.119879383738244,-1.3657133576718719,-18.754166026066372
456000.0,T9_core,-29.016607857107797,-16.731949144758126,-12.284658712349671
456000.0,T10_core,-19.314463269602562,-3.5441256722753445,-15.770337597327218
456000.0,T3,-16.141513347878778,0.5430107656374393,-16.68452411351622
456000.0,T2,-4.4776500395645575,-3.714704533708543,-0.7629455058560146
